review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
VBWe3cFSD_ND4rgS40X2pw,2,ilaiK6eLYbzvIFZRg5TNDw,4,review,Vgf2WvjA2SN3qGsa9P2nlQ,1,1/21/14,1,9,3,3,26,2012-10,"sfZpUCrV7ISjn0TnOgiVLA, bKnzgR6cm7NCfloMheeRfg, 0Q2QhRuyD_oGodCj__wcvQ, bAgO9_hnkDjlFAkUhCSwMQ, jZv_gqd4bh_fyxqq8-ELTA, 0daABa3KokAu1DWbrzBWaQ, fL_vy-at_-FCVwXLcACtWQ, 3LF9Wvl4xhe3U6CGUecEVw, 44O4u18hNONN7FTzzHV3tg, 17vuZoF1wMUOT4tmOLeg5A, _6FcDCW5bY2YeA5gqZIb6w, CxlQtYMzVGSS-eHBkkv9Lw, 5klEYB2KjlpfwC2AP81bpQ, VVxXoFp8Z9EmT3UB_Fl7Vw, bBCzq4Hjgkt6usGUuerRfw, 1NntMBI3CIhfYna_yYTCOw, dPZ2M7p19KQh2NX1u7zMyw, s8ywRW9y_OZnAO8y9TrOAw",88,,user,,37,4,38,9,2014,,3.84,8,1,Robin,,,Vgf2WvjA2SN3qGsa9P2nlQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,2,2,1,0,1,0,8/16/12,tip,Ep6ooDpgFQiHj5Q0ujT4wg,0,3,,"1101 Fleury EstAhunstic-CartiervilleMontra9al, QC H2C 2M9",,Montra9al,TRUE,45.55796059,-73.65934968,QC,9cber Cafbar,Ahunstic-Cartierville,4.5,Bars
5Fa1u2ezW7HsVH7OhwDdBg,0,X_WHzMCfiS0r71ik1rKjRw,3,review,EOAhMhBXmhuscZXPmyAy4A,0,7/29/15,0,,1,,3,2013-08,"3Aqh6DTCHvVrRAZLmAqOcg, jyC-dyw-p6ej2kTr7AaCxQ",29,,user,,15,0,3,,,,3.69,,,Sarah,,,EOAhMhBXmhuscZXPmyAy4A,0,0,0,0,0,0,1,0,2,0,1,2,2,5,5,8,19,22,16,7,3,2,0,0,2,5,26,14,25,22,1,8/30/10,tip,Bqlhh4RBD7yUeTxYwXshJQ,0,43,0:30,"14815 Ballantyne Village WaySte 240, 2nd FlBallantyneCharlotte, NC 28277",16:00,Charlotte,FALSE,35.053681,-80.8514579,NC,DVine Wine Cafe,Ballantyne,3.5,Bars
grsoZgqINmRioHprizb0SA,0,_q3IvjBfv9k2YhoSOh4HuQ,5,review,py3nEoU90ZjVW7fPphNe8A,0,7/18/16,0,,,,5,2012-10,,30,,user,,14,0,4,,,,3.47,,,Seal,,,py3nEoU90ZjVW7fPphNe8A,0,0,0,0,0,0,0,0,0,0,1,7,6,6,6,3,9,11,7,13,7,4,2,0,16,4,7,11,10,26,8,7/24/16,tip,uZbTb-u-GVjTa2gtQfry5g,0,82,22:00,"1310 S. LongmoreMesa, AZ 85202",11:30,Mesa,TRUE,33.39060173,-111.8643785,AZ,Crazy Sushi & Cra, ,4.5,Bars
eXx-_KIm65GDCaJ4Tt4lIw,0,JUQTTTXPUpXof3153WNUfA,5,review,mkvGW-l5BCNQvSzjLDYoBg,0,2/27/15,0,,1,1,2,2014-09,pD0yoW4VFnNwHdPKJkVAsA,9,,user,,15,0,2,,,,3.6,,,Lacey,,,mkvGW-l5BCNQvSzjLDYoBg,8,2,0,0,0,0,0,0,0,0,0,1,1,4,5,0,1,4,5,2,11,6,12,12,1,4,2,7,24,24,12,7/23/10,tip,dym75Mq5WpaJgXXOzQn_2g,0,25,2:00,"4917 W Bell RdGlendale, AZ 85308",11:00,Glendale,FALSE,33.6386564,-112.1658931,AZ,Chilly Bombers, ,2.5,Bars
Y5_LzP61sK3vlTZfWPYrdw,2,YPwFl3RCRwr-kyN-890STA,5,review,YrJm6ddhEnUlAuCn-7scyA,3,6/21/16,3,3,7,6,164,2010-08,"OroGqv0t7fy-Q3E2PzTEwQ, pIm17SVRo8IdhGoBD4qbnA, 90a6z--_CUrl84aCzZyPsg, HS2wBYHAI8nUD-bkP6kUtw, C6IOtaaYdLIT5fWd7ZYIuA, JgDkCER12uiv4lbpmkZ9VA, SEDFpR4oMPKqXMjbJiMGog, uCfdp7AH45qanhjzWhYZsw, ia-Bk0oHTcutM7_Kq6Jrlw, jU5Q0THWMPv4R24VmAXRVg, eX77Ia71jAxA6BFb142eLw, 9UtNYyrWnpMbpshMrZSRGQ, 7o7vuRkJtnnipRWw3kft8Q, eRtuJOuHBXoJ3GRlAe_eTw, 731tc9AbEVmGTuHtbBCNAg, OOxLwlNadygUwL_aG8KnSQ, vwLmvuSyt2qervMRFennHw, AYGHNy8gPxl2Q-etTT3hZw, CBeykieWzLwJs0VLliRmqA, pprq_7lgBT-WDFGPQe1a_w, 4h9zJu197OrcE0VYjdb13w, y42yifgdSltZ3nmRO5P7BQ, o83bBoIE5jWDYHfFlyhLJg, 2fdyqZooz7YSZ5vgkDLxxA, apwAoPuMliKHO2TD7_lGHg, QR5SoRfNax1awqM8qrodRg, _pc89S47Dk-yp1VjrbVyJQ, 8QfWd2KxAXWEbZydwr4pHQ, E2DYTWOVSptFJqM7jckPpg, 4G_Khg9ZEvn_H3PHGXjG7A, vlxa9Yr4omxf-i4LJqojEQ, Kmu4uSt7-wIKlL5gEP3LgQ, WD7DYCGhDVrSb4BdbtRAbA, PIH92hE32-AMbI6MpLEgbg, g6ZEPqj8OEddVLVhk1sGWg, fHv7k5vWd6ryt8jH4J3teg, IqrtFpXjwUhJNd28LUOOeg, lmiDCrmas8TxRsbIGZX9Pg, UH1uX75pEHDNEhWH7M9l3Q, ikCWLbD93g07I1GEJddqmQ, LXWAXIeYFIdgd2JVPF-9qA, 3KWl_abSwJx1tJfuUH7_BA, 8UP8RT9-MIrrkdX07NFAsA, SU74tBtwUJR_19r2c7532Q, KpnWEXk1Saem7f3Df_EKdw, IC_herUwBVQ1mt8Pf1to3w, VFZiXmyKlG-dN9PokbiXsQ, wy8Yd_vCWDjiz9rMo4HfqA, fi5y6-daDzTIQ7wOKaR7xg, zh8k1kkHNwOxa5Ekz3tgPw, lz6V_bpLpPI1-gxUZJU9Lg, YPWltJEObnOLHs_ypH942w, ziCy0V2N3tSh4KXu_LmU3Q, EsYlJL9XRHYYgZvm5Ki4ng, xPVn4vdPsYeBCPBAOLX3bg, OaqnrdmDVX5cwc6OwZg_cw, Ue9mYNOxPcicrU_UzhGluQ, oNZk3OEc08247_gPqDXu5w, _4xih8hfy_DHJyKmgevzFQ, -T-8__rX3ViSm5uLJy2cvA, m7LcZ5Zy4JDXFlAfh3MpVg, nBpdqmzq4BPzncDoMqmPig, AWjs1LbBwGElxOV0RibAyA, nFVvsfL-RfhDVLz3hbXBdA, RzarJKqz0wZtSWM8r0Yp4A, KK14ue88dhbcc7mCBKEWHw, NZi7DbpKalBKfNZCOUO93g, vWkT20IiN3vQM8pPxv5T8A, maUtMEgvC87VZvoUMbmDLQ, gXx-qS4ce6OSdWgfDEhPag, lEwqLe7m3YT8yF02N6-HOA, AXGJ_7nKn_2gUR51g-fk1Q, D3EHiQ-YaRg-4DIVqksWzg, hPLJl5RFC_L86EwG250XDg, pHfvi8UAsu3U7QvYPx39Mw, r5VzE0YPEIeR-spyy5__Rg, unNi9cT72ZR4KdK41NLGwg, _S7l1rzRBHZvIpU-fTXIXg, kGwY9AcytkJGLAM5qIx48Q, kyQKPE_LvlkxOlHtSz1Teg, rX3BvECGJh8DLy23mgeaKg, IDBYeD8_20C3mqhfEA4_Aw, j0tIcwVSN3lfAE7eqMFyww, g9vIA0oUS5UEzU1jNHXT7g, T209KcK7jVlTmuBWZW511A, Ry9AF4wya97Ot40AVzsOpw, 61ZfEzyIq7sixkcO_PKSFA, mvNxfRNBSY-lJzOpsr8-tQ, asSg3T8qfB2dXbRFAnbmXA, eTWhnczouJApGArV6G062g, ffikRfD8lrPTdFSH6v6G4Q, WAEmqXoau7qIkIkDG3CXIA, 2PC-cLS1eYr9CxQZ8_vCSQ, 8NgWz9rNFGsDW5w5ivfqNA",403,1,user,3,235,6,269,10,"2012, 2014, 2015",,4.07,4,1,Amy,,,YrJm6ddhEnUlAuCn-7scyA,8,2,0,0,0,0,0,1,1,1,1,3,1,0,2,4,14,18,5,8,12,12,10,7,14,14,14,24,17,18,9,10/6/12,tip,sALB8-F04S9VcZMF_GkGUA,0,21,2:00,"W Scottsdale7277 E Camelback RdScottsdale, AZ 85251",16:00,Scottsdale,TRUE,33.50185206,-111.9240508,AZ,The Living Room, ,3,Bars
HCzLJdIuaFvu3MBg9mZSFQ,0,d_-qLDnOWdUnJa23rsRjnA,5,review,hv9pyEJFCSJI96znnWvs_w,0,6/7/16,0,,,,0,2014-12,,4,,user,,4,0,0,,,,4.5,,,Ryan,,,hv9pyEJFCSJI96znnWvs_w,0,0,0,0,0,0,1,0,0,0,2,0,1,1,3,5,3,1,1,0,0,0,0,0,2,1,2,1,6,1,5,3/18/11,tip,Sln8nvXPy30fQdVyixDdEg,0,16,0:00,"Doubletree Hotel895 W Trade StThird WardCharlotte, NC 28202",11:00,Charlotte,TRUE,35.233064,-80.851868,NC,Libations Kitchen & Bar,Third Ward,3.5,Bars
pAaR3xiaZ_lco2fiBwqf-A,0,x8D7HlXrIaiW2o3_6l1kRw,4,review,KjymOs12Mpy0Kd54b7T9MA,0,7/19/16,0,,2,,7,2014-06,yCjFMnDnSCepxlC-wjUtWQ,31,,user,,45,1,7,,,,3.81,,,Bobby,,,KjymOs12Mpy0Kd54b7T9MA,10,4,0,0,1,1,1,10,4,4,17,122,216,197,155,85,57,167,197,259,195,205,100,31,236,209,207,243,282,488,373,7/20/16,tip,4hvFlEmDeASveU82bJDC2Q,0,1480,22:30,"Bellagio Las Vegas3600 S Las Vegas BlvdThe StripLas Vegas, NV 89109",11:00,Las Vegas,TRUE,36.111978,-115.17698,NV,Olives,The Strip,4,Bars
QsM-nGqVM_wP58-Tk6e66Q,0,Z3XCjbyLNTBY-tIPiLRXFA,1,review,jnmq1HznoT0Fje11rxQOew,0,6/3/16,1,,,,4,2014-11,,44,,user,,25,0,0,,,,4.06,,,David,,,jnmq1HznoT0Fje11rxQOew,4,10,4,4,2,0,0,0,0,0,0,2,1,4,0,1,3,3,3,5,6,9,18,17,5,7,12,11,15,32,14,5/20/16,tip,0T4itTcrh-ThhIfgebA_Tg,0,26,6:00,"4347 W Charleston BlvdWestsideLas Vegas, NV 89102",6:00,Las Vegas,TRUE,36.1588404,-115.1989841,NV,Flex Cocktail Lounge,Westside,3.5,Bars
80-hNU2MbjzVQDrO98XbPg,0,v4VSx708VVfmt56kpWS63g,5,review,tH1tmaFaK3W4r9C0uFucRw,1,2/6/16,1,,,,0,2015-09,,5,,user,,4,0,4,,,,3,,,Kate,,,tH1tmaFaK3W4r9C0uFucRw,13,7,1,0,0,0,0,1,1,1,2,2,6,3,2,5,2,5,5,2,4,17,27,18,2,8,5,18,25,38,28,4/16/11,tip,lhxRRtmO2sv-0An6Xz1fbQ,0,43,,"8200 W Charleston BlvdWestsideLas Vegas, NV 89117",,Las Vegas,TRUE,36.1595835,-115.2714584,NV,Calico Jacks Saloon,Westside,2.5,Bars
pXP3xnhG_vEGW4snbVvUiQ,0,5dwUVeBoaFYmKoullS-QJw,5,review,C70R_7VBmd4WHCZp1B9i1A,0,7/9/16,0,,,,0,2015-06,,4,,user,,22,0,1,,,,4.33,,,Angela,,,C70R_7VBmd4WHCZp1B9i1A,0,0,0,0,0,0,0,0,0,12,26,21,15,10,16,14,23,28,16,5,3,0,0,0,15,26,22,25,25,47,29,2/15/14,tip,LbWUY7vF56uHMYSbLPUKqg,0,112,23:00,"910 Regent StSouth CampusMadison, WI 53715",11:00,Madison,TRUE,43.0676801,-89.4015806,WI,OSS Madison,South Campus,4.5,Bars
