review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
hAbbpv7biawrS582tdf-Fw,0,ChT6RcULfWCMcQ9HLjjE1g,5,review,CYcGIHmQS4FbunpdYjdz2w,0,4/29/16,0,,,,2,2013-06,"YAPWGf_GYVDmBpQr2c28wA, Ou6_AEP2bGPqtTUx1CclXQ, QWmglS6Lj6qHV3Qaa2j1BQ, cASeCClTXV3QOvcsQKVGrg",4,,user,,17,0,2,,,,3.56,,,Dat,,,CYcGIHmQS4FbunpdYjdz2w,0,0,0,0,0,0,0,0,1,5,8,7,5,6,5,4,5,0,0,0,0,0,0,0,10,5,10,4,9,8,0,4/11/11,tip,ANCpu2ibLAp87gTriTsIuQ,0,24,17:00,"10608 S Eastern AveAnthemHenderson, NV 89052",9:00,Henderson,TRUE,35.9999476,-115.1029717,NV,The Vision Center,Anthem,2.5,Miscellaneous
4If9RDHH8qjlIEkZn-EKCQ,0,NIF6UP2SioXzuXrfQzILiQ,5,review,YLVmroTTHc3NvvqMZFjLMg,0,4/6/16,0,,,,6,2010-06,,14,,user,,10,0,0,,,,1.8,,,Love,,,YLVmroTTHc3NvvqMZFjLMg,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,2,1,2,1,11/29/15,tip,m9wp3ncQm2iobOGANx4TUQ,0,4,20:00,"9210 S Eastern AveUnit 100SoutheastLas Vegas, NV 89123",10:00,Las Vegas,TRUE,36.0220799,-115.1176257,NV,Mattress Firm Beltway Marketplace,Southeast,4,Miscellaneous
IPfHDz3XhIdpQnIvckyrfQ,0,Opa9Pk6hezkxih2sQvlfHw,5,review,imMFrE0KqUBLd9o-Aphpfw,0,6/4/16,1,,,,0,2011-10,"vfo3sTtCaPSkMVhojm9xUQ, 6knFJEnhQsdldOAUDiDLLw, EjKXyTigPZr8_O_q42lPNQ, Xu2KpXfvshGgdEgfHNiyYw, 68ptTJmIeD-nqwE8spJx8g",2,,user,,3,0,0,,,,5,,,Kevin,,,imMFrE0KqUBLd9o-Aphpfw,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4/20/13,tip,ssUYfAGGhOEMEilW2cWclw,0,36,17:00,"13012 N Cave Creek RdSte 7Phoenix, AZ 85022",9:00,Phoenix,TRUE,33.6045082,-112.0369918,AZ,Mototire, ,5,Miscellaneous
IoIMFPEey3MswpGmt3DlOg,1,CVuf-F9rI17fhdyt3fSh7g,5,review,XQn-RxZ8hoiKGzf1l_-uTA,1,6/29/15,0,,,1,1,2010-11,"whKpnugMnWTz3UjlrN71yg, JaPAb6EHdLX4Yc9nOUtuBQ, lpZtfD-vCqUER1yGKEvUPw, 7gJonCHv0YhMhs3onUCFmw, kZC07DjJWassASwvwqe14Q, FQcALh4Z0sS1ye39okufMw, vf5kQjAc9iRrZQF55n9qgw, emoQY8neOSJm-xwqh4xVfQ, Uqr3GTH8tdxnRV2CDKlLEw, KOwNnt74yfzkMQSwkG5EgQ, 20EONtxKvylrHeBhCuE8xg, Scdcf0tblMI9RlrMuzwT4Q, YvJ3ljHUQWiZTWrs4p1suQ, Wt1F6q25C8p5rh17C1p-bg, H5xOyr8kewhvyqExSNdLZg, DEnPILaMxHmxtKMdYgCusg, 2TQQldkHtAbe54ZFLmxDmA, uJiaSx3dXvgpFd9PrrH_jA, OIWBLqQr3uMok-xVGueItQ, u2v9l88s7X24GxWdCJNKsw, 3tqirxw-y1ySJhhL7MGtqw, YElRSmO6dW0USCqfUCSdFg, s3bcuT_SBHZZdWgKHb4TOw",8,,user,,8,3,4,,,,4.75,,,Sara,,,XQn-RxZ8hoiKGzf1l_-uTA,0,0,0,0,0,0,0,2,2,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,4,2,1,2,2,2,0,5/7/15,tip,CVuf-F9rI17fhdyt3fSh7g,0,8,19:00,"5110 Park RdSouth ParkCharlotte, NC 28209",9:00,Charlotte,TRUE,35.1610509,-80.8492524,NC,Anns Alterations,South Park,4.5,Miscellaneous
C2PrMmSP8DKGuAV1_u0YdQ,0,Lty-q9mfuTfBmlTEI8qy8w,4,review,fFXxE6rTHITZOBkHxeQQ4Q,0,7/17/16,0,,,,0,2016-07,,0,,user,,1,0,0,,,,4,,,Mark,,,fFXxE6rTHITZOBkHxeQQ4Q,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,2,3,1,4,6/29/16,tip,Micr7s6Ab1wwmKHUPdzZHw,0,18,18:00,"700 W Warner RdTempe, AZ 85284",9:30,Tempe,TRUE,33.335308,-111.949458,AZ,Public Storage, ,4.5,Miscellaneous
hsfsyrVPnEdRsci4xS7YdQ,0,3cWa0UClMspxK3wNd9wwqQ,1,review,g-vjmBJNJHUnNIVqe56bLw,0,1/4/16,0,,,,7,2014-01,,7,,user,,4,0,1,,,,1,,,Nicole,,,g-vjmBJNJHUnNIVqe56bLw,0,0,0,0,0,0,0,0,3,1,1,3,7,8,1,6,8,1,0,2,0,2,0,0,3,8,9,5,13,5,0,8/22/13,tip,5LPg2zyHQrjzQSkbMSthiQ,0,6,18:00,"1940 S Val Vista DrSte 107Mesa, AZ 85204",8:00,Mesa,TRUE,33.379656,-111.75457,AZ,Chase Bank, ,2,Miscellaneous
#NAME?,0,XI3BOKoGPgYAussvIFYS7A,5,review,mZ70fQdGAlXtGl0zAalzXQ,0,4/22/16,0,,,,0,2015-12,"6aMd_SS_L0Qn8XqeoJ184w, 3qJLajDPgc-Imjk5INt8mQ, SU74tBtwUJR_19r2c7532Q, nAXexE5u0MrqFt8lVj3ZIQ, knEPp9DoMr613waduXskkQ, 7Jpp5Eqoq2LkV1Yb5UwooQ, fhtRJNXH7c8yNIBqt2WLZQ, XmMQVoYGYkt5VLxC-hLMDQ, 2StH2KkEjHp126DYrtcvyQ",5,,user,,6,0,0,,,,4.83,,,Vanessa,,,mZ70fQdGAlXtGl0zAalzXQ,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,5,6,11,9,2,1,22,0,0,0,10,3,4,11/16/15,tip,PxKeewBVjlt2tEmJQthQEg,0,5,,"9380 E Bahia DrSuite A-101Scottsdale, AZ 85260",,Scottsdale,TRUE,33.637594,-111.879729,AZ,People Unlimited, ,5,Miscellaneous
wEmRqZgr2mU0bDN0-TYHQA,0,xtj_4U6CdlIfmgcLGai2kg,4,review,Z_vCnGvc5oVysqOa_7J0qQ,0,6/29/16,0,3,5,1,65,2010-01,"R7-OHW_M_V4lYGbIT2hetQ, psf7Etrt3azIdhMhoPKmpA, Qx9MnE4R-g70HyF468O8dA, VUzGMSH9u1E3h4QxaIl6cw, k3itmpGK28_JGNXnAo8W6Q, -K3ZjROK0ml2P-Rk7ttHzA, fITHi0DvLZlfDpG2LO-Sww, SKyMDoDYuPvdy15zOkdeyA, VRsMYNzt0FQ__gUAOuRqcw, M-cg8raooXZKV8NsNmQGjw, 4U2vKP05FiqjxNTSOzttdw, 0RAmuyzHyrxhMSwAX-Hycg, IwLrHFgn1ACu-cZmKi8d7g, o7-Wq6QmPIa6BilYd_67LA, 9QJgAR0Mb2JrCeywJKIkGA, 0B-trXz7QD7NGIlo0kshMg, cYvt_KIWDbYulsCNhsupMA, o0U-xgtUugiOkc3vc22TRw",216,,user,1,149,4,111,3,2016,,3.45,10,,Jody,,3,Z_vCnGvc5oVysqOa_7J0qQ,1,0,0,0,0,0,0,4,1,1,2,4,6,3,1,5,0,3,0,0,0,0,0,0,3,8,5,7,5,2,1,6/7/12,tip,BH7tNckJm_9s5tCTKI-c6g,0,26,18:00,"6380 S Valley View BlvdSte F-300Las Vegas, NV 89118",9:00,Las Vegas,TRUE,36.07387026,-115.1896251,NV,WC Motoring, ,4.5,Miscellaneous
YzFeUy3JhQst7Up-xjJ1Zw,0,27JmxYcK1-4iizR8LMqwUg,4,review,KaR-QPrA8dQ2EzCBNNWEvw,0,7/12/16,1,,1,,0,2012-10,,3,,user,,5,0,1,,,,4.8,,,Danielle,,,KaR-QPrA8dQ2EzCBNNWEvw,0,0,0,0,0,0,2,8,4,6,6,3,6,5,7,14,2,5,4,0,0,0,1,0,15,15,12,8,11,9,3,4/9/12,tip,ptAS1xmxKNCdPxmZqDmNfg,0,40,19:00,"10040 W Cheyenne AveSte 110SummerlinLas Vegas, NV 89129",7:00,Las Vegas,TRUE,36.21874343,-115.3148224,NV,Same Day Cleaner,"Summerlin, Northwest",3.5,Miscellaneous
RBnRtFkPg8nLb-UB1UUajQ,3,pzmzWFoVIKpuYYG_b9bgJQ,5,review,FJIDzbL2Lj2I8nMrU7Bcmw,8,7/5/16,6,119,122,106,1019,2009-09,"yxp9i_wQo9wd6PE09IjT7A, EhcZKrQJIS226xdm_qJ71w, WmAyExqSWoiYZ5XEqpk_Uw, -ANkfLbDf8aiBQ7vywIL6w, rd37CUAM-Sl3EFntXo37Cw, _46Sn7OmqF-odwJgfyPESw, CInFos81Gf4dkBJQL-1jGg, Iu3Jo9ROp2IWC9FwtWOaUQ, ri0xJJElIs47Tm1xvn1dOA, wzIoWw1AM8whhn9BIdIYyw, 3Vn3goxL4Rx88XIhNrS1Cw, GnTuA6khkDdtvy1Aj-paiA, WYOdSuw3gyHvEU2VuogtMg, v5k-__wHo2xPI25WO-dcQA, BWfvl96IomZeMxs7XUv9iw, XpxK7cAT4R3wQjHOZccasw, JpYIDbGcuLYdN2CKi9QTJw, MX55FPej15dW5n2P4sr2Aw, neOOSMNWcVL0o2Xwb0goVg, PTY5DM38QqeqbKSyfb9lww, D7FQtXjjZQIeiKYAMzq9mA, yPWj9W9lYnSXazgafWejyQ, 6DuBPBgCN6YMowFwrp_P5g, 6IHcb7PC6qiYR9qEsBieVQ, uDVrgAX94cg2qndTSxsRqA, QXmRXXAJ7Gt0WrBiKjqGlA, nWNNojXYkXRl_0_pNbtfbQ, _HRd_Hj5Vg1w7w6DZHDcyQ, ER53FoKMKsPD7D20cH37Pg, pFq_h6xIu8Oy1q2YCKt2qA, iRRwoWWkZ2o3FaI7i6tcwQ, QYBp5mDj8ZiMh9MJU4Xieg, HOaWRV72ZQs0me1geSqBzg, ar26BXwg2Eo4Ib9_CvOVNw, ELvSkzRsw8J530JtHD07ow, orxwdyuvc5jxZBypYpWVDg, oMnzDh86ilR6i_d2cQxHcQ, VjsznbjLMgLk9OJ73B_f_g, ia1nTRAQEaFWv0cwADeK7g, 9FDMUyJStI86B07bKQleow, rzHZ3iYVQe_8h2e42DbUsw, vVE8WrFwFAd96F2fba-mdQ, vnRXwjxwm7USB8BXwkiDzA, LusAw6vTDC7KAfbuClMReA, vyiHjaQlESGcXgEfEmH4ow, 1X4vP8jG-EhpkF73yuJPmQ, piGH3VXsaYieQA_qw5B4pQ, nVXGSCdCoLkt0nUQ2gJDAw, NjOYSgr2LNMoSPi4e140Ig, 7N2eEJX_rwgroDxk1PbuZg, aYc71liUI4vu1F4-FWEfdA, wY05e7eTtMLvkg0bcZ6zwA, YCW92r_ubnb2KpY23VSxIA, WKR1O8p216GT0YDQ7EjwCg, tCEeKtKPSHC0-I01JkU0oQ, maX-i2tN6xCn1-7tquu9WA, 0zVI2BY9q4ry5u5JhIlZyA, 2fqPRkmjFr2wUxZXJNqKdg, 9A2-wSoBUxlMd3LwmlGrrQ, TdjT7TgOWhBxhd_lgGygCA, SJJ3SOOqjXOvVZV5_PKwiw, UYIn9RmOjeguHFmKYIJwrQ, kSVYpNWA19wUplbdi0U0Uw, wedjEEbHGD3kIyEH05Vnbg, e3pBgG-Vpoud4Fr_vCtygQ, zbUpiea2aiJSKXjj2zQ5yw, ljQeNuEzsKSKZCpd7IIJrg, DcgO7qiYKS2VuAJj2dQpcg, nKYmNeb-vfReXaXlB7747Q, IDff0Om6pBK3MMZDhb9R6Q, j32KBODcF0aN8bxxkac86g, 7ClQeWRUZ0ttBQ9AQzssLg, 8OeP8p7-iv3gk_b95vmJgg, oy9xc30EU3vFklNR0BYwIA, LKoYXzOlJVQG4p9w7qvvZA, joEN2Mx6n2FNzsIrR0CpjQ, 2suqpk9YXbV5HhOYY93QRA, Vlon2bJdT43_1oHSrQsHTQ, TBbME7IpGfOOcB1uFOLjDQ, 5_rAH2RdDnupxHtLRG8aLA, 2HmHgW3hRYvXYFmQyQtLuw, FLmiT_VrAhsRI4jZR4DFSg, Ft3BBqjm_ZRcQQ9UAtoJ_g, CSiEHsZctUCk37QbWud21Q, 1wGVQNsP77fChovM5ByrMg, mU6FYYUyu9PxzNGgZbxfrw, 3m5rsk7xoLddGrLK3Qi5rg, ZhDUVCThOzw5LwVQ4sR59A, tIkeQDHR_MBJgDv5fO5CUQ, -I7HB9_t2lqYF5Yq1pmpfQ, 2jGygDwTj3sA5vGbbqe-Kg, WnDFdiu4rXox-yaQIARUhA, jt4zoa6tk5q-4mWtuKHEPg, C4xR0If63TG5AKdeqC6dTA, H_yQ8giYKNXFuAuhGDTbrg, YFsXWk2ehOWlEHFRi5A7Gw, ZC15ae4FRzjO0rHvV2rh7Q, wRq6j5TozIiyPfVnZJX7gw, XediMkkz14eyXz19vJeE1w, ZNVlwqUrrz5Fkj-MaLF07Q, WlSsb5xh3nMUlEVD7uFyJg, OOXBLPU826cVJv-mfIcShg, C3feMwTZ-ZeD0y7whVns7A, q_dregDJf_jJ-4W-Mu2w8Q, pfeluQybMvHasWbare0K0w, Rvpk6OnZXAtABMq2gTGoEg, 58PgPEDGX8hLNNVbvCc8cw, WjUYtHEFLzGjv6HfHTFVfw, UEZvGxHl8oeftBdJjsUBDQ, d8Kn9n9uUXS0VZJQoGCkSA, U3MGgH3Xx7rq9SqXEMv-Kw, 6MWYspmZTRgAK4mpON2asw, 4BuBnjpTZmB3jUTWo3psFg, Arvx0etau6Vgm_P6otWhpw, Pome38h7Mo8TcZUdPbleJg, QKPfO78LkbDsY8eOwmmt-w, 1lI35wINOHVaF22q51u-eA, KV6YnVlKmDhpEDt9Ltm98w, LGLlewqdKZr5Hh2pNKZNiQ, 3zNj0Sv5Cx-pnhX3LdjxAw, LCytqmG71j0weJwD9EsGEQ, Osxzw4UoVahfJXzsSNi5xA, UJWd79HhNrbbewjc3C04jA, yW6R9fLJsRDD0lqMFGxQcA, CX7sGQN0Q4xwSX5KBXZN5A, qlWODdKjmgqip_JsaA7Tcg, JeNjr_T_uaZs9UxLfT-ySA, K3ETh8BZy4zoXd-txeXURg, 4W9UXtvtyZQXZmliuOszKw, nDw4xHHfFUz24xa5aaQuoA, 7dv_YsbEgxXj7AnrizdfBQ, Mu29P0RtLdTpckBWUMbe8w, XfZhE9c5yQtbzG_L4fM2IA, QORo6JhGMDT_JDI32kV4YA, nYQStxVy3EXqJvtuQxCLHg, jW_0xDV9Bn2Gqp2puTIyuw, 0DagME8WTkZp1mt_CVMZIg, wXeE7kwvuGE0b82-4bxcZQ, 5HICDrWX0L13Km7nLdpR8g, zMLPORK2Ek0aIZuEYirPMw, A6UPhFpG7cz0Ut3GvmRG7Q",2100,2,user,19,544,21,1220,45,"2013, 2014, 2015, 2016",6,3.65,58,37,Bonnie,1,11,FJIDzbL2Lj2I8nMrU7Bcmw,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,1,5,2,3/19/16,tip,FcUVfATxARfURHfZq1DNTg,0,13,18:00,"9330 W Sahara AveSte 140WestsideLas Vegas, NV 89117",10:00,Las Vegas,TRUE,36.1456236,-115.2990977,NV,La La Photography,Westside,5,Miscellaneous
