review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
pX1GXD6C01LqquZYXwAGvQ,0,_V4apc89XTa7Q4A7yJQVHQ,5,review,hB3kH0NgM5LkEWMnMMDnHw,0,7/3/16,0,,,,0,2016-04,,0,,user,,1,0,0,,,,5,,,Anya,,,hB3kH0NgM5LkEWMnMMDnHw,0,0,0,0,0,0,0,0,1,2,4,2,4,5,1,9,4,5,4,2,0,0,0,0,0,5,9,8,12,9,0,5/21/15,tip,srv-gUAIrjQZbb-mAfDiIA,0,23,20:00,"Square Salon1225 S Fort Apache Rd, Ste 135WestsideLas Vegas, NV 89117",8:00,Las Vegas,TRUE,36.1568895,-115.2924059,NV,Atelier,Westside,5,Personal Care
WQNKyBJQH_n-42M7gDIabg,0,VP2baY_-uUs_5Qw1cltSHg,5,review,C1OJwmUWLo13cZKGAouMtw,1,7/14/16,1,,,1,5,2014-09,"DYMjRcolRY6J8d5tP6OY2g, gXHHB8dJSfPg-6UDExmzQQ, mQRLv4zhsCf5uRlC-wKm2g, ziCy0V2N3tSh4KXu_LmU3Q, RRoSR9Yh1HCYKbju0ZmqRA, if2J28WTq7V3C8un1LM-mg, aUtyiipxP4wX2KjHfrZroA, RqAuVFTrINgNAma_nV9pYg, _QVQ8jZN867TyWgGiNGMvQ, dh54gdKah0sKHk5-ZQmn4w, bRADK4allaivGofRagfx6Q, uSGs8LeOxlwKJEYzaLlIMg, W4WdLpvW3hE7_qLRmlAjRQ, pVrpLbx3KIMxM2nfILx1Tw, 1q3A8Rtd2K-SSDVHXW8MVA, ir6hmT0NPYCxZGnpUqulng, HmKnNqsrkuTbtUJwj11xBg, vxKezrKZmlQM73Hm6Q4W0g, lovnb0cx8n1ChPtjzQyO0Q, gko8kGiIv6KsxqkFBWKOnw, nA9hR_Vrr4EL-7kxLgmMJQ, I9q9iuHLb3GBUgh5HYxX2A, -BrrDtvQIkGpuNL6ax3mlQ, 9FRjaMTZtncfdneqwWZcPg, 0chRWhyfxU1j3J3aJ7jVXQ, WQDQH-hWIFDJ8JJfMuYV0g, X48PB4owvdqeSK12DIJzlQ, pxUpONYK_fmAbt1oDHxUQw, cpQj6BGuPAHjql82CdFkTA",8,,user,1,15,1,10,,,,4.6,,,Shaon,,,C1OJwmUWLo13cZKGAouMtw,0,0,0,0,0,0,0,0,3,1,0,2,0,1,2,1,2,3,2,0,0,0,0,0,1,0,3,2,2,9,0,5/28/16,tip,0KIh6Hc3zGSdFSycqJY_0g,0,20,19:00,"4520 E Thomas RdPhoenix, AZ 85018",10:00,Phoenix,TRUE,33.4802697,-111.9839685,AZ,1UP Barbershop, ,5,Personal Care
Bn-pS-aSG5PykLiwJ-Qf_Q,0,Y6hPSOv0ezLTfQ4MMp7tuw,5,review,Rypd0UXUb_ty4nrEZguS0w,0,6/29/16,0,,2,,8,2012-07,,21,,user,,46,1,16,,,,4.79,,,Ken Debi,,,Rypd0UXUb_ty4nrEZguS0w,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,2,0,0,0,0,0,1,2,1,1,1,0,1,8/2/15,tip,hmXwrR3ute6dbawYgchlUg,0,6,,"1573 N Dysart RdAvondale, AZ 85392",,Avondale,TRUE,33.4628483,-112.3408472,AZ,Great Clips, ,3.5,Personal Care
3vT-5WbWGW9EppWnVt2jCA,0,2L4sTgOqCgh8HB0Aljf2yg,5,review,E_wFKJejd4ij4KlVs0KQGA,0,5/14/16,0,1,2,1,14,2010-05,"i3gMe2Dm4GU6fIgVAaq0Gw, 6NZxXHJq99yuOgHwtu24ig, 4ozupHULqGyO42s3zNUzOQ, _4lqpCYCqOQzbB6xQGGhrQ, yrCVGo9hsKGUS1h2KpgUVw, Vy9HeEEhZLOxBzg7dpr7tw, 28nsy0LMP9C7K_4bnuSpDw, xpci6ssX4TPIUJf-c75_Yg, L_J08wgwiC6k_6l3ZeERAQ, vSwZ0YeVMQA0reJXfD6-cA, Rdf9_9TWaDw-YY9SiipFbQ, wb1kSEFZzyy5_UAbYJrEYg, 2GqvnKS0sedwJOmYtr2quQ, D8GjP2uqiciiyDSwG-LHDA, rPtQ_hLqZDQ5DNtei1Oh2Q, 95XtTvaNEW-BvmUfDGZ43Q, 835IuUNtw8Qm4Tinqt0omQ, fV57yLGPSUzAQCTFV084nA, 7CMl2VLx5-SjdyHqt37LoA, O2_0qug9ga6i10oWu_LQKQ, WEsqlkRvkpnRxpvPS6SW4w",87,,user,,59,1,22,,"2015, 2016",,3.87,,,Dana,,,E_wFKJejd4ij4KlVs0KQGA,0,0,0,0,1,0,0,0,0,3,2,3,5,9,6,3,4,4,1,0,1,0,0,0,7,4,3,5,4,15,4,9/21/15,tip,bbdSYXiFYnFFIbABJ6Z-9A,0,18,18:00,"21050 N Tatum BlvdSte 112Phoenix, AZ 85050",8:00,Phoenix,TRUE,33.6777141,-111.9783529,AZ,Vs Barbershop, ,3.5,Personal Care
oRHw7EgmDYDLHKKGhNwo8A,0,OVmzP48OiWFYv4ClyeHd5A,5,review,ZtE1deRN-_4QtAXxxl53tg,0,3/23/16,0,,,,0,2015-09,,0,,user,,3,0,0,,,,4,,,Ana,,,ZtE1deRN-_4QtAXxxl53tg,0,0,0,0,0,0,1,0,4,4,6,3,5,4,4,5,2,1,0,0,0,0,0,0,12,3,5,9,8,2,0,3/29/13,tip,JAfFYdsX10__AI33nRFKbg,0,24,17:00,"3200 S George DrTempe, AZ 85282",8:00,Tempe,TRUE,33.3943303,-111.8880159,AZ,East Valley Childrens Center, ,4.5,Personal Care
A0Iw2zZYnBJ2Vbo4jAKihg,0,aTWlJ8Kz4n9P9w18IxV_6Q,5,review,f8b-9YoMACBTOWDIgA0lTg,0,6/9/15,0,,,,0,2012-04,"6UmSRmzDLG_baWLeoLpNKw, B9nsI_saFcinmZv5rEaNAQ",11,,user,,20,0,5,,,,4.16,,1,Venita,,,f8b-9YoMACBTOWDIgA0lTg,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,3,0,1,0,2,0,0,1,0,6,3,2,2,2,4/12/14,tip,Ajhexn-aaRto_pHru29t5A,0,30,17:00,"9340 W Tropicana AveSpring ValleyLas Vegas, NV 89147",9:00,Las Vegas,FALSE,36.101459,-115.2961222,NV,Lash N Wax,Spring Valley,4,Personal Care
FY5skBOhrj0fJezbgdvEKA,2,oF5-t7wQq5GOx_h84mKaAA,1,review,_MFYLw6d1ko3c4z509Zv2Q,0,3/15/14,1,,,,9,2013-04,,16,,user,,5,0,3,,,,1,,,Kimberly,,,_MFYLw6d1ko3c4z509Zv2Q,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,3,0,0,0,0,0,0,0,0,0,1,3,0,3,4,0,8/18/11,tip,Bo3UaAgAqYWQOvJfvtmApw,0,3,19:30,"5009 Beatties Ford RdSte 105Charlotte, NC 28216",9:00,Charlotte,TRUE,35.3033706,-80.8578061,NC,Nancy Nail Spa, ,3.5,Personal Care
xVEGP0QbJuyN1Gqjld2rtw,0,iqcU6ADnX922mXc-xeOAlA,5,review,teL2fc-Syit_0x89H4fCkQ,0,7/15/16,0,,,,0,2014-08,"IaQGxx9JKG2CceNo187awA, ntv4LNB1Qbb-P77-ROE58A, nViMc0fhWT5VmYad-8kkNg",0,,user,,3,0,0,,,,5,,,Robyn,,,teL2fc-Syit_0x89H4fCkQ,0,0,0,0,0,0,0,0,1,2,1,2,1,3,3,3,0,4,3,1,0,0,0,1,5,3,5,3,4,1,4,2/6/11,tip,qWCadscFwvg-6VSSpwBJUg,0,31,20:00,"11339 E Via LindaSte C1Scottsdale, AZ 85259",9:00,Scottsdale,TRUE,33.5875329,-111.8367619,AZ,Arizona Hair Co, ,4.5,Personal Care
KPfCCerYu-nPs1qEslc8cA,0,SniaIrQXPJ64m5gZtCxmBw,5,review,ID5utJu0sJFwAL3fZmWwuw,0,7/15/16,0,,,,0,2013-07,,0,,user,,1,0,0,,,,5,,,Chris,,,ID5utJu0sJFwAL3fZmWwuw,0,1,0,0,0,0,0,0,0,0,9,14,9,9,2,6,4,0,1,0,0,0,0,0,0,1,1,4,9,38,2,3/2/13,tip,dJ7giC5CN3ywZMwFZ0PLBw,0,31,17:45,"1835 E UniversityTempe, AZ 85281",9:30,Tempe,TRUE,33.42138366,-111.9085593,AZ,A Cut Above Barber Shop, ,4.5,Personal Care
TGP5SW5tH8NnEF1CYtKM3Q,0,Y6pIqsRjeocv29N5RLG3gA,1,review,q_w4_xV8XVPeJCtRoy70gQ,0,6/17/16,0,,,,2,2011-04,"-GxXQQb8ozWwywkCkArBiQ, rJWfqvMkhObgo563lUDu4g, 4YABK3YTNflyjBBSaALuRw, r-38589SpAkyUznjy_tbfw, G0NkQjnmo7g8weD_Xw6UTg, NkaoigiTazAcVXPUT2NEQw",4,,user,,11,0,2,,,,3.36,,,Stephanie,,,q_w4_xV8XVPeJCtRoy70gQ,0,0,0,0,0,0,0,0,5,3,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0,7/9/15,tip,HkIcA8-SpK2e7hhjxQapKQ,0,9,,"2020 E Desert Inn RoadEastsideLas Vegas, NV 89169",,Las Vegas,TRUE,36.1302002,-115.1240845,NV,Neurology Specialists,Eastside,2.5,Personal Care
