review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
es5hWMj5C5uF16P1JIo9qg,0,R_r61_57_RyNpIxSx8obxw,5,review,iXCY1SOmZea_PISt5LEkjg,0,2/14/16,0,,3,,16,2011-11,uYaBpPSc897fnhrmjaDZhQ,75,,user,,32,1,13,,,,3.6,,,Kevin,,,iXCY1SOmZea_PISt5LEkjg,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,5/16/15,tip,ItEmFRLVGrlv5Lu0AfYC1w,0,16,22:00,"Phoenix, AZ 85034",10:00,Phoenix,TRUE,33.4382789,-112.0178286,AZ,Arizona Brewery Tours, ,5,Hotels & Travel
5qDHLW8MftrXry9RTGwj5Q,0,YQV4y2b3EVvFphfOP9DyhQ,1,review,X5AL-gTr6bkmWKx4U9COTQ,0,7/12/16,0,,,,0,2016-06,,0,,user,,5,0,0,,,,3.2,,,Tim,,,X5AL-gTr6bkmWKx4U9COTQ,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,7/27/14,tip,Y-oKIbShXFApBp3zyZv96Q,0,10,18:00,"Quai des Convoyeurs2 Rue de la Commune OuestVille-MarieMontra9al, QC H2Y 4B2",8:00,Montra9al,TRUE,45.50359508,-73.55126403,QC,Croisia8res AML,Ville-Marie,4,Hotels & Travel
icJNq2pvg2CZKHPu92Ddww,1,5aVeUoRsOdnIKRimCASDBw,1,review,YlGFx-jAO5g_FWdOxM_Wig,1,5/30/16,1,1,,,11,2014-02,eiK3zxom5b_XfgNDxt5S7Q,10,,user,,13,0,3,,,,2.85,,,April,,,YlGFx-jAO5g_FWdOxM_Wig,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,2,7/1/12,tip,PDH9kWE8I9VXT7b4CX9Wow,0,9,0:00,"5531 East Main StreetMesa, AZ 85205",0:00,Mesa,TRUE,33.415233,-111.7118897,AZ,Days Inn Mesa East, ,2,Hotels & Travel
9-KOx3XSdTl2QrlH9psI4A,0,zOQFx3UQJ1viF3OkFsrhOQ,5,review,JsorhAPDyafD2JC-6fY-sA,0,7/16/16,0,,,,0,2013-07,,0,,user,,4,0,0,,,,5,,,Debbie,,,JsorhAPDyafD2JC-6fY-sA,0,1,0,1,13,22,22,6,20,45,29,21,15,17,16,20,14,14,13,8,12,12,19,10,54,52,55,61,54,31,43,5/3/16,tip,bu4-2dSis6MVFw4_G_CTSw,0,58,,"3400 E Sky Harbor BlvdTerminal 3Phoenix, AZ 85034",,Phoenix,TRUE,33.4354656,-112.0071714,AZ,Delta Air Lines, ,2.5,Hotels & Travel
0bNCu5n1VEGB6bgQ30-Vow,0,a3XfbsL2LFpSGC13TXlNBg,5,review,wM-REsMG3ZSBhhvuawXDDg,0,7/15/16,0,4,1,,62,2009-09,"Zuqri2nyntU1bzfDaFU_fw, CdsaVIcxsvrcKknR-D1CFw, 2u-skmpHURmP_lt6hQcAXA, s-fUMm2wm5JQXKd4_G71fg, mActDFMagqEYvJxmO3MUhA, VXOpdArl71-zTMY2KzB84g, RA0p8u4MLuT_TycTSbbkAQ, gBID8jIwsQIE5W_Zr0Vhjg, F6obARU55IL9CVSBdBt99w, UFPdthvTipX6E7KEf-Stvw, KgC628fE3MIoGYMZFYxk5g, Vp4RUJvsXB5gb7k3CDdHnw, X2riYZcWpD0HA4nQ-M0wXg, iZXJHJc6v6qp3p6_NbOUhw, qT99KSwoTdNzoAoRCFZibA, 9EBQtYoQK3B3O_kSU2gUxg, 7X4AXX5xbYL-MqFXlSfiUg, 3nWa4VpanMeNsqW0eywK8A, fKhWu2E7ZnBKyIjCJtjO9w, AGGlAJWBejQ-7oMZ1NamYQ, v2VKl2lZ6h-yufsCIQw06A, AyVvDVzJEYV8iRLJbVPg_Q",77,,user,,97,6,19,,"2014, 2015, 2016",,3.99,,,Frank,,,wM-REsMG3ZSBhhvuawXDDg,7,4,2,4,8,10,11,8,12,12,9,11,10,6,11,8,17,12,19,11,10,7,7,8,23,21,18,23,54,54,31,12/5/09,tip,X8vsONVMrXka-SJCd-nb1A,0,78,0:00,"4520 Paradise RdEastsideLas Vegas, NV 89169",0:00,Las Vegas,TRUE,36.10691452,-115.1509171,NV,Hyatt Place Las Vegas,Eastside,3.5,Hotels & Travel
#NAME?,0,NAS8wl0miz5507Iubrq-Tg,1,review,TCoTqRkuZEAiWq1KYCczoQ,0,1/15/15,0,,,,4,2008-10,,4,,user,,17,0,0,,,,3.59,,,Sandra,,,TCoTqRkuZEAiWq1KYCczoQ,0,2,2,1,1,1,2,2,4,6,2,2,6,5,2,5,4,9,13,18,14,4,2,5,9,6,12,14,28,28,15,5/20/11,tip,v_Xev0TFiOwes80yt1_BgQ,0,67,23:00,"305 Convention Center DriveEastsideLas Vegas, NV 89109",15:00,Las Vegas,FALSE,36.1320477,-115.1588934,NV,Clarion Hotel and Casino,Eastside,3,Hotels & Travel
R3Kc1NHG_j75piykRTFEMA,0,Q00Z9r1srgI6T9d0018BRw,1,review,wACJV7-9zFY-WuOKMgEKJA,0,7/10/16,0,1,4,1,17,2009-04,,107,,user,,80,3,25,,,,3.84,2,,Bill,,,wACJV7-9zFY-WuOKMgEKJA,1,0,0,0,1,1,5,0,3,1,4,6,4,1,10,6,3,2,3,1,3,11,9,2,15,7,16,16,9,6,8,6/15/11,tip,JZm_tTi2uFLPCdXCVzGfEA,0,33,0:00,"7101 Cascade Valley CtLas Vegas, NV 89128",0:00,Las Vegas,TRUE,36.211332,-115.246797,NV,La Quinta Inn & Suites Las Vegas Summerlin Tech, ,3,Hotels & Travel
qVBGyiQLNhBsI4H67_GPfw,0,488rImN2ieXRY7SlieeYbQ,5,review,7ntQeXCgfRU0GazrP5TG9A,0,6/17/16,0,,,1,3,2016-06,9VkGAGwaPhXvZ6PDn1lR2g,17,,user,,95,2,8,,,,3.77,,,Makennah,,,7ntQeXCgfRU0GazrP5TG9A,1,1,0,0,0,0,2,1,2,1,3,1,0,0,2,0,4,1,2,0,2,6,0,2,4,7,8,2,6,4,0,11/28/11,tip,NZDYjKN3ZiIxj3opOoGFPA,0,25,0:00,"9425 N. Black Canyon HighwayPhoenix, AZ 85021",0:00,Phoenix,TRUE,33.5721676,-112.1159794,AZ,TownePlace Suites Phoenix North, ,3.5,Hotels & Travel
9NfcXTL6s57L51Zip_Fhuw,2,JA5Tg8yAdE71cYYuP4Jr2A,5,review,xAeQE0myjwelCiMLmJ07zA,2,5/22/16,1,16,8,9,87,2008-12,"tNwBuLECiL0OtxTXXG4m5Q, 8XA7D9BwnL-Xxw_yLwL8hQ, 2xl5reFNGc1w8qUmc6ZPxQ, bJDfVV56Gbmbd2GWzgKlzg, d1jihTTc84StSZsUS9iJTA, ouWtUBwjJtM4uXUraiv94g, 90kVHqzTDOyWKfvonurD_A, niXwEOHjj88zKQdIUeGsJQ, gv9zoK6-FE9wTZuhotjZIg, vu3H60mDoEZF2fPODGEsfA, fJPoRn-oVtaqgyPh0RQxeQ, JOP3aS2XInW1DgANCtrvaQ, RlS8sp058L-JylccxxJIhw, kThoLEjOHYzDqL__up5zXQ, fjzyHyrY3Dr7-263MsNwRw, jjWfGYp-BsnpCrxCbP0yAg, fwu3Fgy1wcpTN6maxXtMJg, BQzfJLc0lf4r3GYyR14lHw, UmZnn6B0PV4nAiWix0F4qQ, pcf6qS-nDjV4Vh-A2vRFog, azi3EesqxtOmogXqzmFYaQ, iPmJAGYJIrkQXt3y25JZJA, 6TvihlS-N1TzcPwKWrhOGw, jh8wNHkt9uSVOotmt13SOA",328,,user,1,254,21,138,7,,,4.01,8,7,Jason,,5,xAeQE0myjwelCiMLmJ07zA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,4,0,0,1,8/5/10,tip,iCl_P1R8w3QcIGz1YAeGGw,0,9,,"928 Las Vegas Blvd SDowntownLas Vegas, NV 89101",,Las Vegas,TRUE,36.1591552,-115.1476804,NV,Gateway Motel,Downtown,2,Hotels & Travel
D64dvzN5jlFE-krBJ9RUUw,0,Z7YyCpVDdS7p-GJWmMxjlg,1,review,ecnAOoIm-ikAHkTWsGUmzg,1,4/10/16,0,1,,,4,2014-12,"CVznnoXRbQM1tVtzW48TXw, 377CDhtGrgoNNEnEhf6Ccw, eQV8Fknb4gb3oBLbFTWOWg",14,,user,,28,2,13,,,,4.07,,,Justin,,,ecnAOoIm-ikAHkTWsGUmzg,1,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,2,1,3,1,1,2,2,2,1,1,3,2,9,1,3/19/16,tip,VpgzoT0OOuD8ijmm34t1Kw,0,10,,"1530 N 52nd DrPhoenix, AZ 85043",,Phoenix,TRUE,33.464558,-112.1730008,AZ,Motel 6, ,2,Hotels & Travel
