review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
I7RWXP7WRGKGakTWB8fQlg,0,S2vbqH7UB5AU0wibWH5hpg,1,review,VXwRmWJntLVpwjdJ5Su3xA,0,7/6/16,1,,1,,2,2015-04,"KYOieQyb7HIV234I2ZcBBg, oJG02-GWN9MmosT77riBCg",6,,user,,20,0,3,,,,3.89,,,Adam,,,VXwRmWJntLVpwjdJ5Su3xA,0,0,0,0,0,2,0,1,0,1,2,0,4,2,4,1,0,1,0,0,0,0,0,0,0,1,0,2,0,3,12,1/26/16,tip,qA6l5UGplXssYZN6HlLsyg,0,5,,"242 Stallings RdMatthews, NC 28104",,Matthews,TRUE,35.086886,-80.693772,NC,Stallings Park, ,4,Sports
P1MXJ8mx2t_f0vc-BHLdZg,4,M-O0tasOl0SGiUsxdO5cZw,4,review,CzHM_a2Y7OHIjpkMPciM-A,5,5/23/16,5,83,65,28,351,2008-04,"BroRJjahfi7v96ex-EMmPQ, vr4n8XgSXOoEvSoatu8-jQ, EhcZKrQJIS226xdm_qJ71w, WmAyExqSWoiYZ5XEqpk_Uw, IUATSzz-kFcT38DoqhSs8w, -ANkfLbDf8aiBQ7vywIL6w, nKoB5cWZHXYUIUcQsUDogA, 0XRFyY8-dxmrDheFPpe8Sg, Owniw6j7TQcVG8LoTKMFDg, y2EdC7LfQ_suqUO17CpkEg, _46Sn7OmqF-odwJgfyPESw, BAkShY3E9BCjYoqin6aeKQ, ifFTbGgwjXALO1PgMHzrTQ, Mx-vxv_V-SQCe76w4RmUfA, bCLFdVfkAiZ7t1xDskb66Q, Iu3Jo9ROp2IWC9FwtWOaUQ, 4kAJgro3HZl0cZNtxpv2JQ, 5fA4DHiyqq94VS1EZwjHGg, OenOT-9gu5hb2JqcJSBQTQ, 3Vn3goxL4Rx88XIhNrS1Cw, eD9VAnbyW3a1Vg3bfLoX9w, TBJlT3exSgHoXbPNRgbuag, WYOdSuw3gyHvEU2VuogtMg, glRXVWWD6x1EZKfjJawTOg, d085dRtu-XMf7a2Lz-gJ1g, 1r5f2y52f7VG5KlKY_I-jA, ylg8C8GDRGpFn9WLQQaxuw, WJpetknGX2aBYQnQxYIZ1A, KdDaH2G9d4ggaQiagjYMKg, JZi1ItZsSxuCr4VIkoeI0Q, 5G0GcGQU7NaPghLBwWeL5w, huKYBfeFtYCOWs4I-GESSw, k3itmpGK28_JGNXnAo8W6Q, URm4DOKN1kf7i-Za0GRDFA, Z1HUewAmQtestLcgD5ZM6w, r4WNa0sGV0UkuOueSJgaOQ, 2u17gvqq9UUygoMW8PHpxw, OQkcIB8X5yfn2jdBhXMbTw, VTWZ51HURLvXOvBEaFDf7w, 9XPgaXr0cq3CGEpY3G3IJQ, ZBtSKORhET4oKuFHjmbBUw, 6DuBPBgCN6YMowFwrp_P5g, eGdk9XWbnJ8FqFkgumI3gQ, uDVrgAX94cg2qndTSxsRqA, I1ywRg53510eANGBQ0U9VA, edwFk9tiTfdOP5A8d8kgmA, ChgmBht69bnqSdDxpWMAqQ, 0PS7ramgZYYoNGeJULFn7A, IrzHAVpjBUSLnnrY5jG2OQ, DwSewjdQSZJkMm-wFzogzw, xQpO4Jfi-Np3HLmJrQAe0Q, ZqGQeF-KAxMBscieNC2jQg, pjbTLWrPbEFMFCfyYnQNQw, SKyMDoDYuPvdy15zOkdeyA, Xcv0MToe7-036QDRpMjX_g, orxwdyuvc5jxZBypYpWVDg, vIAAaDYXz98PZiJNDzKOAQ, iucKmLE-Q6I6dAI0ttR85Q, gWYxUYHVimBZWa6hGpR27w, Spnr2KO2B-0VZTRxio5-AA, ia1nTRAQEaFWv0cwADeK7g, OW0TEeI9hGqsBv_nkawiNA, Te7fSSZniESTOnaSCa3n8g, rzHZ3iYVQe_8h2e42DbUsw, OipLeJX_m0dZFlLm8TElPg, BvntCyz0htGWkDqRAlxogQ, eVTcstm1qKf0U7oppUZQFA, PV5voYSD43Cn_3gHmxG7DA, vVE8WrFwFAd96F2fba-mdQ, _vgAG7TN0nQN8GBOv_unSw, LusAw6vTDC7KAfbuClMReA, NLmVF4cUTCUZYzYRE6JL_w, ZPnjxhKUsBDhXEOBKY_n2g, olKIOr2PVh0gLcblu2ZONg, sFoAoCewq7gz2kP-yKs-NQ, FrcMZUyGHSEDxjrFjlG6lw, K-u7ljWTUYzxh7FNxFd1qQ, L2dRN5ls2uOss5hhBZGpJw, NjOYSgr2LNMoSPi4e140Ig, IejabVkUBo0YKQSJzoiwUg, T3OqI85mcQe8cBT0nEffsw, bLVLuHlQqCNW56Vajq8lOw, WKR1O8p216GT0YDQ7EjwCg, qqtmFGhyyHc37coT4qJxaw, z66CHb8oFtPWAEUPvEi8gA, pthkMxebHj22bR4hYLc_6A, GnzT9CF-S-rZ3M09H2fchw, MQkLdOUMKmt8sPnGACEdsw, 7M9NDoCNtGHPyDlJEA0b5g, ZSEOaLmgvjyD0gdcJX69iA, BS_nh8pIZQLpla7mpoD10w, kSVYpNWA19wUplbdi0U0Uw, 2l2lRFuHLdyGjAuusqPDag, 29FbJYO1TYGSxiGd-v2p-w, R3PMV_fkX2zmwwEnFbUK5w, wedjEEbHGD3kIyEH05Vnbg, qnwSZOFDCtyoxlM7zSAfAg, zbUpiea2aiJSKXjj2zQ5yw, 5AAWJyLXdpHIjJ6fQLsqKg, Yz5sgWyDo8EmWQThEUPQXA, T4QwUfBZMbnKw7u-EfJtJw, ljQeNuEzsKSKZCpd7IIJrg, auAlMpATTXFHpYbFnCObbQ, jxUzUEoSDBlZ6kO0wU5_cw, 0RAmuyzHyrxhMSwAX-Hycg, MFPH3XwqurAOx-XzJ9myNg, tRO_Ah4YnCiB8VJddHHV2w, oOayyTrVO-PbVeXXsh_JEQ, MvteA_wOszf3gffkM_CKDQ, ipk0uMQg4u24w0pWdLQCZw, Syza5ySmpI1X6mK3UOSo2Q, q4UstjbtMWEXU9IGY8DOdg, Up0U47whoCWNbJWLdYJYIw, oy9xc30EU3vFklNR0BYwIA, MonNLZ0ewhxAl8z-v4vqig, joEN2Mx6n2FNzsIrR0CpjQ, 2suqpk9YXbV5HhOYY93QRA, r6tZk8doEJ9bjaIGeOP-Ug, IwLrHFgn1ACu-cZmKi8d7g, W4YsRCa1Xq4wrRRf53E5ZQ, Vlon2bJdT43_1oHSrQsHTQ, QQacOXfgNDSwTvJyzB1iLA, V352Br9MlXbAdcSiXhJ7RA, nJSq1pVdli48waJTro7vdg, 84ENW2_MyC4jUR5Tdm4lcg, vc6xice_O3SCBpXgNIDV3g, 6PLifSo96zUstcx2TstCaA, 2U6EkN5OEX2L7mFr8DF_zA, 5RnbfR0X9_a6RIKrxZpouA, hSifLbeJ6_ihTM3k5um88g, 4p3l3cejH3AstKOlclMzbw, b89mmlWnUfrIzpuftP3cgQ, FROphIl7uZeTgLPr6eC9Gw, Ft3BBqjm_ZRcQQ9UAtoJ_g, T_SR4nmgB6NMWJrjwopTyQ, QMTQNQmp4hQ2o6hkRX_Uxg, N7wNlo3_EaHUWHiFDyGh5g, OaFcpi3W4AwxrD8W2pgC_A, XKpt8Iqx2crVZvrdhuzJYg, zPkj64w6rvCpXsv6Ti8Tnw, xnvcNNq9wmhWyVOckG5PYw, R-5E6dfIlilS3YTPNcdnSA, h5E7zyn61HBMB5IlpE2sjQ, PRcfYRZGxTPFQgFqpnvp0Q, YCIDDqTIlRf-80n8VDBsIA, bc7C28DTktKSh1q98Il51g, ROeny8Ej5mOKJ-Q8qA7y0Q, Ew2g_SMr95OQixbJX8zbNQ, 51gS2JHgVj-vdS26avLfhw, XjHVXGOmu_MiL1gFovqT4A, P2K6WMpK9fIZvb27FTtAoQ, jt4zoa6tk5q-4mWtuKHEPg, 9HCfCmd0t5GErgm7He6AeQ, C4xR0If63TG5AKdeqC6dTA, 5UmcybPoU9HA-zTLhfI2Qg, 7EIw_kN7zpKffTvoTcBcSg, 59bLujt2bBCrjVmCiWWeJQ, _VS_hKWFHum0klleDXXuEw, IvhOwmm8PfZCW-1MiTme1w, PHkSqSS20qnPFBFMSc7gBg, hCJy_SaAW1BPy_YkL747WQ, t5r4uvEflDd8rmi3GPU0Xg, 3dvXMUTNs1mbuXtA9PAM3Q, jg_wopSyk3le8p2pZYNTwA, Os8cTKuYQvu-0T5zr9HSzw, as22TLsZn_SwVv4oCjxdMg, TmWMqg5Rh-O4dKK8UjUDjQ, SRfj4BW6F0jNDDHGdGEr2w, 15FxHBjNao90u-2DzD9lYw, R_Fzh9YjpT0pg7dxhmFQnQ, fQDCnlpF5WG37wXNhI-9IQ, 3635YlUHY7G5huSupaXThA, UEZvGxHl8oeftBdJjsUBDQ, Pome38h7Mo8TcZUdPbleJg, ptsLA8w8fOdogt31z4f0Kg, KV6YnVlKmDhpEDt9Ltm98w, LGLlewqdKZr5Hh2pNKZNiQ, 3zNj0Sv5Cx-pnhX3LdjxAw, YU2HjqmcZ-Oy4Ah9AvV2lw, GhNrIZ0_NsOk2N4XW7UJzg, 4jxaMLzOT4GzsVKRZKcYTw, zz7gfKysyUpT2PIu-e1k3g, oAUFsx6V7h_a1YdxXnNuGg, xSGwJGFMWELXIFXMIXg8ig, nDw4xHHfFUz24xa5aaQuoA, dnsjwqFlmxoOARvqHSNXNA, 7qpOxvG02E82017_2QLnfA, sE5HgWLWc1eumcrg9McZKg, 6QyaHkGeHD1YdWoB-y-ZWg, yMzNuGoXEmpPUkh90P52Cw, lHvgagt6-83yZgDwJADdPw, -O1oqHCqzRrheXFmRjWc1A, 61ZHY68FQYl8Fh3BvjUGHQ",1195,3,user,3,409,25,544,38,"2011, 2012, 2013, 2014, 2015, 2016",1,3.76,25,9,Vicky,,3,CzHM_a2Y7OHIjpkMPciM-A,0,0,1,0,1,69,63,25,18,32,26,31,22,24,15,9,34,84,168,86,20,6,2,1,158,144,145,127,85,49,29,12/2/12,tip,EJLXnp1ehDzu8togKhSZGA,1,51,20:00,"4360 Blue Diamond RdSouthwestLas Vegas, NV 89139",5:00,Las Vegas,TRUE,36.0387056,-115.1986027,NV,UFC Gym,Southwest,4,Sports
598dT3vfBKQXzvNamzSB3Q,0,WF0wHd0d9p_BxnYdVW9tNw,5,review,3vIE7xCQPpcGPxkiHUf35A,0,6/24/15,0,,,,0,2015-06,,0,,user,,1,0,0,,,,5,,,Marc,,,3vIE7xCQPpcGPxkiHUf35A,0,0,0,0,0,0,0,0,2,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,2,1,2,2,0,1,0,4/17/14,tip,ofPkm7BTBJeaD0OkmZNdNQ,0,10,18:30,"3744 E Indian School RdPhoenix, AZ 85018",4:30,Phoenix,TRUE,33.49567677,-112.0002512,AZ,Team Forty-Four Fitness + Nutrition, ,5,Sports
mM7aVlLrX1aXQH9qUBCOtg,0,_93bUdZzTOEENpINzTEMkQ,5,review,_1CDU2o7HiX-sPtpUtLDFw,0,5/11/15,0,,,,0,2014-08,"2ESgr84jNDas_cc7QIWB6A, 4xaC4c660LOb2qdVeSZfqg, Gf9SRYaa7HXHGre-4DRufw, WI4DyaHOz9SMhngG83QbNA, C0AU7c2xJq8inYxpVaghWw, p6XoSAnaFWwiZg0-xYx3wQ, 9-6uPVp5Lr9HBJtCJGAukw, WOZRSK5PizdsJWhxeMUrxw, LI5szP-00x57z2qWSiNUEg, QfRmDp4obVNSfFneMfFMNQ, bvr3Vl0EGCNxCZwuK4IJBw, tRBC8zo48KbWIJn_hEG4mA, WZ-bH0Q_qvSV1ycXbUJUvw, HIgolLAWer9uvDmx_NWIKw, ubmTBCAR5SpoS0MBloSLFA, Pm6mAswaBUpAVkmflgQZGQ, 1OplwQiAEBEOfwr9CR4uhQ, gy9kGR-xpek9ojb7J7lRXw, uNlLatJ_P3p1SAkxY_eHLw, d8P3uOMAOvW4Jtvt8vQmMQ, lzoXwcDbciHQsVC5VYNVwA, 4KMPBI9sbUKl1rM8yMIZMg, Hd9CN9GTfB5iV0dr8XjzMw, yhs-v7wXOL4GpjvN5uREpw, IkMHvdjix82Rpu-PJuNc8w",1,,user,,14,0,0,,,,5,,,Alicia,,,_1CDU2o7HiX-sPtpUtLDFw,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,2,8/5/14,tip,_93bUdZzTOEENpINzTEMkQ,0,7,,"19420 N 59 AveGlendale, AZ 85308",,Glendale,FALSE,33.6624675,-112.18689,AZ,Elevate Yoga Studio, ,4.5,Sports
xQzdzYlQeRjy-RXoMUaTQg,0,9UNGbiE9k0fvMpCMJp0Gww,4,review,WLRmfhe-bnTzg9uLZeZNoQ,0,8/25/14,2,2,3,,40,2009-09,"rpOyqD_893cqmDAtJLbdog, bZFRqP7s0Vszxeu8_IwYow, r-t7IiTSD0QZdt8lOUCqeQ, zKyJDKJwAfWGB4HKXp9snw, kq5Pdsy8Znyh9KEkxWT_QA, pVc_37K7H9QUJUP6wFL0Zg, cHnlIFP5WwJRer7_C2NUng, sY3vAX43yUeZVk4d99cjYQ, KrIBoRBtS2MegCZZ2bkbDg, oGzab3FQ5D8K2bp_2ESigQ, yGhTkVx3O6uZNEQkx5x_Qw, yjOipnZmnRYjZVIQWUlj_g, aIAjAU-6NH583EkQ6E9KRw, ia-Bk0oHTcutM7_Kq6Jrlw, UHOFZkgIvb8sn3RSPMXMSQ, McMS1Xw6qouR8M4pygTNDg, 8MgMRPw-e1M31uNdkdVlVg, 7Z8mLE_bvyrubNkF02F_pg, odThjV8J2Y2riZGFw95AmQ, MOdILSTOFnq0iXHN9l8_zA, iz0C-p-48pqBfgA407WnKw, qZrArI2ohkYkQlELl13BKQ, S9Pg75mktnFz3o68ZDkYcQ, 4ozupHULqGyO42s3zNUzOQ, bBsMXPdImuyMRpIL4UVbDQ, zX-1TG5Faj7aDAt15X1vmg, 0T7LTfPu5MpP0ntUHAC_vA, Q4c-HD4iycZGrAnNK6d0tw, knIEISqyNEoXCdiFBh9D5A, EiJ_9SMGu0JeHwZAWzVxcw, YEyx8t2Okqy8JDWHcF8C9Q, XY_bQqhZfyyEi_W5n4kQNg, FyY_lBFItdSHgRagaTVu5Q, HY53AFJzVN8DMHMn6Cd6jA, RLRCszifHqysVdcJjboRVg, 6nRZyzAbs5SQ-ArS6DlVCQ, 1lwR1L0XerFlEtwhPpmH2Q, eGAXs7KxmcB_PCxpI9FjKg, 2t8z2r3KYbBpZUH_uq9yFw, bkiBqfiXVhRYNWlrUyiVog, d0PHPwf_MZs-ZZ_d0iSapw, SHWFXq2xACjJUuoPAvztAA, hfB5Aa8euV8dM0YvP_iLhA, LdhwY7eudLlx1KFQQe9GwA, AU_4gDIGjdZLekYdPutfsA, wuCszpVPMIMyOCualnZtaw, HZXOUkFp7ufpOyNePyC4dQ, i-irTdF9JerNf0hG64EpEg, cNBo5faJw9A0d1sCyVbvHA, pfgOJ9ODhbkVSSpibh2hJQ, yVCN0W6nFL40JPFFpfTY-Q, BMaSKG7JmKK1-YumiegGTA, qjixA4Vl8mXJ63hP-CGWJg, PLgIlX8t8u40LlE-FERM4Q, VDEcdH6o8IjtfWv7R5khaA, 5FfVSB5wUOlyTpj1AVzKXg, kNtuMa19HAvQzrAFjXc0RQ, Kve3B24iIaaeErkrNdtzXA, bDw-H7VuqY8OE5CePH7ajg, AMKiaeevcw1k75yeRgNAxg, BkxbkiTa9_9A7j-0BRGEhQ, uS-Z1gRv9PPvFmm-eyxmDQ, y6VCmOR_telhWHC4OnxODQ, PD8feAq-y3amrN59mZ5nkg, ds5EBPrziRgXP5C-8VtUJw, YELU5TN4M9U6B264EBO4eQ, rBvjxUqoAhejqP7hZO61Zg, bupaCbFvYlPon26LHoCrAg, W2RG2MbQlHCX6MTGZIuhIg, lmiDCrmas8TxRsbIGZX9Pg, hdga42cwsk6je1X8kK6UGQ, OwVB3YzcYeTRV09tpNDBSA, XnLKzryyEY7PIz5W-TuNuw, ERiGsjjy_WtGV3X6NVOwEQ, pczt_L2r9mVA1YjDumymyg, UsNcFF5NWnj9Wo2RMujTZQ, Mgm6xZjahS3HD7qqOyGtbQ, Q-nwYBy7i89w00B1YvTL0w, M4M9pxBCMDtN7BVyNJcr6g, Or4Ic2RIyaiued_TQj13Sw, qKRE_7osP1zUbrMxp3nI_w, PfioIfEtUoSnTBOqsx65dw, R15def-wYLFRwZ_Tgou8Qg, E3PlPdDKoE70jZ_uKtFEGw, Mat6z_F-VZwWyL2hTHGFAg, iDcjErKmXtkjKA-omzTm3Q, r9F_Dm9Vh6lD5yT2ch59mA, Z03QQZUyPK-jGIOECijvOw, VaQ9THOT-ofI4F5FMghxnw, g9VwI0ld72TrzjEXzmHaww, xdyKP5b77sObmPZVC5G5jw, StkWJf5SsIQIcUb-f6RyJQ, uXP1DOtKDIn38qTtwx3mRA, xebLzu_jwsddjTKCUy3oYw, rYuhvTOSSBx0Lqw0wKXy7A, eshIqohS-9FMLdKOhTr2Ng, jzYXfLdqGQqM0Y-QkD1b5A, VtzfwBPBnWng0Dw1dJr-oA, LWlPx66192wAKDwKcIeXlQ, 2KgMrBmHxfVSsnI6_-zXpg, eoytNjRyRLcstwknRJThLg, y9XNvgjpHNdbFRoz9lKnwQ, 6yTRD8vJA98oB0g2Z9wZvg, sR-BvFarkK1TXt_5BV5uHQ, QYxjmGgWvT6VwPBiGfuAGg, ZzGV-nF72F2lPS7WNoNfrw, AXGJ_7nKn_2gUR51g-fk1Q, yA4dMJo6Kg6pNGyMefQf7g, YK0wnVbOI3jeituhj2LhgA, rX3BvECGJh8DLy23mgeaKg, 5hsoOSfBFYGD06MTkkf_DA, WuwHHNmbGOtq5LStsr9VDg",100,,user,1,46,4,20,,,,3.98,3,1,Mitch,,1,WLRmfhe-bnTzg9uLZeZNoQ,0,0,0,0,0,0,1,3,5,3,2,0,1,2,0,0,3,2,2,1,0,0,0,0,0,3,2,1,0,8,11,8/6/11,tip,SSFNIcWmDFXD5sQY9zGe_w,0,4,,"48th St & E Indian School RdPhoenix, AZ 85018",,Phoenix,TRUE,33.4946049,-111.978252,AZ,Old Cross Cut Canal Park, ,3.5,Sports
kBrasfqvfxpKmtm1WrPNuQ,1,VDkcCn-7_gVvIU-8uVwixw,5,review,YsWjmiraRg6LLc7PhFHqHA,0,5/19/16,1,,1,,4,2014-07,,15,,user,,9,0,4,,,,3.33,,,Meaghan,,,YsWjmiraRg6LLc7PhFHqHA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,11/21/15,tip,3IpAQlT1pJMuIi7dy-WWGQ,0,9,0:00,"300 Mt Lebanon BlvdPittsburgh, PA 15234",0:00,Pittsburgh,TRUE,40.368716,-80.034629,PA,Club Cycle, ,5,Sports
bEC9z13M6jSGbfJ5aPiETw,0,Xy3WNN2tMFel_87AkcEFMw,2,review,bSfQfaxMgAeWH4dZbRdabw,0,4/6/13,1,,,,2,2012-09,,2,,user,,4,0,0,,,,3,,,Susanne,,,bSfQfaxMgAeWH4dZbRdabw,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,1,1,2,1,1,0,9/10/10,tip,fczQCSmaWF78toLEmb0Zsw,0,18,19:30,"10050 N Scottsdale RdSte 115Scottsdale, AZ 85253",9:00,Scottsdale,TRUE,33.5776676,-111.9277608,AZ,At One Yoga, ,3.5,Sports
WJXHgDEMvpCkXFHNXbqQmw,0,kstee2wqNI41D96BSruMKA,5,review,vkYbomzEHSgkGp5iktSK7g,0,6/8/16,0,,2,1,34,2014-04,"WYOdSuw3gyHvEU2VuogtMg, 4p-qAdc_ZLXfieNwaZGNGA, Iwt3EyNvGcngxpoeatPvzg, NLmVF4cUTCUZYzYRE6JL_w, 39YvoMHdO5X0iF-CCh15lw, ruWeM0emgx9j4i5GC7eqpQ, X5gDspnHVT4SaggGu53_LQ, oCLf_VxcdpWn-x62nG7bbA, DU_fNXC9M4yiPt0N2WCx2g, bkUY8XCyBmC6I_dMMX2sMA, gfr5HCCGqA8MSrjd_fEstA, GrRaQzmynpSbxzwngg71Xw, 6T_0DdeXlUWQE0nlvKc5hw",62,,user,2,27,2,26,,,,3.5,,,Priscila,,,vkYbomzEHSgkGp5iktSK7g,0,0,0,0,0,0,3,2,9,22,10,8,12,11,8,11,10,5,11,10,6,4,1,0,22,15,17,18,17,34,20,7/26/16,tip,DQ9_zYAtTXMoBHF268XE2A,0,8,,"100 S Rampart BlvdWestsideLas Vegas, NV 89145",,Las Vegas,TRUE,36.1730212,-115.2861218,NV,Angel Park Golf Clu,Westside,4,Sports
ZsA_eXDJ60YMP5Z4fsVssg,0,lN6JLEXSzf0jqfLpRh3XAg,5,review,O7X2FExFAj9bTJcOx_rKuw,0,6/3/16,0,,,,1,2013-06,"2gBTd4y0dihEkoPETyh1-g, wi3ipObOHJ8RLICNnxy0EA, YIMPs38Pq_klbHvVt36NaQ, vfVipUN-RKIUsGieckdQiQ",4,,user,,10,0,1,,,,5,,,Brent,,,O7X2FExFAj9bTJcOx_rKuw,0,0,0,0,87,144,46,39,24,23,25,33,7,1,10,28,70,74,43,11,1,0,0,0,138,126,143,102,103,52,2,7/11/11,tip,b927p9pWxM9EYoNr_6PxYQ,0,17,19:30,"7018 E Indian School RdScottsdale, AZ 85251",6:00,Scottsdale,TRUE,33.4952272,-111.9299239,AZ,Cactus CrossFit, ,5,Sports
in-iLaQL2CemPs5LJtfshg,0,wcq7973616cgO-M7nXJHpQ,5,review,Gox5N4AcpxUZM86NEpNF1g,0,7/13/16,0,,2,,1,2011-03,"VFzYCoVKke89BA4ZxxRMag, NBUiUTGy72-11NnI-A5PGg",3,,user,,15,0,1,,,,3.2,,,Jaime,,,Gox5N4AcpxUZM86NEpNF1g,1,1,0,0,0,2,7,11,13,8,6,5,7,12,6,12,21,11,15,18,10,6,2,2,16,16,30,31,16,40,27,2/16/13,tip,f4CExFYr3GTMSBD4BccDQw,0,13,,"7745 E Brown RdMesa, AZ 85207",,Mesa,TRUE,33.43459746,-111.667968,AZ,Red Mountain Park, ,4,Sports
