review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
pk6bMZzooTFY3IdPn3uiiQ,1,JLt5i0HVf7dOHMcqSpPMTA,1,review,7vviQbJwTqs8qXi-KwcXZA,0,7/16/16,0,,,,2,2015-10,,5,,user,,28,0,0,,,,3.45,,,Jessy,,,7vviQbJwTqs8qXi-KwcXZA,0,0,1,0,1,0,1,6,16,35,59,78,83,75,97,105,97,73,88,82,60,21,3,1,120,104,116,122,134,188,198,2/24/11,tip,ngD5RF07pxwlq4euexSluA,0,40,23:00,"12602 N Paradise Village Pkwy WPhoenix, AZ 85032",8:00,Phoenix,TRUE,33.6005154,-111.9895388,AZ,Target, ,3.5,Stores
oyUakz6GKceE4V7TSs6VkA,0,6E3YppCqkV0Nt_GHCT6y7Q,1,review,G8dXOVbLWPIRYpXCvpbr4g,0,11/9/14,0,,2,1,20,2014-06,"WmAyExqSWoiYZ5XEqpk_Uw, WYOdSuw3gyHvEU2VuogtMg, p3ByTmxSRTgVde4IYMXySw, iPeeWJbfTOIDhmlTO_GmrQ, MQkLdOUMKmt8sPnGACEdsw, flDYStckFF7ptdBi9__eew, mHwqqvgn6xqN61_y7tmM_Q, v4Qgkve5yzFBhsAL1dLeIw, qJjsUMAi6Pr-HDG33agGgA, pzWJdE6uVN2o5dhlN1jHZA, x_Xz78Uy4xezm7YFx3X5-g, x7d-Zpy0Gg-bLo2OXqp8rQ",88,,user,,70,2,27,,,,3.49,2,,Michelle,,,G8dXOVbLWPIRYpXCvpbr4g,15,6,3,3,0,1,2,6,21,26,49,62,91,87,68,80,86,77,88,95,69,59,34,33,170,130,142,123,140,183,173,9/22/10,tip,64k3h49SGHTj0syFkIdYfw,0,45,,"540 Marks StHenderson, NV 89014",,Henderson,FALSE,36.0607079,-115.0332406,NV,Walmart, ,2.5,Stores
LPRhXMZ2Ys73vj4ApU-m7g,2,q_dregDJf_jJ-4W-Mu2w8Q,4,review,E65n03aG1b02Eb5m9XaVaw,3,6/14/16,3,3,7,,45,2013-11,"zTWH9b_ItSdLOK9ypeFOIw, OMB8Y_DOaB21vCXa-cruwg, WmAyExqSWoiYZ5XEqpk_Uw, SwdYkdT4R3EpllJnWh-_0w, 562yN3nT7OWj1HDEzBjyrA, tmuVweJdPKDnZGnQOq2L2Q, psf7Etrt3azIdhMhoPKmpA, Z13-STol4znuICOHmAi7Dw, OAd-vbR_POac1zHtu-Y2Zg, SMZX9Nh1MhDWFYs8I9-6UQ, WYOdSuw3gyHvEU2VuogtMg, AlBFKDEqMzWb5joxpH5uDQ, Qx9MnE4R-g70HyF468O8dA, 7x3-B0yaO_hqXm42VKStzw, pzmzWFoVIKpuYYG_b9bgJQ, k3itmpGK28_JGNXnAo8W6Q, JpYIDbGcuLYdN2CKi9QTJw, 6DuBPBgCN6YMowFwrp_P5g, 8R1ZA7_94b_vNMJsVRyBsQ, ER53FoKMKsPD7D20cH37Pg, p3ByTmxSRTgVde4IYMXySw, HOaWRV72ZQs0me1geSqBzg, iucKmLE-Q6I6dAI0ttR85Q, lWGR7RxJkG1nizOWxG7_OA, oMnzDh86ilR6i_d2cQxHcQ, q52MsUgJnVP644LNV1vohg, -v3c3LSq9U-ZTPISaeR6Ww, rzHZ3iYVQe_8h2e42DbUsw, kyDg10Hoxz9LdLniTNTIGA, LusAw6vTDC7KAfbuClMReA, ZPnjxhKUsBDhXEOBKY_n2g, vyiHjaQlESGcXgEfEmH4ow, 1X4vP8jG-EhpkF73yuJPmQ, Vi77s0AS-cIzPoBq5AbEaQ, 8l351svY2y1yX5LFm8H3vQ, F8pTi7KgaL-tjXOYEXQcMQ, ajiXxzXo1LjdbNgfVllX7A, kSVYpNWA19wUplbdi0U0Uw, 2l2lRFuHLdyGjAuusqPDag, zj4yqKau3DyykSI6raYzdA, hcnHQ3NSgtASSAJHrD4ZxQ, 0RAmuyzHyrxhMSwAX-Hycg, YhehU4DO_i7-C0ZAAs4wTg, MvteA_wOszf3gffkM_CKDQ, I4tRKOSh7BtUWhkjenhaXw, jylbQhgsr1Z7tLoJY67Xog, N7wNlo3_EaHUWHiFDyGh5g, RfJ3HuwNRsTCNoQWVKVd0g, sN4Uf90MUO9S8WcfNs5HEw, 44kG6srjvSRiFF2nsP9eSg, 6TvihlS-N1TzcPwKWrhOGw, GL8QryVyVRgxKpKjIoW_ig, D20Zg75Q5y-_TjuZ_FzOHw, slmFHwzip58HgX9B3514Zg, 264eEyiqPJPk41FuE27aLg, Yw-Q_4QrwWffjnHWLvo4kw, VUF3nyOc-yKdnWxOHM0RuA, f1PGbLk574nkfzFsdsG91A, ZC15ae4FRzjO0rHvV2rh7Q, ak3TEUwMIzNWu68IYQ8s3Q, ZTk05PSFDo8csT0YKmwYnQ, 59bLujt2bBCrjVmCiWWeJQ, wb4aiSNwClTz8OjgtAk4Rg, hVvkpCY1NOCbAJz26RE-ww, h8mLP0Say8GaZ0YLOIYxkQ, VD4SSsRzAK52j5UHdYPE6w, Z0L078Q5D1FJ0IDC8r9Idg, pfeluQybMvHasWbare0K0w, jzhQNreWLwmNiy12N3m5Lw, ySvu3x641-QSAoe3J3qrNw, OCiwDioRL_l04s2JQ9xfSw, _HUIMR7GGGA_68xI8UjAOQ, Osxzw4UoVahfJXzsSNi5xA, yW6R9fLJsRDD0lqMFGxQcA, ZbFgsKyCs74IxjgWwgpzKQ, JeNjr_T_uaZs9UxLfT-ySA, PNNTE3-u1pnfodLbHlF3tw, XTpSe9C21CoEWSzbio7dDg, 7dv_YsbEgxXj7AnrizdfBQ, _m-dNH1PPabZD8d-tgnMlA",107,,user,,41,3,81,,,,4,,,Jessica,,,E65n03aG1b02Eb5m9XaVaw,0,1,0,0,0,1,0,1,2,9,22,23,37,34,35,36,33,26,25,34,27,11,2,5,48,50,48,47,50,64,57,7/13/11,tip,4c6Gu8zFw0q0JxvO3T9IwA,0,37,21:30,"9845 S Eastern AveSoutheastLas Vegas, NV 89183",9:30,Las Vegas,TRUE,36.01085148,-115.1216087,NV,Marshalls,Southeast,3.5,Stores
Le6CqmMXGzFerUe5r5YQog,0,vBjR9URSnb_GjUsITngOtQ,2,review,MjNHFNzphMaDI5d-VLEj2Q,0,6/28/16,0,,,,4,2010-12,,23,,user,,14,0,3,,,,1.88,,,Zen,,,MjNHFNzphMaDI5d-VLEj2Q,0,0,0,0,0,0,0,0,2,6,13,15,23,25,17,22,23,21,12,11,8,1,0,0,20,21,19,24,21,57,37,11/22/15,tip,#NAME?,0,47,21:00,"1231 W Warm Springs RdBldg FHenderson, NV 89014",9:00,Henderson,TRUE,36.053477,-115.038979,NV,Savers, ,3.5,Stores
4rF9M2ewp6cjNGrML_Zu1A,0,FExG6jDVRTnGswMVK3XUYg,5,review,Pk0kpenlHzV31tSooa3t9Q,0,7/17/16,0,,,,3,2014-07,,10,,user,,15,0,5,,,,5,,,Carrie,,,Pk0kpenlHzV31tSooa3t9Q,0,0,0,0,0,0,0,0,0,0,1,5,8,11,6,6,4,4,3,5,3,1,0,0,9,6,3,2,11,15,11,12/26/10,tip,uNtNvaXxR5z5UO7frcThNg,0,47,22:00,"4634 N 7th AvePhoenix, AZ 85013",11:00,Phoenix,TRUE,33.5051087,-112.0827464,AZ,HTC Uptown Body Piercing, ,4.5,Stores
-3y3kG1yUZikpfM-t91CfA,0,4DtBamDdmuYGozIHJN9cig,2,review,9uR9bQ0SYFizEQWFVpPCiQ,0,11/23/14,1,2,3,1,174,2010-04,"SEDFpR4oMPKqXMjbJiMGog, aUv23ZEyaNbqR4_hyKUDwQ, hJjO-Z8Nu7-WUd1rChnigQ, 8wK7_qZ18mokBxw5zdSo9w, fHv7k5vWd6ryt8jH4J3teg, JrQTbUeHPOjAxxr6KXo0qw, rT5oRccTa_ALalvLIgpS4Q, 7CMl2VLx5-SjdyHqt37LoA",283,,user,,160,5,132,,,,3.48,4,4,Eilonwy,,,9uR9bQ0SYFizEQWFVpPCiQ,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,4,1,2,1,0,0,0,1,2,0,2,3,0,3,7,1/13/11,tip,V3ITtKg7jkHNWOU0aod7eA,0,4,22:00,"336 E Baseline RdPhoenix, AZ 85042",7:00,Phoenix,FALSE,33.3791691,-112.0680197,AZ,Kmart, ,1.5,Stores
c3ttwx01DIupYSkU5_14jw,0,kpbhy1zPewGDmdNfNqQp-g,4,review,Vqudi8T2z1J-5ZarIz9s7A,0,12/5/14,0,12,14,12,302,2011-12,"WmAyExqSWoiYZ5XEqpk_Uw, 0qIsBt4EzBDCKrIviV55Ew, SEDFpR4oMPKqXMjbJiMGog, kh4CW4cQSsoV-ziKB0HYtw, ia-Bk0oHTcutM7_Kq6Jrlw, k99cC9QpbUXlGRWwxEe93w, NfLyune1sAOVrHUAeQ9L-g, PUf44DEyj5UmUxOvnaAkUQ, JKgT0Sk8vr-3GbzmwAVf1w, vwLmvuSyt2qervMRFennHw, 82J1EMyKNlYdOCUaGhZe_w, y42yifgdSltZ3nmRO5P7BQ, jdeNI5TTTuM6mj3HTgstRA, BV8c4QZEzvPWA00ZqJp-jQ, 8wK7_qZ18mokBxw5zdSo9w, fHv7k5vWd6ryt8jH4J3teg, VWwzM35lj4fzPrqiuXGLUw, ZUx-B52hGRhmeUDVukmjrg, cRyNICH0mhjxagvSyVr60Q, cpWqQg3-nroOJKmVMhzngg, VFZiXmyKlG-dN9PokbiXsQ, KJDymAcoPiW_vuqthGxfpQ, EKV9YVBzmKNXaJjRughhMg, 3ZyN7Q_VPs1Tpzt6P-jGeA, tiyg_cQaPdUuSG95Xpi_sA, cVcZifVh8iSVRso0pXhvBg, to5kVcP0EZnP2-wAbZRiSQ, F6Ys5UOOlA1zsBztswxsxg, pjgqvBD1c-UEvu8rv9IPjA, TlEfizHjEaVlLpYt5oKZRg, hYYtPei7V1p4S_WirtV_Jw, CtT9KpriiJU9SLOGEAHktQ, vWLj-OyeuSYRp45hSruVhQ, Jzla1XE7_BIgoEZgplPOpQ, IIm4uVRYTF0OX0lCCAYatA, PmAfMgo2DIhQjHluUgsvzg, pHhk_1pg-76RMEyFdhA5Qw, YvMWFXk9itBEZ2-3OAO6Rg, mvNxfRNBSY-lJzOpsr8-tQ, 7CMl2VLx5-SjdyHqt37LoA, GDzvn7JuxonsOEPVWJlV4w",885,,user,,553,16,312,8,"2013, 2014, 2015, 2016",,4.01,13,3,Kelly,,,Vqudi8T2z1J-5ZarIz9s7A,0,0,0,0,0,0,0,1,0,0,4,0,8,2,0,2,2,0,1,0,0,0,0,1,3,2,1,4,1,4,6,11/1/13,tip,qh_q-YZzSfOt3iJAXaykrg,0,4,21:00,"4377 W Bell RdGlendale, AZ 85036",9:00,Glendale,FALSE,33.6391853,-112.1537037,AZ,Epic Thrift, ,4.5,Stores
4SQgY0RmJ3zPDA5SGgO43w,0,uqiOMP-Za2l-p2piM6xCZg,1,review,ThnKBYEmG8MYLAvEKfc2eQ,0,3/12/16,0,,,,3,2014-08,,5,,user,,13,0,0,,,,2,,,Torey,,,ThnKBYEmG8MYLAvEKfc2eQ,1,0,0,0,0,0,1,0,0,0,3,3,3,5,1,3,5,7,4,5,0,2,0,0,4,9,5,5,11,2,7,3/29/13,tip,3RTu40WvkY-1a34CZj4fFA,0,11,22:00,"121 N Nellis BlvdCharleston CommonsSunriseLas Vegas, NV 89110",9:30,Las Vegas,TRUE,36.1616906,-115.0623777,NV,Ross Dress for Less,Sunrise,1.5,Stores
GRP0Y-wLzQV8WGVNxhW60w,0,PzpLJOIzawqAMOwfemtJBw,5,review,6q5NoEodl-hELFLMW7oc-g,0,2/28/16,0,,,,0,2013-10,,0,,user,,2,0,0,,,,4.5,,,Mrs,,,6q5NoEodl-hELFLMW7oc-g,0,0,0,0,0,0,0,0,0,2,1,2,1,3,4,1,2,0,0,1,0,0,0,0,2,1,3,3,0,6,2,7/24/12,tip,C6IOtaaYdLIT5fWd7ZYIuA,0,13,17:00,"11649 N Cave Creek RdSte 8Phoenix, AZ 85020",10:00,Phoenix,TRUE,33.5933186,-112.0412855,AZ,AZ Man Cave, ,4,Stores
KsHSbmeTi50PWUPJvQTCGQ,0,G-1nHI5l_w6cANdncllvaA,5,review,RljUwokjkdShFzL5MhcOeg,0,1/10/16,0,,,,0,2014-01,,12,,user,,16,0,1,,,,3.93,,,Morgan,,,RljUwokjkdShFzL5MhcOeg,1,0,0,0,1,0,4,4,5,4,5,14,6,9,8,8,5,4,0,0,0,0,0,0,10,9,9,12,10,16,12,7/12/10,tip,RCcHurYnMDJQ_qYPIXfxIg,0,29,21:00,"2700 E Carson StSouth SidePittsburgh, PA 15203",9:00,Pittsburgh,TRUE,40.42669088,-79.96688272,PA,Goodwill of Southwestern Pennsylvania,South Side,3.5,Stores
