review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
4WVKuYdW3YnW03RLYjEbBw,0,xazVwU4K_jSZu5rkDxyfgw,4,review,u092Mp4R5BrR2B2Q_bHQ_A,2,10/26/15,1,18,5,3,52,2009-05,"UsTUcm5ZFP_kqh0bNkFL4g, mSE1aVDW3HntEG4LR-c9rw, 1p3d__fuRRCDXfbS1Tq0wA, h4tfHGODErFCFrg6KEZ3xw, Fnfr13FfX4czHrasSRdvLw, SM4FFgXlhHzuDJNRI6HDCA, DEc_48vZ1s70k-wfYUA2qg, -QSNRIxny2I26yJT82OWtA, r-KbYMDgPLXROQ8kc2Ve2g, OA9I8dKT9Uims5rp7YFKzA, JySNI9tIhmFFtUorc4zkwg, LEpanoo_TB5LfrcsGZJr6A, I9gB9ue3e0ec2pXW0DwYww, 08hskgRSlHDu1DXhI4h-kQ",232,,user,,208,8,156,14,"2015, 2016",,3.74,4,3,Hamish,,,u092Mp4R5BrR2B2Q_bHQ_A,0,2,3,5,8,18,10,15,22,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,11,33,24,0,0,12/21/12,tip,Ry_hy9B1LDhpTCLq3WEhNA,0,16,17:00,199 Great Junction StreetLeithEdinburgh EH6 5LQ,7:30,Edinburgh,TRUE,55.973612,-3.1770274,EDH,La Cerise,Leith,4.5,Food
J5OtW4-hBEZHgYFzsXLSKA,0,gPrh3xrmH1YjcwY6XnBfEw,5,review,8nRVcrTjHHxxO7T6mvCiGA,0,7/5/16,0,,,,1,2016-07,OA9I8dKT9Uims5rp7YFKzA,3,,user,,16,1,3,,,,3.62,,,Gurminder,,,8nRVcrTjHHxxO7T6mvCiGA,0,1,1,1,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,3,1,4,0,11/8/13,tip,YlpzPPySUxJsUJHRyRde8A,0,8,17:00,103 Hanover StreetNew TownEdinburgh EH2 1DJ,7:30,Edinburgh,TRUE,55.9524712,-3.1967365,EDH,Tani Modi,New Town,4.5,Food
92VObXrhrbQTxkq0qrRq5g,0,2QBHcHivrBaI5GtSVeClDw,5,review,6yH7zNYP33DpouvJznIJnQ,3,1/30/16,3,7,1,2,2,2015-08,"YlpzPPySUxJsUJHRyRde8A, z9nWYLV_L5LqdygAm1dUuw, Fnfr13FfX4czHrasSRdvLw, pbzl_e8Dt2-bkWhA2iYZ6g, SM4FFgXlhHzuDJNRI6HDCA, ScullHVHSQsJfVGAyCC0UA, FRDbugHwLHTzsPMAfwJduA, In6L6fy4jFlN0E-LEZXGiw, tZs84cKAUSOtP_nAiSdreQ, gxNLfuOCnHrH5kVVWhFDiQ, o64IkZLYluCHlDtWzQE71Q, JySNI9tIhmFFtUorc4zkwg, LEpanoo_TB5LfrcsGZJr6A, dOZ3KgxHz2tW47Bo_hI4iw, risTKpHVhmO0DwWJbSQ2lw",23,,user,,15,1,16,9,,,4.47,,1,Katy,,1,6yH7zNYP33DpouvJznIJnQ,1,0,1,1,2,7,5,6,3,3,8,34,18,9,4,1,0,0,0,0,0,0,0,0,9,14,15,18,20,22,5,3/13/12,tip,OsrdRvNEEeU1SrVWtTw8fg,0,36,18:00,13-29 Nicolson StreetNewingtonEdinburgh EH8 9FT,10:00,Edinburgh,TRUE,55.94656025,-3.186291462,EDH,Festival Theatre Edinburgh,Newington,4,Entertainment
C0S3A9ggTpSlPLK1BWwC2w,0,JCkzKmJYVfA6MEhsShpfsg,4,review,adI9IbzJURExyW70VlPM-Q,2,8/27/15,1,120,121,11,415,2012-07,"nKoB5cWZHXYUIUcQsUDogA, 59kUqmk-5HdTCyNuJ0_TMw, tw9sS9gyzwf02A7V-azWVA, 0sUQjwff6McFhpC4anosJQ, TZDJoH22fvxU7HyGa3B4RQ, 8dbRf1UsWp2ktXHZ6Zv06w, Oefcy4KQN9wVpIxGe_zraA, wx12_24dFiL1Pc0H_PygLw, DjGPbSJPcDHCEezuWGA6Bw, LhcGcnw4eHaxzg58y2YYUA, K6MrbZeqKG35ZiucFfucvw, wtp5CmMVic44bYTBKLjkDg, cN_ZGu1ISXyGwW5qIxcRLA, h4tfHGODErFCFrg6KEZ3xw, Yzkyu9Wg6JDfhQQPfVYwtQ, WCTHtHnAdyQVCOkftfMgcQ, Fnfr13FfX4czHrasSRdvLw, PmXejC0y5pT7ZS0x5s19aQ, 5mkkBYOnCCvXbYo9OwNmNw, DNXdfzyuN64b38b3CbumXQ, PfRU0LMnIu0hbBvAtp8uEw, Y0ck0Z6YQiq4AlmjQjVRfQ, tpL2Rlimp0nP5vdI_jtyXA, K-07jWohb8KGwBXIw2H1RA, r-KbYMDgPLXROQ8kc2Ve2g, OA9I8dKT9Uims5rp7YFKzA, z6Uvtq_tM7wS0hQpKYr4Rg, -fyIkHBKXXHUrUjW1Lit-Q, 2_oYR2CZskz5UYfgjSvrVA, 5FNCzqVFrzuz59gHHYc0og, umEzZBnLJybdn7JFJYe2-w, XWQeA6FsnnVqqfhfBvu_pg, qtC7Yonce-6VryJkJmId0Q, 5ZNOMz51KWPweE0JL2CkXg, 02lE5Clq84ZyxrdmMN3MvA, ZuNsh1UObUW26NB-tw6Pag, 13hoywnNCfa0JpVitjXkkg, I2NVje6bv8zTAKNSB5E1eQ, ONKFI-6KqHr8tLXMD3KAYg, jDoOyZAcRepPWthQwLl71Q, 4UhZSrB46rU8IYZR0VxRHg, -gg-WvyzPXVjmbqMIVBP4w, 2mBin9oV_a3QnbjidmbVaA, geywmKDjKrdl_pzeGoLcqg, sawr7FNupoFWqJtJl6hFFw, CAgh-C_qcQ2MIcGy0qiLFA, -f-PipG4HL0nORgWzjc7qw, 3hEHYY9Cq_zxrBG9VcAvsQ, 9tAQkCB7Ok-SHPpMhIxWeg, o4XEC_knhLrICxvTw67TDA, u3RKJZ1w0Q2Ahy9eDxrbMA, xUvbnTO5Vwi2XHreM6ydGQ, _VxO2xK-0LAWoAeW-OPViA, TowPK6Fq508gebUBzLHrFA, Ar7G22UaiKIv-c-pu2t_OQ, rn45p6qDMbiOA8LKzqEsvA, 51BkNdW0KHY4brYOmpn7Jw, byNd8atQR0Ux-I4FJ-H8BA, LYM2ZA-q_tJWf6t4CjPZ_w, cIWoH8bhTYUJEph4aZkcsg, F445RJiOq2As44h8Jaxypw, cAgrd5khinCCMSyxHEYslw, I9gB9ue3e0ec2pXW0DwYww, xep-K8FmGJuvyKgboOWSSQ, bdSO2KJfqZlvUZu_JXJDFg, Iz6UWE56CqPGq5WZLzZ2pg, yiNVagAmstgtWpt5qfCXrw, Vtb6CvyHvitZir0leoFiDA, wBBE-IUAJStpmGvMYpxgRA, jJ6uMIT4QxxcObyU1imNZw",689,2,user,12,339,10,495,29,"2013, 2014, 2015, 2016",1,3.6,37,49,Tony,,3,adI9IbzJURExyW70VlPM-Q,0,0,2,2,3,2,2,10,16,7,9,13,10,15,6,9,2,0,0,0,0,0,0,0,19,17,10,17,12,18,15,8/2/12,tip,Bvphbgy_mGdjIv0ZWbszMg,0,15,,60 PleasanceNewingtonEdinburgh EH8 9TJ,,Edinburgh,TRUE,55.94741,-3.181897,EDH,Pleasance Courtyard,Newington,4,Entertainment
8Nf47Yqn5IXsrgy8smhllg,0,mp8mpkm0In3yXgW8XP3Wqw,4,review,o5HSrzL5-63gNvBYZYSMyQ,0,7/11/16,1,1,2,4,7,2013-12,r-KbYMDgPLXROQ8kc2Ve2g,108,,user,3,205,3,50,1,,,4.17,,,Two,,,o5HSrzL5-63gNvBYZYSMyQ,0,0,0,0,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,11/29/15,tip,ILedBXGLrzQ1Fx2yGi-GlQ,0,4,,Holyrood PalaceOld TownEdinburgh EH8 8JF,,Edinburgh,TRUE,55.9527754,-3.1722458,EDH,Cafe at the Palace,Old Town,3.5,Food
Mi2tgo6Wjjd7-dG_foG41w,0,LfnB4N7SVSAIPOM3If_kDA,3,review,cB5AKPoXcZWCaO9NX9jpvw,0,6/2/14,0,52,16,10,55,2012-08,"FQBsSK8bOMfcu1pnwDKFtg, wx12_24dFiL1Pc0H_PygLw, LhcGcnw4eHaxzg58y2YYUA, cN_ZGu1ISXyGwW5qIxcRLA, fWSwi74Zk1mscAQcIABMuw, 8GPJ4VUxbKMhrT3V3Ql8CQ, MDcqlbqfvPXOUtw_w1h4kg, V6Y-JxU8ej4m4P4Zg95CIg, tZs84cKAUSOtP_nAiSdreQ, Mjfc9jAPCFbIyW4Cmr11JA, hWD_PTfJUXjIYb1UJ0wNFg, r-KbYMDgPLXROQ8kc2Ve2g, gxNLfuOCnHrH5kVVWhFDiQ, o64IkZLYluCHlDtWzQE71Q, qtC7Yonce-6VryJkJmId0Q, ZuNsh1UObUW26NB-tw6Pag, JySNI9tIhmFFtUorc4zkwg, sMrtMulBVRztQWGJ_ywW1A, icf8Tr75xv-QOnI7wZX9Xw, 9OY0kTQcHUWgVW-17Mismg, _lmmIZeJTv8roWn8qU3oIQ, iMvcqVOQhuYWFEnvcswNZQ",276,,user,,139,5,109,20,"2013, 2014, 2015",1,3.69,34,8,Alan,,1,cB5AKPoXcZWCaO9NX9jpvw,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,9/17/14,tip,uY-_B1yrh9IKDC4VzQioYg,0,9,0:00,16 Roseneath StreetMarchmontEdinburgh EH9 1JH,17:00,Edinburgh,TRUE,55.9380622,-3.1921174,EDH,Salvatores,Marchmont,3,Food
qOzRh8sw0_dEMNBiPDqyYQ,0,w8K6E6Mj82t7YjUUoNicBw,5,review,0HjNgRpD6-knnoiuzf3VZA,0,6/27/16,1,3,,,2,2016-04,"h4tfHGODErFCFrg6KEZ3xw, -QSNRIxny2I26yJT82OWtA, r-KbYMDgPLXROQ8kc2Ve2g, OA9I8dKT9Uims5rp7YFKzA, I9gB9ue3e0ec2pXW0DwYww, risTKpHVhmO0DwWJbSQ2lw",7,,user,,16,1,2,3,,,4,,,Arianna,,,0HjNgRpD6-knnoiuzf3VZA,0,1,5,9,11,11,12,11,6,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,5,7,8,8,7,26,9,7/16/16,tip,GwBXDwQyKOfg4BdibKFGFg,0,32,17:00,75 Belford RoadWest EndEdinburgh EH4 3DR,10:00,Edinburgh,TRUE,55.951308,-3.2253077,EDH,Scottish National Gallery of Modern Art,West End,4,Entertainment
KPbUSXRl4me-vMSSiSJkkQ,0,yTI9NEU-pB5ZOYm-TifR1w,4,review,_FYQoe7HOV7_RIM_rnDssw,1,2/24/15,1,18,10,6,9,2012-09,"wx12_24dFiL1Pc0H_PygLw, ifkTViV_buOHEigExzEVRQ, pbzl_e8Dt2-bkWhA2iYZ6g, ScullHVHSQsJfVGAyCC0UA, In6L6fy4jFlN0E-LEZXGiw, V6Y-JxU8ej4m4P4Zg95CIg, tZs84cKAUSOtP_nAiSdreQ, Mjfc9jAPCFbIyW4Cmr11JA, hWD_PTfJUXjIYb1UJ0wNFg, 1JQw2qKSZL-ajNXeqE6QOg, JySNI9tIhmFFtUorc4zkwg, icf8Tr75xv-QOnI7wZX9Xw, UGVPAk7cob6__CA9sSrCkw, ZoLgQrwLebDG347q9kMPzA",48,,user,1,27,3,19,12,2015,,3.82,5,,Lisa,,,_FYQoe7HOV7_RIM_rnDssw,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4/7/13,tip,6ux_7Z6ycYYvC8PNxQbWfw,0,19,1:00,1 Northumberland PlaceNew TownEdinburgh EH3 6LQ,12:00,Edinburgh,TRUE,55.9572511,-3.1958084,EDH,Star Bar,New Town,3.5,Entertainment
zEBTwNeFl7a2lcwF9u8qww,0,MAYbrM_W6bfKuahU5KVr3Q,4,review,97wHdDZwez9hzf6w4N7fNA,1,11/18/13,1,20,2,8,40,2013-09,"k5zGEHC3C7AC6gxIGOdSmw, wx12_24dFiL1Pc0H_PygLw, D6o5C84XGvYpisX1YVJueA, h4tfHGODErFCFrg6KEZ3xw, Fnfr13FfX4czHrasSRdvLw, gdGZRlorSmXfuvL9O49ggQ, ScullHVHSQsJfVGAyCC0UA, KJXUVmlrnwinmBwFlCvEqw, tZs84cKAUSOtP_nAiSdreQ, r-KbYMDgPLXROQ8kc2Ve2g, JySNI9tIhmFFtUorc4zkwg, _lmmIZeJTv8roWn8qU3oIQ, eq1uG_B-l9epn0Y4FSKiOA, Wa1Sxq2LN5afXJZcszO8qw, BdbF2YxAyHaq33iM63vhhg",184,1,user,1,137,8,99,21,"2013, 2014, 2015, 2016",,3.96,17,1,Amber,,6,97wHdDZwez9hzf6w4N7fNA,0,0,0,0,1,1,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,1,5,1,12/15/12,tip,tZs84cKAUSOtP_nAiSdreQ,0,13,18:00,310 Leith WalkLeithEdinburgh EH6 5BU,10:00,Edinburgh,TRUE,55.9650803,-3.1768882,EDH,Hing Sing Chinese,Leith,4.5,Food
QOFQlmHt1mpu08SRehtY0A,0,lKKNoVPM8DYstCRBUc5bxQ,3,review,rTGBHdz_oblpg5UQB3VY9g,0,3/26/16,1,24,5,1,6,2014-11,"LhcGcnw4eHaxzg58y2YYUA, Fnfr13FfX4czHrasSRdvLw, ScullHVHSQsJfVGAyCC0UA, OA9I8dKT9Uims5rp7YFKzA, -gg-WvyzPXVjmbqMIVBP4w, 9tAQkCB7Ok-SHPpMhIxWeg, ai6pzopKapm9swlwhXQPkg, u3RKJZ1w0Q2Ahy9eDxrbMA, byNd8atQR0Ux-I4FJ-H8BA, tH-iXa1A4ubORTZAlU2ICA, is0f3tlAbexp29svX7tvlg, Iz6UWE56CqPGq5WZLzZ2pg",67,,user,,41,2,50,8,"2015, 2016",,4.14,,,Janie,,,rTGBHdz_oblpg5UQB3VY9g,0,1,1,4,5,3,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,0,5,6,9/30/13,tip,ed_-pDBTMXPNOOzKIO7fPw,0,41,17:30,Old Town37 Marshall StreetNewingtonEdinburgh EH8 9BJ,8:30,Edinburgh,TRUE,55.9459022,-3.1865665,EDH,Elephants & Bagels,Newington,4,Food
