review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
VBWe3cFSD_ND4rgS40X2pw,2,ilaiK6eLYbzvIFZRg5TNDw,4,review,Vgf2WvjA2SN3qGsa9P2nlQ,1,1/21/14,1,9,3,3,26,2012-10,"sfZpUCrV7ISjn0TnOgiVLA, bKnzgR6cm7NCfloMheeRfg, 0Q2QhRuyD_oGodCj__wcvQ, bAgO9_hnkDjlFAkUhCSwMQ, jZv_gqd4bh_fyxqq8-ELTA, 0daABa3KokAu1DWbrzBWaQ, fL_vy-at_-FCVwXLcACtWQ, 3LF9Wvl4xhe3U6CGUecEVw, 44O4u18hNONN7FTzzHV3tg, 17vuZoF1wMUOT4tmOLeg5A, _6FcDCW5bY2YeA5gqZIb6w, CxlQtYMzVGSS-eHBkkv9Lw, 5klEYB2KjlpfwC2AP81bpQ, VVxXoFp8Z9EmT3UB_Fl7Vw, bBCzq4Hjgkt6usGUuerRfw, 1NntMBI3CIhfYna_yYTCOw, dPZ2M7p19KQh2NX1u7zMyw, s8ywRW9y_OZnAO8y9TrOAw",88,,user,,37,4,38,9,2014,,3.84,8,1,Robin,,,Vgf2WvjA2SN3qGsa9P2nlQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,2,2,1,0,1,0,8/16/12,tip,Ep6ooDpgFQiHj5Q0ujT4wg,0,3,,"1101 Fleury EstAhunstic-CartiervilleMontra9al, QC H2C 2M9",,Montra9al,TRUE,45.55796059,-73.65934968,QC,9cber Cafbar,Ahunstic-Cartierville,4.5,Bars
AxpsTg3b5oIlP3bEqyu6jA,0,3HZzuySaLYioyXYcf7kKew,3,review,6yKQXCTaVC1zWM7JDK1Kfg,0,1/10/16,0,4,8,5,15,2014-03,"sfZpUCrV7ISjn0TnOgiVLA, PVM-GwKOGwvjEJOz5OmiKg, gUK0FL7P_kccijzCD3IDdQ, bAgO9_hnkDjlFAkUhCSwMQ, SkaGtrBYkqnu6mgVWwPvvw, 76PX8bA75DZ-hzHMQgjqWg, gLdWm3WP-1-B6ASazKwf7g, F7bBKj2NLq6zL0VY8C0Zjw, oQQDVlzd63vjGO9KP7kXkQ, NsOVLtKvdIr_JbiBWHTISg, DHHYdV-ug1COaYJlVLc99Q, dsJCEbkYT0EvqOYDbHIxxw, -39hY9bFqSU0-52trDmgnw, 9-I0HotiH6yBvOoNuluqqQ, ciskonabqvwDzcCRdxJ6rw, GwhN68erN01O_Uz2WvjwDA, XfuNWL1KrhPFhVcsvrcpmA, Vi6yC7XiZDADYG73Z0MJAQ, 2mAYL4gK9vXvcBEE_BeLgQ, XXwh_-FwXXCdroxAVLD1lA, k0fhn_dlVpUyjv8SnwQHQA, umIR9x0NZDo8Chp8bZFlRA, X5ZszHo37GNK_EBCbhIReg, -55ik8s-tI5JwMSG2u8-CA, Cpup5UCLDrNwRt1iBanaew, s8ywRW9y_OZnAO8y9TrOAw, 82gOYcrv1SUkxZAwSKe_tQ, L__sgHmNVqNJqIcErGWuGA, arxKhugGDltodwNhtG8DCA, DSpx2HAVtf9DuyWewljDrA, wZ19S4qzxnJCgbDnCVq4EA, PxBatic36BRTugxqA0IUmQ, DBDpiqzME_anhuorFSeVpw, bjAuB-GdcNw-QSWx_EAAjA, dPNXhas3W44HkGQYB8fw0g, 1sOaxYqoyIqkfNn7yU3FPw, ikdnpJFKkMeV5WE7L4iEuQ, LzfJggG8LqITqb54Zdti3A, 88OFCnILjT5vi2DhWX6rew",149,,user,8,106,7,47,4,"2015, 2016",,3.78,5,,Tony Kangrui,,1,6yKQXCTaVC1zWM7JDK1Kfg,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,2,1,2,0,0,1,2,1/22/15,tip,9NG2kYOo_eNOXXM6JUXNkA,0,10,,"5647 chemin de la Cb4te-des-NeigeCb4te-des-NeigesMontra9al, QC H3T 1Y8",,Montra9al,TRUE,45.4985591,-73.6268714,QC,Chez Frida,C_te-des-Neiges,3,Food
_RnTagwow2Ywq9C3LhwHdw,0,zLaecDPXNjuGo4jD_ThBWQ,5,review,gT4UfmFtcsfDIZ0guKujMw,0,2/27/16,0,,,,0,2016-01,,0,,user,,2,0,0,,,,4.5,,,Katia,,,gT4UfmFtcsfDIZ0guKujMw,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,0,0,0,0,0,0,2,0,3,0,1,0,2,5/2/12,tip,0Q2QhRuyD_oGodCj__wcvQ,0,7,22:00,"2396 rue Beaubien EstRosemont-La Petite-PatrieMontra9al, QC H2G 1N2",10:00,Montra9al,TRUE,45.5480525,-73.5921194,QC,Cina9ma Beaubien,Rosemont-La Petite-Patrie,5,Entertainment
N78E76EbbslPZ2ZDeuLAcw,0,u7DTHnfk5LPkMabDMn6Ouw,5,review,7bN7IAGf-RkR1DCj6MpwBw,0,6/22/15,1,,,,6,2010-06,,12,,user,,5,0,6,,,,4.33,,,John,,,7bN7IAGf-RkR1DCj6MpwBw,0,0,0,0,0,0,0,2,2,2,1,3,0,1,1,1,1,1,0,1,0,0,0,0,0,1,3,2,3,4,3,2/18/11,tip,3jNBSH27YTwheEu4xdWQEg,0,11,21:00,"217 Boul Saint-LaurentVille-MarieMontra9al, QC H2Y 1G1",8:00,Montra9al,TRUE,45.5058174,-73.5536538,QC,Marcha9 Du Vieux,Ville-Marie,3,Food
5qDHLW8MftrXry9RTGwj5Q,0,YQV4y2b3EVvFphfOP9DyhQ,1,review,X5AL-gTr6bkmWKx4U9COTQ,0,7/12/16,0,,,,0,2016-06,,0,,user,,5,0,0,,,,3.2,,,Tim,,,X5AL-gTr6bkmWKx4U9COTQ,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,7/27/14,tip,Y-oKIbShXFApBp3zyZv96Q,0,10,18:00,"Quai des Convoyeurs2 Rue de la Commune OuestVille-MarieMontra9al, QC H2Y 4B2",8:00,Montra9al,TRUE,45.50359508,-73.55126403,QC,Croisia8res AML,Ville-Marie,4,Hotels & Travel
g31kNsj1scUMj9bUAm2oMw,0,1mw7SUyyIrxuaRiwQ4ZYWg,4,review,NStbXKpdbzfOTgjvKZkMKQ,0,5/22/16,0,,,,0,2016-05,,0,,user,,3,0,0,,,,3.33,,,Wayne,,,NStbXKpdbzfOTgjvKZkMKQ,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,3,7,5,0,0,0,0,0,0,2,2,1,6,7,2,4/26/13,tip,DMhUSDM3UE2u5KFwtifnFQ,0,14,23:00,"5938 Rue Saint-HubertRosemont-La Petite-PatrieMontra9al, QC H2S 2L7",11:00,Montra9al,TRUE,45.533792,-73.598381,QC,Casa Alentejo,Rosemont-La Petite-Patrie,3.5,Food
nFosJjZGwazforqhoGtm9w,0,zAWsNY9cUv2KJyTAW3hCrw,3,review,jq8oEtE2b7HyVAXsHkXSPA,1,1/9/16,1,5,8,3,28,2015-01,"u-TV7_bFsqVzgoIQeeckaw, cpj0Lekdw4GxZZIOm80TBg, iRBQDo1CdUoGyipg096WiQ, UsTUcm5ZFP_kqh0bNkFL4g, 1dvwuQBkCb1vl4e7yjvmSw, bAgO9_hnkDjlFAkUhCSwMQ, 3v8zpkT_dM0d5XAXE3yv7g, qoGyb1BlxzBkHJZ_M8cuSw, oQQDVlzd63vjGO9KP7kXkQ, V8kcGdMQJHqciISUlVxUIQ, dsJCEbkYT0EvqOYDbHIxxw, _6FcDCW5bY2YeA5gqZIb6w, El4-U2uRBUCtn3ctINFEMw, NrQPY6u2QZOFIiFJIBfd0Q, ciskonabqvwDzcCRdxJ6rw, uNUCoIkTa_fXkZ_H7Os58w, s8ywRW9y_OZnAO8y9TrOAw, TM3QAM4hOT36OOI3Rr2xew",103,1,user,2,96,1,55,2,"2015, 2016",1,3.58,1,,Rasheed,,,jq8oEtE2b7HyVAXsHkXSPA,2,0,0,0,0,1,2,1,0,2,3,0,0,0,0,1,1,1,0,3,6,8,2,0,5,7,5,2,6,3,5,6/4/13,tip,sfZpUCrV7ISjn0TnOgiVLA,0,5,,"590 Jarry Rue EVilleray-Saint-Michel-Parc-ExtensionMontra9al, QC H2P 1V5",,Montra9al,TRUE,45.5441292,-73.6279625,QC,Quebec Delicatessen,Villeray-Saint-Michel-Parc-Extension,3,Food
pzNxfKy3ztWSYHNCdkn3ig,0,y3FTaotN0O-V41cBiZXnFA,5,review,gv8H080nC_9wtUf9QN9-Vg,0,11/8/13,0,76,52,22,245,2012-12,"V1cmOwyLTjavgNRZVH1BhA, FrWjMeKhM_ip5ZTZLGWo5Q, dS02pxg9FMgcJoQEohsMCA, bmXuGmfu9LahwRMLjs5OXA, GFbcceXZn6CjcEJfiqgHqA, gNCf30Aow5gAW7iSBcV7GA, 0UXqgj_ISqmUI6r6b5_Rgw, 8EDeULsp6g55uX5As0YGhg, HunoQHxUJ--OKlyo1-cY4Q, cpj0Lekdw4GxZZIOm80TBg, CBxEbUB-AXWND3n5O57AHg, gdD47sbuixj69H9zEGsWOg, k10hFpAJJk4gGxEqPbhg8g, cTQbc1Irmp4nCiBbZ8geCA, L_JNz8e5obiUTLL_th6DtA, PVM-GwKOGwvjEJOz5OmiKg, F4_AsA1JeFJqSD-o1GiQkA, gUK0FL7P_kccijzCD3IDdQ, 5IxsatqGUfMzRh1gu1Ye3g, on8ExhRskWW3zbSnfpCxvw, j7K7pJxN-JPrhKAusAm7GQ, tB_szonqPgNZzo4P8zORuw, R3T5_6ywXGrljkR_VPzH6g, l1bBsKjKJemf7CwPMXod8g, eBMrdXbtjl_uNWMa1iphcQ, kK5VWC-oHO4idNsyF-bzvw, lMmAo4C_W73uON2nd6QjpA, yrRvVqjJlPmTuQsZ7hNV8g, je5fuwK-izY3w_p_E6EYCw, fqASritOWXsXbm-Um4R6PQ, 0Q2QhRuyD_oGodCj__wcvQ, A9_jYyMMn7mbqq0JlyWhdg, bAgO9_hnkDjlFAkUhCSwMQ, SkaGtrBYkqnu6mgVWwPvvw, 4LKM29aUmkqBmiucJecCSg, e3RgGXBrk9BZ4utixycubA, jZv_gqd4bh_fyxqq8-ELTA, zC39vjBhod1eJZrv910AjA, i9WHY3TF6PQHNelXnRSR9Q, dH95zF-GIgR4IzAMKMH0Iw, 3MefpVDMrX156wOTBGAygg, qEBPlzsnXLKP3tPj8PqZOA, 9odAkdENOQkdciZoAIYX-A, Y-oKIbShXFApBp3zyZv96Q, 0daABa3KokAu1DWbrzBWaQ, GKg1qLwah6FpLt_s5HAt1w, k4E-5_jhjRB43Sm__QUgTQ, QAZWaZfxnX2x1mJAkFMBug, blTyV99vbzi4P7_ag_QLNQ, YBsai7n9c4N5y52FEEJfhw, oQQDVlzd63vjGO9KP7kXkQ, penlCzqC2xlp40FS2eM-bg, trS_CnVmcYoQmCBguhv1Gg, qM6U000Hphk7MWvqbKps9g, aEtjF8__fXI268NXqQi9FQ, Q3Ze-CBKufIz6opd6BrM2w, oBePLdzpAGDq6Djq2eAAZA, 17vuZoF1wMUOT4tmOLeg5A, Ew2g_SMr95OQixbJX8zbNQ, 0NdJqwJDb9IXdCOGVgpIDA, Wv9rUasNnS437pu52iQwoQ, XwHjMBTt842wK_pXiQervA, uwLL3mXx0K35H7iEC5Ax6w, dsJCEbkYT0EvqOYDbHIxxw, _6FcDCW5bY2YeA5gqZIb6w, M-jjgDkskjxK68Q1PBmPlA, Q5qn0BUEsAHoidP6wUzuSw, -39hY9bFqSU0-52trDmgnw, k0lZh-1Rg1LNtrGijyt1Ng, 9-I0HotiH6yBvOoNuluqqQ, ciskonabqvwDzcCRdxJ6rw, XfuNWL1KrhPFhVcsvrcpmA, Vi6yC7XiZDADYG73Z0MJAQ, z0lWl9qLCqQKaH_c0OsMdw, XXwh_-FwXXCdroxAVLD1lA, bBCzq4Hjgkt6usGUuerRfw, z5enEKkawFlc33c4_8o_oA, isdy497M0zS6MYvEw2TTDw, X5ZszHo37GNK_EBCbhIReg, 7j_oDoQx6yyJrpskJUC01g, l4goAcoH2EYERTCPi8Wy5Q, hw4fcIeB6eKnFjBgNoniYg, Ve-MSev6fsf9_rCP57gvRw, s8ywRW9y_OZnAO8y9TrOAw, AFe8uHvKuD6KcAoLaoxsew, dL9rnmiAKmnr9aIurXfVxQ, -m5m0sPG1bkYXUZMzp9ndg, aLOBw9sFjRLoXuAo13u3oQ, mgfI3YAqXNZ7MnbExhqaqw, 3utmyE9HW49ttk9jJg1l3g, 6C0NuWG63jMmaUGtGMvJtQ, kWZd-Gn_UR1jQRHaW_jR1Q, 4NcqSY3HYBxzcidLVvs2AQ, hNCCYb_mKtIw0Dhe3RHp9A, yziNMfS9-5JBy0XhAkYQrA, 4uzN25HwXzu6N_EA4z1SAw, miTyXTurMyX7D3J0O5E6aQ, dvOhhch3z8-QF0KaZLHbTw, _m-dNH1PPabZD8d-tgnMlA, 1sOaxYqoyIqkfNn7yU3FPw, tS7b_GVj84JZyp8sHlf4rg, jBrbRMJW9xb7oBEBNV3C2w",915,,user,22,478,20,407,57,"2013, 2014, 2015, 2016",1,3.83,44,11,Ann,1,1,gv8H080nC_9wtUf9QN9-Vg,0,0,0,0,0,0,0,0,6,10,3,0,2,4,1,1,2,0,0,0,0,0,0,0,1,3,3,7,3,11,1,11/8/13,tip,y3FTaotN0O-V41cBiZXnFA,0,4,,"760, Rue Sainte-Catherine OuestVille-MarieMontra9al, QC H3B 1B9",,Montra9al,TRUE,45.5021341,-73.5707362,QC,Kiehls,Ville-Marie,4,Shopping
XFm6gMY5WOKW8mVUlg3rfw,0,e5LvQOWxqyc7yNvhIOFn8g,3,review,4w4azNxEQZ-aBk7483urRw,0,7/23/13,0,,,,0,2012-10,JKIoytnZAMdYjvtEZk8L3g,1,,user,,5,0,0,,,,3.8,,,JF,,,4w4azNxEQZ-aBk7483urRw,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,3,2,1,0,10/13/12,tip,oQQDVlzd63vjGO9KP7kXkQ,0,5,,"1011 WellingtonSud-OuestMontra9al, QC H3C 2J2",,Montra9al,FALSE,45.4939623,-73.5569955,QC,Le Hangar,Sud-Ouest,3.5,Food
vgXHOUeEYMlYxiQ1dljUng,0,XgaW-VFTgQoPpi50rzCUsA,5,review,7L42_PAt4eBDT-5LtWaVAg,0,7/15/16,0,,,,0,2013-09,,2,,user,,20,0,0,,,,4.45,,,,,,7L42_PAt4eBDT-5LtWaVAg,0,0,0,0,0,0,0,0,1,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,2,7/13/14,tip,68qQrX_hjIBj3AgglubGtg,0,13,20:00,"6543 Somerled AvenueNotre-Dame-de-Gra2ceMontra9al, QC H4B 1E6",10:00,Montra9al,TRUE,45.4674196,-73.6386344,QC,Pa2tisserie Che Churro,Notre-Dame-de-Gr¢ce,4.5,Food
