review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
jq__vIdKcejRuNMaeAYfvg,0,hgH_IR5SxgzNPmdVVSJ4AA,2,review,ubWxOCe1b0pGg2Ztd4-hXg,0,7/14/16,0,,,,0,2013-09,"0Kz7-hBrrtBTdKBpEqb6AA, 32dDqs54crTmblFMAc06kA",14,,user,,6,0,1,,,,3.83,,,Kristina,,,ubWxOCe1b0pGg2Ztd4-hXg,0,0,0,0,0,0,1,4,6,2,12,5,6,2,4,5,2,1,0,0,0,0,0,1,7,4,5,9,9,17,0,8/12/11,tip,uoqVB_zYI_LWhwDpb4EjvA,0,94,18:00,"124 W Main StUrbana, IL 61801",8:30,Urbana,TRUE,40.1124479,-88.2084132,IL,Mirabelle Fine Pastries, ,4,Food
CGZcztR2S5CgER1CeqVTDw,0,q0XqCjIefzm_dA5qmTcFzw,1,review,562AuYjOuZwtTbS1UYhY6Q,0,5/8/16,0,,,,10,2011-09,"K7vGmggFf5WidRLeZdRAog, zaAnvzBTJh6mMrEJXUD4ig",45,,user,,52,0,7,,,,3.04,,,Rhonda,,,562AuYjOuZwtTbS1UYhY6Q,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,4,10,18,13,3,0,0,0,0,6,5,9,7,7,15,5,7/8/10,tip,QrzpGQHDC533hRKrHY3uVw,0,53,22:00,"202 W Anthony DrChampaign, IL 61822",16:00,Champaign,TRUE,40.1369071,-88.2452215,IL,Alexanders Steakhouse, ,3,Food
wKiB19sE4786zuO_4B3iYA,0,gVIYRUiy1uIxohd62McCQg,5,review,i0_W9_1abdjBS7d5-pWORQ,0,5/3/16,0,,,,0,2015-03,,2,,user,,4,0,0,,,,3.75,,,Yutong,,,i0_W9_1abdjBS7d5-pWORQ,0,0,1,0,0,0,0,0,0,2,13,6,9,10,7,17,14,18,22,6,0,0,0,0,17,12,16,22,24,20,14,12/2/15,tip,KBsh9Y0qz9O9uaZqfkSG9Q,0,89,22:00,"402 E Green StSte AChampaign, IL 61820",10:30,Champaign,TRUE,40.1104755,-88.2333105,IL,Lai Lai Wok, ,4,Food
1LBbHe63emmkuvMcWHi2-A,0,44ds7UNGf6wimyvUHK540g,1,review,_nwOPPdXjZcpa0gmWTf4Mw,0,4/30/16,0,,,,1,2013-10,,3,,user,,3,0,0,,,,1,,,Linwei,,,_nwOPPdXjZcpa0gmWTf4Mw,0,0,0,0,11,11,17,9,6,9,2,5,7,3,1,1,2,1,0,1,1,2,0,0,13,14,20,16,16,6,4,6/15/11,tip,TIPAxQKKs058vSURbfoBwA,0,8,,"602 W University AveUrbana, IL 61801",,Urbana,TRUE,40.116627,-88.2147631,IL,Carle Foundation Hospital, ,3,Personal Care
2H0apKpJa2RcxZgPherS8A,0,EOjgKjLbfCssAqcGuBCm3w,2,review,HoPjCb6u4pIIsdYIQXpi_A,0,10/6/15,0,,,,6,2013-06,,17,,user,,26,0,2,,,,2.97,,,Aaron,,,HoPjCb6u4pIIsdYIQXpi_A,0,0,0,0,0,0,0,0,0,2,2,6,1,1,3,0,1,1,0,0,0,0,0,0,3,2,1,5,1,4,1,12/31/14,tip,o6HIMJ6qf2BKpFsHY8241Q,0,6,20:00,"1401 W Green StSpace 189Urbana, IL 61801",6:00,Urbana,TRUE,40.11013,-88.227321,IL,Jamba Juice, ,3.5,Food
dBICcwoDgDQN6nH7iOgciA,0,1rheXl0taLrC7Pm2IEKwCg,3,review,p5CW9rxsjQ-oCcjCaCw_8A,0,12/10/14,0,,,,5,2012-10,"lczLjHO7zIhrmSlOXI3ohg, P3icJQb5onba_frGNHUMtA, TQAdJlyYyVWyj7fs1qIWYg, lUvTSHNmUGmc9hkDFr_3aA, 5BNI8ukGTlwUI2CCeyjZOw, if6rAyRJgaJHxc02R3oyDA, 4kPVOgRPApsSKJM9rFoX_Q, cFWuC8alY6PEtEvZ2b7wrg, IYR9sSrSl2uxvFpPxdvNtw, WD0K2eHcfn3Q4gMhXrYGEw, 9sB4EkghhWk00skG7harFw",13,,user,,32,1,8,,,,3.52,,,Nada,,,p5CW9rxsjQ-oCcjCaCw_8A,0,0,0,0,0,0,0,1,1,4,1,2,4,1,5,1,2,3,1,1,0,0,1,0,4,4,3,1,5,4,7,5/16/11,tip,EBIASWLutDkgn6vhs7Uikg,0,10,,"21 E Marketview DrChampaign, IL 61820",,Champaign,TRUE,40.1377735,-88.2416904,IL,TJ Maxx, ,3.5,Stores
65WX1obFYHteKOf0BNXy6Q,0,box6fCBmOpmwI60WS9vBSQ,5,review,mf8ZmzYh6zsWPb59hvmfoA,0,9/5/14,0,,,,2,2010-03,,8,,user,,7,0,3,2,,,3.71,,,Lauryn,,,mf8ZmzYh6zsWPb59hvmfoA,0,0,0,0,0,3,3,0,2,3,2,1,0,2,1,1,0,0,0,0,0,0,0,0,3,3,2,3,4,2,1,4/14/11,tip,XOnwygK-EerILmQSxP2K6Q,0,6,,"500 E Peabody DrChampaign, IL 61821",,Champaign,TRUE,40.101862,-88.2317371,IL,Espresso Royale, ,3,Food
vjKLqqElBIY791ZjeFI8VA,0,OouK3xTW5zrMrhwiODZufA,2,review,0kRBRm5xOWclzemsLl9iQA,0,7/1/16,0,,,,0,2016-02,,1,,user,,13,0,1,,,,2.79,,,JOhn,,,0kRBRm5xOWclzemsLl9iQA,0,0,0,0,0,0,0,0,1,7,12,7,8,2,0,6,6,12,8,1,0,0,0,0,13,8,13,10,14,7,5,5/11/11,tip,e5PcVqoEXa73JhLqFyQx1g,0,75,21:00,"1706 N Cunningham AveUrbana, IL 61802",10:30,Urbana,TRUE,40.128807,-88.197784,IL,Hickory River Smokehouse, ,3.5,Food
UuJCA2QbcmOxuGuhdH9Bxg,1,w3K0UQHHT8Oht5eTSIAc4Q,3,review,TRNYNeiLLY-1yobo4rArxQ,0,5/8/13,2,2,2,,123,2011-12,"Q9SKKZgbTMf5fXTQerFdqw, DMROoYIn90b8AgnNNJKAMg, h1TK-juyKgXr35wkb8EcEg, EtmwssREPwmcH8bTCTsahg, QsIoKL_bq5CdYpUeuqOH1g, V7pppn-r6tL_Yb2_msQQFw, KA4PQOvc21KRCnGS6laDew, oYT1eRGFQxzPCR0h_JyvIw, er4OtwOrNz3CmFvpbDECZQ, XtaMKef8ooYHwdxu5zOqDQ, kKhktrVTWqDUom8ZbxE8JA, _9kDDopOD_2nJvz92uFs9Q, BVJU_cyLQgeexedpdaqwZw, Eh9cFjk7-Mg6DE5YyvLxWA, TpGTyk-NuepCXxsda8iXUA, szeyvf-9IJYrStx-REUSLg, IGd36jCG0mgDagqBOjsr1Q, UuBxCe6X2rJJun4aMXRWcA",134,,user,,76,4,42,1,,,3.45,2,,Daniel,,,TRNYNeiLLY-1yobo4rArxQ,0,0,0,0,0,0,0,0,0,0,6,4,2,3,0,0,0,0,0,0,0,0,0,0,3,3,2,4,2,1,0,12/7/11,tip,UO8xwOzJVUa2ilRDgHhKXg,0,17,,"605 S Wright StChampaign, IL 61820",,Champaign,FALSE,40.1113062,-88.2289026,IL,Wonderdogs, ,4,Food
l0AISP4HQnDZ_RcfPWftww,0,D98vylCT1fLKBIU6iAKxhw,4,review,1KQOIPix7Uel6bSuWcvPvQ,0,6/25/16,0,11,46,4,76,2013-04,"SpKVX3rt892E-BrL-yeqiw, BvGV9lMMUmB5hLWkNlY3vw, u2lanPBcORxbwJzsEbAExg, mRncQJkKWVALsflOVvO2kg, gBID8jIwsQIE5W_Zr0Vhjg, 5-ZF673BNm9aY6VQQtc97g, cNSM7lARK0oNg6nBtg69Jg, YpiQGrCNe03JwM76HHKfNA, Cokoez_sv4i0edUL1Eg7XQ, r9YT-wfk8DlMyq_q4a_saQ, eAwlEPPnWniLDYtyB9cyXg, bM2OTIopnFoaQGLxK2PxPg, JgHGyWS2emyHq6aq144SLQ, OZCzq4BvNGdTpBE2iUg0Tw, f1a9KwsObpE54Yp9A1fVoA, vt6xkoCoEQUF0tND0RuCzA, kRqk2li5lEm8R2EcYDrXBQ, W4ojW7f30haCertr4CzFJw, bPzcpkhSeQDu6WQTUh08yw, 9ARfyGh_IaBn-QOLyMnZDw, P_3ygi3JsZL3Ukkh817R0g, TWIg1Jx2jGiC8UqaKpNorw, CvMVd31cnTfzMUsHDXm4zQ, fVq5cSG1ULnAbo_GBezOKg, Qtv5rGEDC35Azs6eQf2bbA, 3tWy9tNjvlVPmY-8MMXFrA, 8oJRVNV3Bi3VHAuI1Su7-A, xBejh2J752GEd7fdpMXP1A, f8whKgtvAF6NOExa-D0nuQ, yZ7gYX2cS0oJjNmi-MnE9g, mEMun-MSV-Rke3oB8qD_Cw, Ur7Yp0uEAEiHFSYq56-k-A, FQj_3toqnOBuQpwBkro1xw, oR33ArHP9GGXKUIJ0E6UkQ, vlWwsOG5fL8byQRZ7IIBZQ, l1ueBdwcaL0vNEZBq_7wzg, XOKy3A0DCZuzeglHZw76XQ, _EzI8bJVnZesQqsW0zZ5aQ, f1xhIojHbEKIIbfvCPmbMA, yRfZuha43mCJdNEX4FADpg, 7JdLXBk4T8D6gQFwxV0Y7A, BhSbrzJt1HzYTBKplcw6qg, 0RAmuyzHyrxhMSwAX-Hycg, eFIlrOz3TnuZQeh2Y1e17Q, 2eICeRlxg8Mb51cTnw4r0A, 90OoIs7pmyh8pYAN9R2kpw, g_AulDQK7OSI8nOegWaJEw, 87U2eEB787ax0yCKOV7joA, lR8ztGfJzRv-dp9ZPyooUA, JJZr5bFgSk2P1uVhHhcnDg, h1iFDeqOb6loiSfCDDY3EQ, mXG-1WYYCDS8o1-3W0eezA, ZjxfO0xvmxZ7BiNUg7ejjQ, epiw6OGud-2EK2Au8L6XbA, Qf073leqNNYey-c9a6n6xA, vEZkP52Y1pPG7PKNIP0V9g, xdb6waDqPRg6mfMKXO36GA, w8pZYayZQY5PmywZQ83KRw, qBBt0BfW4gXUWbYxX08JnA, xUu9gORsM_AEWJjiEN4fHg, -yYFnBCAVc3mgFt7m3syTw, 3NU4UJWlsVIl6kSYouaFxA, qiq9qxIQG-LKHhw3gBXx_Q, 3MbLmIzK_51lIcGsjGgMUA, dzKYG04n0nLXv6tGFvJX0Q, s4iBNiw0iy3YZU3R7Os-pw, gKGEuQU-BZbS0YaPEhvI-g, 2QPQbXx7FM_jTsWlCW1WAw, kGVK_HmOjliHrKiPGiXmxQ, jfnxH8u5ksFVLoZlyzIkEA, W_3Dp9xAW6Lvu3J_hAXBpQ, KkfMD7Erl0f1UYsncCbN_w, EiboDjzB7qfd3Vgu_U_Rgw, sPpgwnTgA4myuCwwAsPrAA, aX8hmnedCsrLJ7HmD8hwvQ, eWjqh5F-2tHtWhZODsJAyA, TV9jnUB3Zblalp8DYqpbgQ, qXiN4Gi9N0FOeQYoeiWU8g, pYp_4VQKnIFvSoQ5HjxW2Q, oxXOvyCi5122MyhUOgbUcw, 0bR3IX3OtEo4_uZCrSYZGw, 061lsbK4eLnRJe3sZjPn0A, Shx7VRhEHeKVtaQU9VgRPQ, oGj_F0C1EJ-UiO2e91H_1w, nHqr7GAljZjq8SAABQ6Mjw, DZ_EixeFWTdL8ksiycbz-Q, q6ASWjwqAgP4B67JDRoFIw, sRoFGJ6Avpl21hMDwQPViw, 2d6bYq_7cfi8zp0lswZjOQ, goz54FSSoQkvWnElKz__iw, vDKvLpsVOp_rU8JsVaAXSA, W5FZkpRWKF-oHh8hPlNIMA, TICQ9zdx9KOgHpj2Qmlohg, -UMxemhI-Co189BNhhuqpg, _8OOYC9Rv3HdBBLvieRHAQ, Tw3hshEgAcYz5xNx6DoS1w",382,2,user,3,338,22,110,1,"2015, 2016",1,3.85,4,3,Daniella,,,1KQOIPix7Uel6bSuWcvPvQ,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,2,2,1,0,0,2,0,8/10/15,tip,eWjqh5F-2tHtWhZODsJAyA,0,5,18:00,"135 W Main StUrbana, IL 61801",11:00,Urbana,TRUE,40.11219,-88.2087729,IL,Bohemia, ,3.5,Fashion
