Business Star, day_0, day_1, day_2, day_3, day_4, day_5, day_6
1,262,287,305,296,282,193,176
1.5,3814,3621,3734,3928,4344,3843,3696
2,12198,11892,11753,12197,14325,14269,12142
2.5,42025,40321,39620,43079,53975,62127,50194
3,103758,99789,99919,107225,135802,159956,128059
3.5,214820,202738,207779,225165,298530,344408,288837
4,246465,239970,244848,259553,360652,455890,355617
4.5,112082,114893,118519,123881,160641,202165,144524
5,13209,15112,15653,16049,17816,20438,13505
All,748633,728623,742130,791373,1046367,1263289,996750
