review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
M0X-u4l-j6mtOqnx9m3xfw,0,TrafG213bITw2s0KWfOvYQ,5,review,xRRktTXgC1016xBDRW_ptQ,0,10/4/15,0,,,,0,2014-11,,1,,user,,2,0,0,,,,5,,,Traci,,,xRRktTXgC1016xBDRW_ptQ,0,0,0,0,0,0,0,0,1,1,1,6,4,10,16,11,12,9,14,9,6,1,0,0,18,11,5,9,16,27,15,10/21/11,tip,DJvPGVUyH8OrQqCqHHV2Gw,0,13,,"2265 Village Walk DrAnthemHenderson, NV 89052",,Henderson,TRUE,36.0210392,-115.0878173,NV,Pottery Barn,Anthem,2.5,Home
pU9D6iU5uMvU6x4Jx-nmgw,0,B_3L88ov5r7flUz8BZ5SLA,5,review,xuSsETlnlO3XFhlBGRZkTA,0,7/17/16,0,,,,0,2013-10,,0,,user,,2,0,0,,,,5,,,Taaran,,,xuSsETlnlO3XFhlBGRZkTA,9,4,1,1,0,2,3,16,12,5,17,10,12,15,10,17,16,25,21,27,35,21,18,16,41,35,41,42,37,51,66,1/22/12,tip,hebXGQk5ggZSwTlUoEcTWQ,0,31,18:00,"1 W. Campbell AvePhoenix, AZ 85014",9:00,Phoenix,TRUE,33.50172139,-112.0742315,AZ,The Pavilions On Central, ,4,Home
efuwe4ejSuAaNCNzcb7xcQ,0,fquGtSwMfJzE0SeFRQ-p6g,2,review,pXd4p7AmKzoA2kgbCcArwA,0,6/25/16,1,3,4,7,178,2008-10,"BK3SCYqXkkObVhQHI5Z4jg, H18ZChResyTLFv9-qpsRvQ, XJIr1V_dQEWZc30Fuhh2RQ, I5Y02EXFwosXtuViVpLqeA, LS1wvSMsjs7NbwjG3_gH9g, rkPWmTuidZrR6zsjuOardw, JbPDItRMV2zhK7dHv3TSww, lRfdcptGBxolpkBPlZ358A, 86ll9hgqVYMeHbIROULRKw, 7PJ9TtNsGKN3HmmtnIjLzw, d1ht6PfHF5cWaxbAF1Hwrw, FKCIYjD42ZWuWXnqmfk40g, yEOGcbXVTGDugllki24Ynw, LuOBE3B2686XpyyMdjxcZQ, u1BRfPvVgDmC64oxOwOpOA, _3Bj_k8C_Fz-vziwzl_wZQ, Bt0dIsfMLFPj88eoGP7Gcw, jirWkclln9NPzAHIDSbk4A, 1XwU_ZA2HByIa9NoRh5lsQ, v-ky0VEUY3pmEv2LjIL2oQ, SXdk5Orqeznw4zBvueDONA, O6kXMlf98N0onuea2RhqQQ, GqL4z_IDjJQk8LjZ9kJbXw, lVBAerGvbVCptiMeWZNVLg, OpTOiHwzOnGS7q9aaPLF4g, pRbFdprc3H7nz4n7djNSvQ, d7iMQseERe__ISBGBmo2iQ, IGG9xt-ranRCbfJv515kHg, SqPIE2XuhrM5G8Qtp6PRvw, JfkqkUg1V2koBnmXPSw94A, J4ozdAp82RvbYRV8dKDT1Q, QT0IMyO8ktSq3PD9Z0Hf7w, W2Zrq825OzwRogBCQp3mJw, wAM3u_qbGoVJSjywWm4FqQ, 0k35wWMNuWLh4eop9-E23Q, ng3AZyJfV3mDI27QutKQSQ, IIRrccurxJK-foecWcte_A, C87U947y2gSSM2a3L29BLQ, rWKTy5K4xTfTU-Bcy9UMRg, 1Tj6E2jWWKXWgRXcn4prkA, ZjiuijqiyvA6Lj1weGBAQA, YL7RauTnwzsZdBA_xzkZrQ",621,1,user,,177,5,177,3,"2009, 2012",2,3.8,4,10,Samuel,,8,pXd4p7AmKzoA2kgbCcArwA,1,0,0,0,0,1,0,1,2,1,2,2,0,1,0,1,0,1,3,3,1,0,1,1,4,1,5,4,3,3,2,6/28/13,tip,d5-Zj_egrXaOxFdO44BxUQ,0,10,,"1350 N Town Center DriveSummerlinLas Vegas, NV 89144",,Las Vegas,TRUE,36.184262,-115.3063474,NV,Falling Water Apartments,Summerlin,2,Home
jLzyQP0en5sKETQIhfUWfw,0,K_HNwPafR3LxyaaBP-tCjg,4,review,kXBtZZuut8sPMID4Q-0qEg,1,3/11/16,1,1,,3,4,2015-09,"mtvqNO-nAUEVE_GyvbKGzA, zO3rwvVqD019gQZjCk3WGQ, FNWMJm61AHt1853p5XHLlQ, dyvHOcHZrCcl8F2Lq_Ycxw, soypa-6nXhnfr1ytcqzlyg, 0RAmuyzHyrxhMSwAX-Hycg, AumDZs3qNLKSNGQ4l7NBLw, tE1UnZXVGPG-OjqeT8QZsg",15,,user,,34,1,9,2,,,3.49,1,,Analisa,,,kXBtZZuut8sPMID4Q-0qEg,0,0,0,0,0,0,0,1,58,132,169,231,82,21,6,10,8,66,140,58,8,8,2,1,6,41,29,13,9,23,880,6/19/16,tip,K_HNwPafR3LxyaaBP-tCjg,0,40,13:00,"7950 W Windmill LnSouthwestLas Vegas, NV 89113",8:00,Las Vegas,TRUE,36.0418432,-115.2644551,NV,The Crossing Christian Church,Southwest,4.5,Home
KTeHLOV9RFHCWsOqh0TPCg,0,63-yl7MJRx6V2pWFnKo8NQ,5,review,sZxz-chNjkq_AzXpO09Gew,0,7/15/16,0,,,,0,2015-07,"5U0f_3zUi6Yy-bD6csyVjw, s7mzp-06ewKOva3O3it8_Q, FNDOyTkXdbFQpMpw2SjquA",5,,user,,12,1,2,,,,4.08,,,Rebecca,,,sZxz-chNjkq_AzXpO09Gew,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,7/16/15,tip,ikyqQdOJk0HcU23zKHBVQA,0,113,19:00,"16211 N Scottsdale RdBldg A6A, Ste 154Scottsdale, AZ 85254",7:00,Scottsdale,TRUE,33.634452,-111.923972,AZ,Dose Moving, ,5,Home
8XwDvPbGv9ZXspx85RlASQ,0,kgNKqb4-P4ybe1j23hsdVg,5,review,2dLAlQBGZmPiU4P8HPuvmg,0,7/15/16,0,,,,0,2014-06,,0,,user,,4,0,0,,,,5,,,Pam,,,2dLAlQBGZmPiU4P8HPuvmg,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,0,5/16/16,tip,EYVIdYeWPv5iZk6WffIb-A,0,4,17:00,"4221 W Charleston BlvdLas Vegas, NV 89102",10:00,Las Vegas,TRUE,36.134714,-115.1753111,NV,Flooring Center USA, ,4,Home
CjOYriFAN0D_Vy1_3tpH4w,0,qjvqHdZ60X116G6ImKnWqQ,5,review,c98PT7kqkbqB32p1riVkwA,1,8/10/13,1,80,156,83,987,2010-09,"EoTooNBcxu0Hy0-XeZI8aw, CA1CSw_uiapPotkJC9hXAQ, A-10oCwm2KwKmpnciAyr-Q, jlpbR7IurKHCnSrGxELVlg, z1V7UFdPFKwnjgYRH9rrCg, tNwBuLECiL0OtxTXXG4m5Q, bTgZZ03AJEs7t2EFLiMxzw, nKoB5cWZHXYUIUcQsUDogA, pPPUyhxKCflgNsj9jSk95w, 0_d5NOPNdUb2D9Q8AYmFBw, RZaaaE3CfYrlRjN5rkA9ug, PmkGlGsg7HqXkShz38Ao8A, ItqL2488GCmuFcKxHDF7Nw, j8ocPEVty-EEYQk_Zeldyg, 63Pop3d15pTuHZ7qoex46w, 0oRtnPHtvZIE1UNxCDDTPw, JvyJa5TFSNK3VAeEPElRMQ, AZuSSh8xMwLtoapGa02WZQ, BmREDyqFROiGhtGh9Lpmyw, 2t1Jw8VTti_bjhbVpnFZhA, UsXvVa7OSfJrFQ9GfRhT5g, S6zhXdY_Q1PZlIi_K3V2tg, FquDEf8FLOxx76VE8AKpRA, LfvZaZvIoe9zdmGjZM3wZg, 2ilke9R54R_45T1xcSXmbw, kD6W3S5bHtut252oCfhdQQ, SA43PopoDs1IH5SiGcI3qw, PkZzbg8KUgznRxx11fCVrQ, iiDPDbTRgZeYEG08uOq0dg, NHbBKfXCjwzKeZPE9PQ4rw, VLAn6jqi7Kxsy5ZBtfqNyg, kcTBhvEdF5yiInbdXKDsiA, 7_ZBKBGFOZpl7LBhM5FL7w, R2UipZm8jmV0X7g7Zyunpw, ggTsSpsWqtrq6JPLE1i29w, 0UZze9DmUqitsWeaY84AOA, zS-E7K_1yYqo7Z6TxR24KA, DJSGBuTVHSze3jeIxYrtkA, qNBXPH_m3tSeSs_JbOyW3Q, -aVMJODvIwJh-SIbBqTp7A, M3Jau1G4i8wAom28qBMqtw, KwrJlC7IRf_FSnLwThGVlQ, bquinUz9wLcji-8iZCD0MQ, W-wXboXH5UW_tYDLAbPhow, AJPUucBXwboTp1Xs-s27OA, gbRmUH3e38o7fUM9JmoOSA, DNN-pOqu6ldnt1-UP5cHaA, CNOI86FCGYv4AJ8fTzVpsg, crsyqWoKdmO9EFCwCH8QGA, ZVglsx-NFCB_58X6ocPECA, yCoRzaECCOwE7UvUpT1TXw, A2uwc-thWKx47VuRwvWGQg, 7wSi6CwaxhR5rbphALIg5g, owGni1-BAuVZAJDslkUOTA, QQacOXfgNDSwTvJyzB1iLA, _d1ZXq6wb2WEVVtVWKoudw, Vo6ce5sjP2R1174cK9cEfQ, 4YreLEqgAJrg3dgPtKLuQw, P5Z8LlG2-7j1kMrYyRN5lw, AZwZxfNQQxBcuVr2LZ64BA, o7YvVWoCGf9O4TwN3zGPkw, OXkkm9t4h9971BJnqQw8cw, 6-ZZLFMJPGomOMwMo3uKpA, O1JPW0Z3tKwMWORi4EP39A, Q5qn0BUEsAHoidP6wUzuSw, krDm4aB8q42_L-EW3-Yjvg, gv0fcIk38iKv1CyruNWCdg, _SMtL7EzY1obWyY_bUx_SQ, zzqlE_xZK-ls6wQntT6fKQ, daJeWOcNdNiHXN5BnMLzCw, 5k-f2fiKvh2YKytL5lVW6g, M2CwmiYCIGyRfuoCX1nHGw, XLQ2ZIv0xWIVilcN1dvr2w, D_HU9yBJJT886bSjI24Ecw, knMj5ZbfDZtcZA3v1ol7iw, K3WhzS8Eys8CSwFwdJI8Ow, WetFQUNd5lxG-FkTYbu1Og, rONxiM8Hafy5kba3ZLoCbA, Ju84KYKVHTc0tTgArCRTQg",2549,5,user,8,927,23,1648,33,"2010, 2011, 2012, 2013, 2014, 2015, 2016",6,4.07,44,31,Nancy,1,13,c98PT7kqkbqB32p1riVkwA,0,0,0,0,0,0,0,0,3,2,10,4,0,2,3,0,1,0,0,0,0,0,0,0,2,2,3,3,2,6,7,12/24/13,tip,sfZpUCrV7ISjn0TnOgiVLA,0,9,17:30,"400 Rue Saint-Paul EstVille-MarieMontra9al, QC H2Y 1H4",10:00,Montra9al,TRUE,45.5097546,-73.5508393,QC,Chapelle of Notre-Dame-de-Bonsecours,Ville-Marie,4.5,Home
cFFCoaq5zSrqNAj7BlLUSQ,0,6c3SYWd44uUx5szjVYexrw,5,review,7jZPyx3CrnLn8l8V08fsCw,0,7/10/16,0,,,,0,2015-06,eLPNXqzytewsS0RtYmNa4g,1,,user,,3,0,0,,,,3.67,,,Karla,,,7jZPyx3CrnLn8l8V08fsCw,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,1,0,0,0,0,1,0,0,0,2,1,1,0,2,1,1,10/27/13,tip,EJIbsZkxdCsUrUa3RUbUDQ,0,190,17:00,"530 E McDowell RdSte 107Phoenix, AZ 85004",8:00,Phoenix,TRUE,33.4664494,-112.0655065,AZ,$59 Rooter & Plumbing Service, ,5,Home
Dfb-P-6wbydCyMkBvudzyw,0,eaF4BgopbUXjP3pP8Hq30g,1,review,eDOSUBKUN2p3krj0iBW6zg,0,5/31/15,0,,,,2,2014-12,,7,,user,,12,0,1,,,,2.92,,,Kimora,,,eDOSUBKUN2p3krj0iBW6zg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,2,2,0,0,2,8/13/11,tip,Ikf6HMvFlXMEJLW4HH-tFw,0,4,,"4855 Boulder HwyLas Vegas, NV 89121",,Las Vegas,TRUE,36.1167782,-115.0679863,NV,Budget Suites of America, ,2,Home
U4H6hPsLoqb5yCA4CkrBzw,1,Fec3jKhFWNJDvI7oDiLakw,5,review,UWC2fcjdC_o3aa8esHmNFA,1,10/14/15,1,2,2,3,11,2010-09,"9dxLtbYf7md6GgodiHN3bw, lJwkB4mnLdHdgeUtJsVGsQ, 3dno9Y7mtvi2tq6IfMpDeA, UoLVJ1R55IyN2S7TKbszhw, 0yc-ae3MiIheuQwXsuFNdg, gfWFpSigtZBKQ1lVyraYBg, L9-X4KASFfdhOeVeYSDgvA, VtE8glT7ge7KtGuh-4OWng, 9r3-pQrXOp9jS6t1nV0t3Q, EaFCG7UtnTS7Ap17zFrEBQ",41,,user,,85,1,22,,2016,,4.28,2,,E Paul,,,UWC2fcjdC_o3aa8esHmNFA,0,0,0,0,0,0,0,0,2,1,3,0,1,0,1,1,2,1,6,9,5,1,0,0,0,1,2,1,4,6,19,10/3/10,tip,ROr4DQ-gxlfUKmiDC-qSEQ,0,4,16:00,"100 W Roosevelt StPhoenix, AZ 85003",9:00,Phoenix,TRUE,33.4589705,-112.0750142,AZ,Trinity Episcopal Cathedral, ,4.5,Home
