review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
ttS7JpqFP8Ka6NzpXrxP0w,0,Hr-klj0xH38hVIU0aKY2rA,4,review,WBmbKC81XYCUCgMGfLLjwA,1,6/29/12,2,34,37,14,238,2011-08,"8J4IIYcqBlFch8T90N923A, Rir-YRPPClKXDFQbc3BsVw, pW91HUnVz6ssLZ4dY-ztyQ, z9QVdtpdSEmKAnM2PhJU9w, tn5AIW1NVjTI4oNdrpqwiA, 94N07GeXPUyC8baIz0l3UA, 9LUZil3kYErxhH4fQyfZzA, J3W9qboYa8reEqlPoohIzQ, zV7uC4ejOHw_87HU-dVPXw, IIWtH1LHdfWDtIKYgdrrrA, ifD7o8Mi67yNYwgWL5CbKg, DzVKlwlnqwSSiGGzLmAp_g, WifxG5NtC0VAGlUo8StrBg, 23bCUONbJfIrtsLgX7Dgvg, rX_t4oJNwMTLMleZ7s4ztA, eUVEH9RpMjl1wxVXvVyB9A, 4kx_erzJM44BzxOr22HJ0g, jqiDWycSAWIhSHIfN_PjAw, qWV1sSKn53BmghpP56IIfA, 9IEVc_1NCzHVMN5FSNE05w, bLjKUuAvdx7wbp6arixUfg, nN6rr9Z6DRYg2J4mXagWZA, 2rlBbFPHyZjXSFSE8r551w, AO7fRv6Wq-322AZXAWbgXw, P2kVk4cIWyK4e4h14RhK-Q, YwAh79IW7G12u0sJGyhTqg, mFOZOsPQOacWIMVSyXbEbg, -ANkfLbDf8aiBQ7vywIL6w, NGaa4JBPXl8GzdDWWbxb7Q, aYpO4xX9yWRGfF09Co4SXw, bnVjfyPIsh1dQ8iC1zXNkw, M4W-Yobg-atwT03G9m4E-g, 0bNXP9quoJEgyVZu9ipGgQ, 8Srx7a-O08KCQvqIFY38zQ, nuiihZMgVJ68J_lvUujr4Q, 6KUc5iSU3I5Yysqw2Rl60A, 17LPTsu4RgqTZ3SxsGzzxw, jat0NYgodMevP4lXxjEIDQ, 7zpDhrRZRTGCkAh3SHbEww, GO11d7wyai9DVtHGV52OcQ, dS02pxg9FMgcJoQEohsMCA, Hv-U6M-gVXf8jqzgWbYLXA, PmLa7Pu9Ba32fhvCOLOr5A, bmXuGmfu9LahwRMLjs5OXA, PyZFzAN56d8S7iIzeoSV7Q, Pzi8KFogQaOX2Qykaciddg, JzPCN2iEGNWvzvJOXM-dKQ, 2xl5reFNGc1w8qUmc6ZPxQ, ALMRejeIBZR7yN-ooS0MIA, Prsk7SiPZNfgcPyygOdGHg, 5jgW6JgmKEvp4W02mgDROA, saiZmxzBIowJbMgPBW1Now, olT2J66OB2HFlRymvqkxZA, OJ_jNBVcPWblkHRMtG2nRA, DdxfNRK6O8UWVkhT4Nsrcg, qwUWPm3F6K_b01QOqJrgMQ, KqaH0TMidJb6AMAeLXmu4A, 0IAOkW3KD1Dsx2hnwb0CSA, i2KwDZV-Bs_BrZjGaBn4YA, 59HHn3MENZJMvazbUpV_xg, V0WOxlZrIhBjcvlpszAgXg, HJTloHYD4nlWQtG1ZC2_2Q, f5o-nYA9U1LtqPi218zd8g, dQhd0Wfn59TYWf2GVukEww, -B32HlBjDRafJpD_eW5pxw, fwsJGulnozT2U6FefsLiFw, QiaLeB_qfiAin8Q6wF0lIA, 9UmuiVEUzF2Ne1S2IfWyNA, VxT0Op5Q_F05Tcg3N6dluw, AZuSSh8xMwLtoapGa02WZQ, Eyo_yTvs-h8P6XdYaYWR2w, kDZUGqP3j8eiLKIExBWI8Q, EOffNH1xPOh6WMaPQrVF7Q, Qp1pHOQUssuX2MH_M8CXng, EsGJlE3aKNAByq1GfXYmMg, Fm1kLWF2t8DdvIMs0zW2aA, TEoY60poY_5k82q_w9zt5A, TEkpFMnQyihAcVDITFq3oQ, feUaMn-TJDTswP41p6mWZw, Sv5kY5jq0Qulj5fydJY-3g, LJROKXWcDqgcRrMI9B2CEw, ifFTbGgwjXALO1PgMHzrTQ, I2sRZAN-pAq7VLRhFvFPCw, L3q4JMskniKXf4Az04KNWg, Nk4F46Pffx3B1HAupQfsog, 9pSSha6qdGposHm3_V-UQQ, 9QHUQF2p4vbTSiJZJ4HlYA, 0YrHbr_d96OUSXfzPR6ygg, r9YT-wfk8DlMyq_q4a_saQ, Ybvhi6-36VK49nT11Qh1Gg, XYBnVCF9Rxe-z8wyzyTXJw, FNDp4BTUS6Tce0qM4XNlQA, 8tbXmjYGsYFZXk6ppuwRWQ, MdCZyRN4HfrfnmJlvTugEg, VgfxD1RTs9C9kd9HEFNXKw, 6R80N0O5E3FJ42f94O5RPg, xNb8pFe99ENj8BeMsCBPcQ, JJ02KSmRB38oWps-XlCfHA, 90kVHqzTDOyWKfvonurD_A, 8OZ3TKist9Ekuw5T1LKRkQ, jykemU4-CaDr-8Lnei-_ZA, lpB2TuVpWkMhBppiujj_bg, g2U0q3llw0FZUrz1AwIejw, 5Fd93L51CcW9oiJxPPfgEQ, hjJPKQ1Ah91h3fVbc8GsOg, RHkNDoCY2jwvUIoz8anmFw, jf1THUEaaYR7-gIeCEOJ4A, VRCl0XzcC3n5RzfuU3gu3w, I5ab7grI_zRFieGVvDUPEA, UShqP_UBjjY-n-dY9Lgj-A, Nd-bx8nCwoA5c14ugyVI_A, mP6PQldkWKqcVPUP5XvfIw, lOyS9cOYJSnvWwstCgesQA, N218PFYzG7ZxYU6GIUB3nA, 2biTJfc25MuCOXD6XCo-zA, BKo0QW3LGBzAZug4doJrgA, BT_1-9bmb3mu-Pb3ZqAviw, 1xBM_EFkCwEweLeKaxFe8g, 35DCHphn03nDg7VKtieiwg, 8j5rre5uA2TxjX8Fk9Je3Q, ZW7oLADt3iMhjXloUHJ7mA, Wf3pefC33tRrhNajzbcWhw, z6az0LcWcObMLxF5QIDDSw, TXMm5x0nOqLI_zcyhjJbiw, uVDiKuubOc7dZZqtSE13Mg, ODhV53XhesCBLJVfGsJGNA, Foxo4EDANz61kwU7aTFb1Q, eAq_2RBtk_zmRy1_tEvnPw, Z6uSuLOF-9RE1mzi-qR5eA, wcHRxsccWKHvjRCOs8sf9Q, a-8jQ9AdcCFxMsvftiRYCg, WXlEInb7eaWAyVAMVC80pw, wFweIWhv2fREZV_dYkz_1g, KgC628fE3MIoGYMZFYxk5g, gt8aZr1Rf791Dn6LT0y3gA, kBKju4_Pcou-76T48FFMvA, 2RSfNJz4MPqv7wcZ7mzsDw, neOOSMNWcVL0o2Xwb0goVg, xwcvsSC8Virgl7CveVvB4w, UUHbKus9GdbL-bFervUoCw, zHvBHjiWcMK-Q7tGQrImFA, ucl7u1jih_YN1WAM0Ns7kg, Ek_t82OUnerdlO0D-GVcxA, hLuKgo7G6us4wNQoFb7N8A, 7J4Z9zAUw2bt2ZO3h4f14A, drGIGtfLISviz3CWMNE6XA, lUo6wSVKfdn1RJZYng2WQA, Lw99LHT54yb7ED0qlgujeg, oYTZ2PbYYd2MDbVYUoQpCw, izzIjz1G6Q_kvHwwJFCOnQ, JVnGX-4Rn_jMWB9picw-Vw, 4FOqSLB7Hrdv6li81chY4A, KEdU7RoQiBUbXFejqUtx3Q, hSZrn3sB_hzeFIkSLMzFCw, AOKnHk4qLNHLGomoAuM-MA, JxKHfSiUsCl0djbv1x7uWw, HpjppzvCJpYHzPVtjevACA, KNyQgVsizuRWBKxW7yOu1Q, P5VfQpNis_p_vAh0m8xzsw, nWNNojXYkXRl_0_pNbtfbQ, GW8CGcnTX8X5qp3Fb68SGg, G-hUWT5R3MiKrg5Mo-H0xA, lC0KGXmIhyjzghBUlVnkhQ, 9VNk0clNkkr6Ws1NXDrWDQ, FUm7vNMMyK083zE6eXHI7w, Q8pz9rnKP9mVp9UV_mSvrA, 1VOXL-CENIErY2-c7GUINg, 0uhL2yyl9Voxh5RVGNDrLg, v3nPv8G4dV6y-LNesb6Mug, Q_joJ5KDY0HuZjglECK4fw, Ftvk3W2Dm-ACMJ1heZnLKQ, gNmoBqS4Cx8L6VsZNw7BEg, C5YT9IID8c-x20EXsxHFXQ, GUS-L9GY4PibH1mfqaRZug, RGQiH1SMGaJqH0f4n1j_Eg, 48UWR4UbFQgnu40QCNMO1g, FwzXiPL8nY3PmmHjRP1h_g, d-aOrrBfuyYprIxcy-0n9g, h6Y_hnYC4ULJ9XUeiizt0g, u0H4gbtuOqWykjuBUzUP1w, 4jz83Df1emVCgifPOfuoFQ, QWkXgWM7jjIruQ4Q4wzZWg, q9W0t4Tk4EJUUlw98h5Yrg, 1U-ooN2aIROrocxAmeh3iQ, TwrgpZxINOdAq6SCHJkqiw, ia1nTRAQEaFWv0cwADeK7g, 9cCTmiJ7hz35rHIdr8n9kA, xYsj5XMPuoXYRBh4rLu17A, OZHm5Zzhu16C-RmVRpCNkw, UD7Y1CqfY6mDmRwIuCf6nA, GJrGPKF2xxB06Es6aH1VWg, nBqU_AHXCayr3BQWzfyB5A, Ive9lKAHasLwRSbgaNyYbw, h0UyMagnO4COVH5KDH3hZA, gO3H3RRySattvQvraEiETw, k8Zy7BEBoUR-vndtior4vA, 3Uj1YjuShWl6i5in-80sGw, VcRuZnPeE9uxM_V1a0-PMA, zN4lbppaot1klVZn8uqjIw, eQ6togAodURCi8spBCL0jA, Lj4Idb8kb-AunKmKWzkD6w, 6BI2XAnVHwhH8LiheWHQqw, dXRrb0Df_c_HhfB0C6_GoQ, 04vAQTEgSdPmCeHDyToD7g, 1sDu-W8uXNZZLuWGcohy2g, 1b8i5ttbAHPHd1XhknyjCA, UydZMAQw-yCDCGP-jM63Eg, BRydUrmdK4pZsbUvZ8tBAw, t-zC1ZanRiiGiiktNKbgXQ, 1rkvn7m2wDjwx6eFpxn6oQ, G732SEy6HSlBJ-n0t9or_Q, gmokXe_gkbqYuI6G0IjLBg, X7C_6MusfmlYUhwHKgJiTg, dinZ3pxeWAG9ouMutcH63g, XAAs2Y77fUqV26C2ec5-7g, 4pSglKSraoDhMr00LTE9yA, cGlNo0KrauU0lTMsD0LTIA, pKh4Pc96YbOg-6hBOOajAA, qMPi-jsq6HYfyjhtTytsyA, vuDQRLDtg2I3_6IiKYRYUw, -HB0DRmDqW8odBb-AIgikA, KEMGiOv70L8zmrKHsu3sXA, m5M-7ZueTQ5mAlLhDfay_A, aAIxGi2gxh2lEE_hW3utLA, x0BcEBYiXoAELB8104l8Bw, 1KW64nE9N1kLBfy17Lp0tA, LN68y4GK-BO66RgkMeklPA, fWTleN2AnA4QVInHPlV43A, ePMylAubXOOURYSVifpb5w, T-jLGl8Rugco15AFWN0yUw, GdXDLrMruYKSsEcb9Lvg6Q, icf8Tr75xv-QOnI7wZX9Xw, pCTO2ahKRrdRxo-9w8GLYw, Tb8ldayPq2m5pQseTVeLAA, Tslam6uz4XkoI4pr1yJpqQ, DBexaNUIhgiIt0q3m3tT0Q, 0qKqHlBhd95aDSNoYYbRww, gTB1LPJ4zR7QGrXb4KV-wQ, N1Fh7ob5lQzIiCkiAtxArQ, 4R7lRcNrN-P_TeXU2WXTsQ, ff1nWJMqZiFVjZzZO8r7Zg",452,1,user,,349,11,266,8,"2012, 2013, 2014",4,3.68,18,7,Tim,,3,WBmbKC81XYCUCgMGfLLjwA,26,14,12,4,4,0,0,0,0,3,0,2,1,1,0,0,4,0,2,3,0,12,17,31,8,17,14,13,18,45,21,4/29/10,tip,v8vNquA6KmUUfoJG_2Bozw,0,171,,"MGM Grand Hotel and Casino3799 Las Vegas Blvd SEastsideLas Vegas, NV 89109",,Las Vegas,FALSE,36.1029162,-115.1697555,NV,Studio 54,"Eastside, The Strip",3,Music
YSrAk_Fcmepm_6zgLfMoHQ,0,rYuz7j6U73vIkJV3GsIWNw,5,review,mygV--nIcIbUvynercSb4g,0,5/24/16,0,1,1,,22,2013-08,"vlrH_5wwy2jrschk8qK_NQ, vi_GabcWp708Vndu7pJmZg, t4PGKAkcqes-t-GZ7lQ6bA, qsK1JLtXPHHtfnsicbK5Mg, M2XMo3adSfOvrdeym7Zmzw, 2pIgdtK--WtuPvaqGo5dxw, yooE2zWY3xep7iavydjILg",62,,user,,55,1,47,,,,4.16,1,,Katie,,,mygV--nIcIbUvynercSb4g,119,54,42,17,1,1,0,0,0,0,0,0,2,2,3,6,13,35,67,84,124,186,208,170,90,77,93,180,334,234,126,4/10/11,tip,NIplwoHjKO4b_R8BBHkLfw,0,100,1:30,"1025 1st StSte ADowntownLas Vegas, NV 89101",16:00,Las Vegas,TRUE,36.159554,-115.152368,NV,Artifice,Downtown,4,Music
2KGT7lyaLP215_KRCDyORQ,0,ZAjVfQCFeX7UKABjkn0LRg,5,review,_fn0UIgqzCtxXcmHRi8FOw,0,7/18/16,6,,3,1,9,2012-05,"3aT9kD4gkROOk7SF4SMXOQ, tfGq4aQUPNVc1Fs1-DxgRw, k3itmpGK28_JGNXnAo8W6Q, bfX7FMuf5CC3a246zqGisA, T9hdRdQ00vzDmf2NfCTaDg",77,,user,1,76,2,25,,2016,,3.93,2,,Dianna,1,,_fn0UIgqzCtxXcmHRi8FOw,55,33,26,22,6,1,7,4,13,31,110,387,583,447,307,227,173,117,77,34,18,21,52,69,136,30,31,98,463,1328,734,6/28/10,tip,ROENn-OYL2EP-zWxaCw63Q,0,594,18:00,"3131 Las Vegas Blvd SThe StripLas Vegas, NV 89109",12:00,Las Vegas,TRUE,36.1265953,-115.1653652,NV,Encore Beach Clu,The Strip,4,Music
yqUW2F2lM3ZbtWQljtvmXw,0,1i4Dx_83rJEP8OTriIynkA,4,review,k6WR9uJmwYyMdLgRZXYSGg,0,7/16/14,0,1,4,5,55,2012-10,"TAOoRCZFOyySXWfOSaLQiQ, 4o9WPIHKZigkAD9r0BzNQg, LkmcnJNBfnvaZk6MoE_k5w, H7Oqx7unyozYf72d8MXHBQ, nJCV0Onfrzqa7Py_a5bdmw, O2y5bJUvuCgAQVGyewbF0A, TouNReYiKGwYssFL-0OkaQ, VPj-bNNHVNDCdXlc3zGEgw",175,,user,1,188,1,59,6,2016,,3.52,2,1,Pauline,,,k6WR9uJmwYyMdLgRZXYSGg,0,0,0,0,0,1,1,1,6,8,4,3,5,1,2,6,10,9,2,1,2,0,1,0,1,2,4,6,17,31,2,1/29/11,tip,k_YxzDgyxxLoEzvFfQawXQ,0,5,,"1919 Alliant Energy Center WayMadison, WI 53713",,Madison,TRUE,43.05584434,-89.37309265,WI,Coliseum At Alliant Energy Center, ,3.5,Music
ohOIJoBCE8-eMfHv1j1MVA,0,6yCogImwV4JOTH05gV34pg,5,review,7W_QsNhtvKi7Pzvu2pHCRQ,1,4/26/15,2,1,2,,19,2008-11,"nELVJlkX8T0mUAArSPSJxw, kazm9pBM-79VeQFObzaZFA, 3ppZ7lv-KnUBpO_73pdXTA",94,,user,,77,3,30,1,2015,,4.18,1,,Ted,,,7W_QsNhtvKi7Pzvu2pHCRQ,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,10/14/13,tip,2UC3rwRm6swuNFt_GhKOhw,0,6,19:00,"3138 Dobson St3rd FlPolish HillPittsburgh, PA 15219",11:00,Pittsburgh,TRUE,40.4575277,-79.9657917,PA,Copacetic Comics Company,Polish Hill,5,Music
bpy7KvrZuPzR6r_D7_xglA,0,ab2gudT6E-pnDxLQBE3OyA,3,review,uJHtO1z6QfSvC5zASI0a2A,0,7/18/16,0,,3,,3,2015-12,"IZR_lrZ9pF62p9qUPyUX-A, xxNNSpo9HMfHEEaT215fuQ, 1gayEBEYwWNFgGMSQgRDpA",7,,user,,92,0,3,,,,3.53,1,,A,,,uJHtO1z6QfSvC5zASI0a2A,0,0,0,0,1,0,0,1,0,0,0,3,3,3,1,7,18,21,10,5,5,0,0,0,4,3,16,10,18,21,6,7/8/15,tip,OhcY8pHsIZ3pQwBZsazzRA,0,95,18:00,"820 Hamilton StThird WardCharlotte, NC 28206",10:00,Charlotte,TRUE,35.23998758,-80.84535699,NC,The Fillmore Charlotte,Third Ward,3.5,Music
1fHgX_Es-L8iMMaZQ2cOgw,0,U62vtsxbLg0IDOIeeXoWHQ,5,review,oxkJqxXY2AY8KNNxBMhoiw,0,7/8/14,0,,,,3,2010-12,"lPaYMDmJbAnv_3pmZH_inw, nbofxFWHORebBHh10OgYLA, lNKKhv7qf3i7IjNACh671A, GIcnw0ZhMuax96er2ZW8pg, Iz3WK8NPsIGEv2dsfs09KQ, 8DEtfP9Fmp5X1DG6iTtXnQ, 6fH87j1ZkDRPD0CwLdJQQQ, zHvn8myNOyYzTCDCCLX6lg, _3uLzA-PqsfZWMfKawwF3Q, tv0Oinh5P529x1AStVug1w, thB4moimViq2SGI0vKDC7A, 0kpBZqyMDJ8hzY5l6qqiwA, TWB6bP8O984Hq5jd7_Kcng, zweTbIkt3BFmMTk1vsksSA, MxA_wJOmUJxN1AmELO0RjA, 3HgE36dPTvtztLI1U6dlcw, 9Dr788JWdyXJ-_Gv3MRYOw, OeYESMOMLXDKCdSQp_wUug, o7EYFxo2f8GdxDskqKQHfg, auiNnh1yBHmf_EfTxx7_7g, Sb-1KCrYpHZO9-vp8cJqsA, ukkAeQpwXehhDKzG9IRt-g, cXEn5PYpml7uxIKyk7cU2A, bQSuoB4i2SM1X29S336NNA",25,,user,,15,2,5,,,,2.8,,,Weisi,,,oxkJqxXY2AY8KNNxBMhoiw,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,3,3,3,0,2,0,0,0,3,1,1,3,1,6,3,2/12/13,tip,VFzYCoVKke89BA4ZxxRMag,0,4,,"1928 S Gilbert RdMesa, AZ 85204",,Mesa,FALSE,33.3801334,-111.7887679,AZ,Fye, ,4.5,Music
qEiXOlugtHiAn5gS9CNftg,0,a-hx_u8pAxAVIkj7veHhzA,2,review,P6hQ-iXtmpoafvfuQdltkw,0,6/20/16,0,,,,0,2016-04,,1,,user,,3,0,0,,,,4,,,Candie,,,P6hQ-iXtmpoafvfuQdltkw,0,0,0,0,0,0,0,0,0,0,3,0,1,3,1,2,1,0,0,0,0,0,0,0,2,0,1,2,2,3,1,4/27/14,tip,Lf3BC4FVdr6EbjiIb7P-iw,0,16,19:00,"3325 Commonwealth AveCharlotte, NC 28205",10:00,Charlotte,TRUE,35.208464,-80.7905833,NC,Repo Records & Collectibles, ,4.5,Music
0Vcig9IOKGjkk70LIv7myA,0,g20VZMOKH3fLhApiuJYnvg,4,review,NZ9z8kjPTmp8S3WteOcbWQ,0,10/13/15,1,1,,1,5,2015-10,"JySNI9tIhmFFtUorc4zkwg, SQ4DitP1Drp4GC_CjjtT8w, fR7o-pgXkwS7zvR5JH7NAg",19,,user,,12,1,11,1,,,4.17,3,,Arran,,,NZ9z8kjPTmp8S3WteOcbWQ,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,4,4,0,0,0,0,0,0,0,5,1,0,5,1,2,10/28/12,tip,omwu8Lq0Ynp2ZyhnDHQ38g,0,4,3:00,66 CowgateOld TownEdinburgh EH1 1JX,23:00,Edinburgh,TRUE,55.9482996,-3.1916556,EDH,The Bongo Clu,Old Town,3.5,Music
Z0qrbJaqVWqjuB-XJM9M1Q,0,Xa89n2Gv_8GVbJ39WcG3pQ,5,review,8nh6y3Lr1vo2Znlpf5E_WA,0,7/19/16,0,,,,0,2016-07,"726_ydY2HVNj_1_Wovqu6Q, Lt4KrfjLOfTMCPui4SkPmg, SHZ1OdyUddo8m410q-Lijw, S8nG1g_Ee78EOoMdubvCAQ, IwM5LBpLEQO951b52xGg8Q, Ra98qG6NI1GWyqRPf310mQ, UKpOB8eOKoX7c7KAej0c0w",0,,user,,1,0,0,,,,5,,,Fernando,,,8nh6y3Lr1vo2Znlpf5E_WA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,7/19/16,tip,Xa89n2Gv_8GVbJ39WcG3pQ,0,5,18:00,"3211 N Tenaya WaySte 105NorthwestLas Vegas, NV 89129",9:30,Las Vegas,TRUE,36.2198352,-115.2516782,NV,Kessler & Sons,Northwest,3.5,Music
