review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
xknLvxogh796zgN6k-naEw,0,v0JxLF--TW9ZUf2xFMCrxQ,1,review,8Lf_SZFuVhOe9rrAgC_pAQ,0,7/11/16,0,,,,0,2015-01,,4,,user,,9,0,0,,,,3.89,,,Lauren,,,8Lf_SZFuVhOe9rrAgC_pAQ,0,0,0,0,0,0,0,0,4,4,4,10,11,16,14,10,7,11,18,7,4,0,0,0,16,7,15,15,16,33,18,3/23/11,tip,DVPEfHAc1EUOFTJV8EXjHQ,0,22,21:00,"4535 East Thomas RoadPhoenix, AZ 85018",9:00,Phoenix,TRUE,33.4801248,-111.9838678,AZ,Petco, ,3,Pets
emO6WQZXPtJO9h4Bvr60mQ,0,ss_T1s05sQsKAclw6FnXuA,5,review,24dWo4xMrxlYMVdsbQSUsQ,0,5/30/16,0,,,,5,2013-09,,23,,user,,30,0,8,,,,4.57,,,Emily,,,24dWo4xMrxlYMVdsbQSUsQ,0,0,0,0,0,0,0,0,3,4,1,1,3,3,3,0,0,0,0,0,0,0,0,0,5,2,7,3,1,0,0,11/11/13,tip,fDF1zwyNVAUjjz0P2Hq4UA,0,9,12:00,"1303 S LongmoreSte 1Mesa, AZ 85202",7:00,Mesa,TRUE,33.391276,-111.863252,AZ,Kidtastic Pediatric Dental and Orthodontics, ,3.5,Pets
r8PvFaaMw7_7-lSWhilVVg,0,AIbHw-vQGve0uhTKi9nKrw,2,review,gCRr4EtJnVJ4Rtea4Q4oPQ,0,7/7/16,0,,,,0,2015-10,"dtcmuLlq7t9AhSHSF18vzg, yJLYo7LoQ6Mexoq2EBz3tg, SfP4AQNOF7lNE5-8ppfq6A, s8-S7cjwPxljP42PnyXHzw",0,,user,,3,0,0,,,,3,,,Adriana,,,gCRr4EtJnVJ4Rtea4Q4oPQ,0,0,0,0,0,1,1,5,3,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,3,3,5,3,3,0,0,6/20/14,tip,PjLrax_xiyI37Zs1gbJ5XQ,0,33,18:00,"2040 S Alma School RdChandler, AZ 85286",7:00,Chandler,TRUE,33.2747543,-111.859773,AZ,Spay Neuter Clinic: Chandler, ,4,Pets
Uy0vwaRkarwHmABLiOiuzQ,0,1RDRvA9MOpojaCtfIZdyww,5,review,a_5_3LDzqgclJLrkv8qykg,0,5/19/16,1,,,,1,2013-12,,1,,user,,5,0,1,,,,3.4,,,Nicole,,,a_5_3LDzqgclJLrkv8qykg,0,0,0,0,0,0,0,2,3,1,2,1,2,3,1,2,2,3,1,0,0,0,1,0,1,5,3,3,3,5,4,6/22/12,tip,v2zCaAgjZyk2HUNnfpRUYw,0,9,18:00,"8350 W Lower Buckeye RdSte 101Tolleson, AZ 85353",8:00,Tolleson,TRUE,33.4232984,-112.2404947,AZ,Sundance Animal Hospital, ,4,Pets
P8K4eUg_yKWMG6a7_LXJ9g,0,44nw1J5C1RDPT0YG4KGzaw,1,review,amsJUJm6P94D3Sqwplb2bg,0,6/8/16,0,,,,0,2016-04,hJoMMghJ9WcwqiT2QlvSeg,0,,user,,4,0,0,,,,4,,,Holly,,,amsJUJm6P94D3Sqwplb2bg,0,0,0,3,0,0,0,1,5,3,6,7,3,4,4,7,1,0,0,0,0,0,0,0,6,8,6,5,10,5,4,6/8/16,tip,44nw1J5C1RDPT0YG4KGzaw,0,22,20:00,"7510 Pineville Matthews RdSte 15ACharlotte, NC 28226",10:00,Charlotte,TRUE,35.0882299,-80.8457038,NC,Pet Essentials, ,3.5,Pets
rBgtOYZGervF7Y_E8BtsBw,0,#NAME?,5,review,wx2yLxaTjhUWkR24s-AmLQ,0,7/8/16,0,,,,29,2014-06,"47Axeg0deIegNhwatMhC9A, p1HVKd0X5uCAXmAWthhxLg, ueF9Apbr8jV1cRIpSCYvxg, rw0A6YEdT5Vrgn1MIXdJug, pR1iHIEtjUufsGa38XeJ7Q, UDCjJdfTeUhNS8r3cRDyUw, nMTs0xLyvp8AUJdWUutGGQ, bteXYiePoTMRQK8wwsqynQ",113,,user,,45,1,32,1,,,3.87,,1,SR,,,wx2yLxaTjhUWkR24s-AmLQ,3,0,1,0,0,0,0,6,11,9,5,14,4,3,9,17,13,3,1,1,2,1,1,0,8,17,26,14,19,17,3,12/11/15,tip,rCZHmjSHBXrlIdUd2DXu5g,0,45,17:00,"6545 S Fort Apache RdSte 150Spring ValleyLas Vegas, NV 89148",8:00,Las Vegas,TRUE,36.06959802,-115.2987293,NV,Southern Hills Animal Hospital,Spring Valley,5,Pets
Kk9ufSMIt4BqhyjnED0bqA,0,caMrdze35hlMao8uI_UAyg,2,review,bSj-iE1TWYLqe9KnGomcnQ,0,7/14/16,0,,,,4,2012-02,,25,,user,,21,1,3,,,,3.5,,,G,,,bSj-iE1TWYLqe9KnGomcnQ,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,1,4,0,9/9/11,tip,ia1nTRAQEaFWv0cwADeK7g,0,21,19:00,"6101 W Tropicana AveLas Vegas, NV 89103",7:00,Las Vegas,TRUE,36.0996719,-115.2254361,NV,Southwest Animal Hospital, ,4,Pets
A0A-hcwjpbEPZxwZgG9Tdg,0,wnjZ43CVi1QCQKKVsXK3DQ,2,review,EyRgnvfjPbbWZSaNaiZ7Dw,0,7/18/16,3,,,,0,2013-10,,5,,user,,4,0,0,,,,4.25,,,Mille,,,EyRgnvfjPbbWZSaNaiZ7Dw,0,0,0,0,0,1,5,12,27,21,35,15,20,20,25,10,17,7,10,5,0,0,0,0,44,29,26,28,32,46,25,12/11/15,tip,v_VdbR8q4IxV6tIlGEV07A,0,110,20:00,"3565 S Town Center DrSouth SummerlinLas Vegas, NV 89135",6:00,Las Vegas,TRUE,36.1250648,-115.3255528,NV,Town Center Animal Hospital,South Summerlin,4,Pets
iwjd4E9P0refFRElNangZg,0,_00XHr9on_5mWtaiYtdZjg,5,review,aPu5wZKYYro4Jhw0JJYAgQ,0,2/7/16,0,,,,1,2009-06,"GubdNFoDAsiwE6bWIr97cQ, NtOVhVdb27aw2bFQ9_ANHw, v4ePirOpiQf_IC4LuiEWMA, ljzAgIEjlkZ9cDG8z1mmww, dtcmuLlq7t9AhSHSF18vzg, Vb4no94tyupRKb1IpZo0qA, 0hTgugc9WoVynTXt7wIGfQ, eqm5KwFdwtdIX0SE8gMm8A, 0YIR6ZlVKU8i6U3pAGvmQQ",2,,user,,7,0,1,,,,4.86,,,Michelle,,,aPu5wZKYYro4Jhw0JJYAgQ,0,0,0,0,0,0,2,3,1,1,5,4,4,1,6,2,4,6,1,0,0,0,0,0,6,3,5,7,7,12,0,3/4/11,tip,UqStea4GLwFdf8ijzuGBLg,0,27,18:00,"10855 S 48th StPhoenix, AZ 85044",8:00,Phoenix,TRUE,33.347175,-111.979947,AZ,Ahwatukee Animal Care Hospital, ,4.5,Pets
Vml_rPQl0IN7j7wY71yEZQ,0,bXHYRBMUnhDzJjz7bEN_Bw,5,review,ncEgmYNecgBORSFLS2x56A,0,3/15/16,0,,,,0,2014-12,"x6856tCjFDewGT8WCQmP4A, iggXjAwG3PNN_MtRFPSIBQ, vGnrJC9Dk2vOI7AbQzJtwA, ca7b5CbixASz_1e1uxZ3AA, NtMQIC3WcqN4jCWpprYJ5w, zdMvsbd0i1hiJxN1BDdZ8A, cL9akjWH7pZ38ZpkJG52Zg, 2fIjbJPVECsFNXEukk6FdA, Rrxyb_fEsrw3ytdTmP1Kbg, uss2ypEVJk3iyURe-2AhFg",0,,user,,4,0,0,,,,5,,,Heather,,,ncEgmYNecgBORSFLS2x56A,0,0,0,0,0,0,0,1,3,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,5,2,2,1,0,0,1,1/20/11,tip,b1UIkCP3aZjMy2q10Mhi5g,0,7,,"2550 E Guadalupe RdSte 101Gilbert, AZ 85234",,Gilbert,TRUE,33.365006,-111.736718,AZ,"Pediatric Dental Specialists, PC", ,5,Pets
