review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
RdUOCf5pZfrM0QYTkA_0AQ,1,OrZxA912pFB2-sAkMdoZaQ,1,review,BnP_B2x3vPqwP8Of1yb27A,0,11/28/15,1,3,2,,10,2010-02,"C_E6wx5yiQw93rXUjwHMqA, cRyNICH0mhjxagvSyVr60Q, f27VMQUQOWMR-KChejPMrw, M5OrOQxnmcyZyJAbBtwd4g",36,,user,,38,0,9,2,,,3.98,,,Theresa,,,BnP_B2x3vPqwP8Of1yb27A,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,2,9/2/15,tip,9W_KQ1l2SjHuWvwQO-O-mA,0,8,,"9130 Indian Bend RdScottsdale, AZ 85280",,Scottsdale,TRUE,33.5402073,-111.8850089,AZ,Frontgate, ,2.5,Shopping
FSWr6DVV27qD-viR3ypm3g,2,18xyzmQgQaIgPXCCcY-StQ,1,review,zlHHBYYV2E8uVNxPbuyD3Q,0,7/4/16,3,,,,5,2012-10,"D0S8gdQoyBk0pKrfu53n7Q, OQo8zZizaJgW230kKVE0Ow",11,,user,,9,0,5,,,,2.5,,,Will,,,zlHHBYYV2E8uVNxPbuyD3Q,0,0,0,0,0,0,0,0,1,3,13,18,26,20,30,30,26,14,2,0,0,0,1,0,23,24,15,24,39,42,17,4/5/11,tip,_oyf2fCQbJs253_hI-U-Gw,0,99,18:00,"9340 S Eastern AveSte 104SoutheastHenderson, NV 89123",10:00,Henderson,TRUE,36.0197883,-115.118515,NV,Lock N Load Tactical,Southeast,3.5,Shopping
UQsqTmnLvUO6bIaiRwDHvg,0,vBM-Pyqdb-34ClQDRHWjew,3,review,4cOKXxvzg2D39ZJB4zEmZQ,0,5/4/16,0,,,,0,2014-07,,0,,user,,3,0,0,,,,3.5,,,Barbara,,,4cOKXxvzg2D39ZJB4zEmZQ,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,1,0,1,1,0,0,0,0,1,1,1,1,5,3,2,6/13/12,tip,TBbME7IpGfOOcB1uFOLjDQ,0,6,21:00,"631 Mall Ring CirHenderson, NV 89014",10:00,Henderson,TRUE,36.064262,-115.041794,NV,La-Z-Boy Furniture Galleries, ,3.5,Shopping
bXO9K7wEmaWSnLpLT0A3UA,1,6deaMWBaD4P3QjghDoWxrg,5,review,4ASVc-idKESyU9w-atsueg,1,10/19/13,2,120,69,71,445,2006-08,"i63u3SdbrLsP4FxiSKP0Zw, D33jeqP1Zj0hUo0rD6JkDw, sqwdm9ghAIchmqycKzFwAw, H43f_rD3czq0UqY-4zhWjA, 4tXhifun9tFifNH4CMU6SQ, eVV99D3EZvkuswIvIySKiw, sf1GZVpCiBU98Sun4OqRNQ, cC2_XT0orpvPyDSXLNFdXw, WOZCIjrPdifV_lK5attcKw, 6JXh-O4gFMm-ugGad6PvQQ, 77s2qg6JOqXy69stUku6ew, rY0T1Sx-kSeSHgnPbLOA1g, EMG8AMG58f_sH1YeLNcERQ, gZrhBF90vlBvBycEvN9OgA, pvWgd-x9qoOeB3gnssmxsQ, xpMHUEbvHet50XDg98fJOQ, IZXAVCOmNLZj9EMjJ6yBbw, EYGD022jcNecmj15IHNDrQ, 1T7sS2uH8MwodMiosz4wkg, 7a5eKqs_sUlRnBLBm7WUeA, p9y5qcFZ6YRRQ9PnFcVn-g, 4Qx1pV-Y6Odf2ldEVnOAZg, X2PZFXY6v94mxfmvc1TImg, skXdDFerYoUFp78jNyllpw, 4BzWMkuo9eJ1pCUkVXJz7A, bLrhHvaR2QiisJuCK2IOmQ, oPG5VgtbV0DaDqYjBIgyXw, C9tCsaYVHdMcQeACECXDCA, bKpxIIVBFY3keKfHJIdezQ, WeX6UjZSTeMfFBQGDfu1jw, rjsx6_pSqwl0zuiwa_tI2g, 3JtdBvnY6Wzp22gt5zFwDg, ye1H39TJanHAPpWodGGn8A, N8N3Wyju1ekp8G6M7mFAWg, Am0M-nmJZ9fIU-NBFCzSSQ, esh-S2ZDV9OLkuw8KUGLUA, yfQwWLYtqwHKiky1hiTBew, e3peKcLwkDopVvxhVEpw2w, gBID8jIwsQIE5W_Zr0Vhjg, SS8wnlnA9h3G4FLUixn7jw, dc5Ys-KjYkHyfWJAlU4LOA, CZk1kRUDqEFunRwr_B1HKw, PWXJpyVyAKtVehw4suOimg, JRdTRHchEWH_qba8Y8P6cQ, 0mytq1Z-2YjXw86M05MB-g, Bm2h9omJd0mAeaLZ7b-fUw, nWNNojXYkXRl_0_pNbtfbQ, VNkOb-QDVUvhy0T-Qseahg, 9cCTmiJ7hz35rHIdr8n9kA, s9ER6G2gtuDuCPNPNPTg5Q, lT5B7K8p57jQ9KlkwMkPmw, l94kaWuv4KdwbMPCJxY98g, hUl_cssznLC65lQKX71I0g, COt8DAiXb_uLfsM8NXOEKA, Zi-y2Mud068WiUYLOktKYg, 7Z9FzCcvJmEupHalF2O78Q, hvs01OPmoiudrfkQYTRJCQ, EXlSJwV16gwSSO97UA_WEw",959,21,user,9,575,31,666,131,"2007, 2008, 2009, 2014, 2015, 2016",8,3.82,24,74,Amy,4,8,4ASVc-idKESyU9w-atsueg,0,0,0,0,0,0,0,0,1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,3/3/12,tip,dapbOj1WwSchUr-7V63IBg,0,10,16:00,"2124 Penn AveStrip DistrictPittsburgh, PA 15222",10:00,Pittsburgh,TRUE,40.4520089,-79.982244,PA,The Loom Exquisite Textiles,Strip District,4.5,Shopping
PkPcDldiSr5w5vKS5PsMeA,0,4bUvfaZOOSRAfPCf8Ncy6g,5,review,8hmoGqoZkycTHkp19XRjEw,0,1/12/16,0,,,,0,2010-03,,1,,user,,15,0,0,,,,4.92,,,Plantation Park At Ballantyne,,,8hmoGqoZkycTHkp19XRjEw,0,0,1,8,25,77,47,51,41,45,14,11,17,14,8,10,17,15,3,1,0,1,0,0,57,66,45,47,57,59,75,11/22/11,tip,rU3H0byqB2Xtsr8qUhOaXg,0,13,,"14825 Ballantyne Village WayBallantyneCharlotte, NC 28277",,Charlotte,TRUE,35.0543459,-80.8523594,NC,Ballantyne Village,Ballantyne,3,Shopping
pzNxfKy3ztWSYHNCdkn3ig,0,y3FTaotN0O-V41cBiZXnFA,5,review,gv8H080nC_9wtUf9QN9-Vg,0,11/8/13,0,76,52,22,245,2012-12,"V1cmOwyLTjavgNRZVH1BhA, FrWjMeKhM_ip5ZTZLGWo5Q, dS02pxg9FMgcJoQEohsMCA, bmXuGmfu9LahwRMLjs5OXA, GFbcceXZn6CjcEJfiqgHqA, gNCf30Aow5gAW7iSBcV7GA, 0UXqgj_ISqmUI6r6b5_Rgw, 8EDeULsp6g55uX5As0YGhg, HunoQHxUJ--OKlyo1-cY4Q, cpj0Lekdw4GxZZIOm80TBg, CBxEbUB-AXWND3n5O57AHg, gdD47sbuixj69H9zEGsWOg, k10hFpAJJk4gGxEqPbhg8g, cTQbc1Irmp4nCiBbZ8geCA, L_JNz8e5obiUTLL_th6DtA, PVM-GwKOGwvjEJOz5OmiKg, F4_AsA1JeFJqSD-o1GiQkA, gUK0FL7P_kccijzCD3IDdQ, 5IxsatqGUfMzRh1gu1Ye3g, on8ExhRskWW3zbSnfpCxvw, j7K7pJxN-JPrhKAusAm7GQ, tB_szonqPgNZzo4P8zORuw, R3T5_6ywXGrljkR_VPzH6g, l1bBsKjKJemf7CwPMXod8g, eBMrdXbtjl_uNWMa1iphcQ, kK5VWC-oHO4idNsyF-bzvw, lMmAo4C_W73uON2nd6QjpA, yrRvVqjJlPmTuQsZ7hNV8g, je5fuwK-izY3w_p_E6EYCw, fqASritOWXsXbm-Um4R6PQ, 0Q2QhRuyD_oGodCj__wcvQ, A9_jYyMMn7mbqq0JlyWhdg, bAgO9_hnkDjlFAkUhCSwMQ, SkaGtrBYkqnu6mgVWwPvvw, 4LKM29aUmkqBmiucJecCSg, e3RgGXBrk9BZ4utixycubA, jZv_gqd4bh_fyxqq8-ELTA, zC39vjBhod1eJZrv910AjA, i9WHY3TF6PQHNelXnRSR9Q, dH95zF-GIgR4IzAMKMH0Iw, 3MefpVDMrX156wOTBGAygg, qEBPlzsnXLKP3tPj8PqZOA, 9odAkdENOQkdciZoAIYX-A, Y-oKIbShXFApBp3zyZv96Q, 0daABa3KokAu1DWbrzBWaQ, GKg1qLwah6FpLt_s5HAt1w, k4E-5_jhjRB43Sm__QUgTQ, QAZWaZfxnX2x1mJAkFMBug, blTyV99vbzi4P7_ag_QLNQ, YBsai7n9c4N5y52FEEJfhw, oQQDVlzd63vjGO9KP7kXkQ, penlCzqC2xlp40FS2eM-bg, trS_CnVmcYoQmCBguhv1Gg, qM6U000Hphk7MWvqbKps9g, aEtjF8__fXI268NXqQi9FQ, Q3Ze-CBKufIz6opd6BrM2w, oBePLdzpAGDq6Djq2eAAZA, 17vuZoF1wMUOT4tmOLeg5A, Ew2g_SMr95OQixbJX8zbNQ, 0NdJqwJDb9IXdCOGVgpIDA, Wv9rUasNnS437pu52iQwoQ, XwHjMBTt842wK_pXiQervA, uwLL3mXx0K35H7iEC5Ax6w, dsJCEbkYT0EvqOYDbHIxxw, _6FcDCW5bY2YeA5gqZIb6w, M-jjgDkskjxK68Q1PBmPlA, Q5qn0BUEsAHoidP6wUzuSw, -39hY9bFqSU0-52trDmgnw, k0lZh-1Rg1LNtrGijyt1Ng, 9-I0HotiH6yBvOoNuluqqQ, ciskonabqvwDzcCRdxJ6rw, XfuNWL1KrhPFhVcsvrcpmA, Vi6yC7XiZDADYG73Z0MJAQ, z0lWl9qLCqQKaH_c0OsMdw, XXwh_-FwXXCdroxAVLD1lA, bBCzq4Hjgkt6usGUuerRfw, z5enEKkawFlc33c4_8o_oA, isdy497M0zS6MYvEw2TTDw, X5ZszHo37GNK_EBCbhIReg, 7j_oDoQx6yyJrpskJUC01g, l4goAcoH2EYERTCPi8Wy5Q, hw4fcIeB6eKnFjBgNoniYg, Ve-MSev6fsf9_rCP57gvRw, s8ywRW9y_OZnAO8y9TrOAw, AFe8uHvKuD6KcAoLaoxsew, dL9rnmiAKmnr9aIurXfVxQ, -m5m0sPG1bkYXUZMzp9ndg, aLOBw9sFjRLoXuAo13u3oQ, mgfI3YAqXNZ7MnbExhqaqw, 3utmyE9HW49ttk9jJg1l3g, 6C0NuWG63jMmaUGtGMvJtQ, kWZd-Gn_UR1jQRHaW_jR1Q, 4NcqSY3HYBxzcidLVvs2AQ, hNCCYb_mKtIw0Dhe3RHp9A, yziNMfS9-5JBy0XhAkYQrA, 4uzN25HwXzu6N_EA4z1SAw, miTyXTurMyX7D3J0O5E6aQ, dvOhhch3z8-QF0KaZLHbTw, _m-dNH1PPabZD8d-tgnMlA, 1sOaxYqoyIqkfNn7yU3FPw, tS7b_GVj84JZyp8sHlf4rg, jBrbRMJW9xb7oBEBNV3C2w",915,,user,22,478,20,407,57,"2013, 2014, 2015, 2016",1,3.83,44,11,Ann,1,1,gv8H080nC_9wtUf9QN9-Vg,0,0,0,0,0,0,0,0,6,10,3,0,2,4,1,1,2,0,0,0,0,0,0,0,1,3,3,7,3,11,1,11/8/13,tip,y3FTaotN0O-V41cBiZXnFA,0,4,,"760, Rue Sainte-Catherine OuestVille-MarieMontra9al, QC H3B 1B9",,Montra9al,TRUE,45.5021341,-73.5707362,QC,Kiehls,Ville-Marie,4,Shopping
-0QOwyyAsmdR3J1GumSSNw,1,dSbAkiuDDWAqFkmYwxA8Kw,1,review,FUmCPENKRkI4VXgX3eUpkQ,0,4/20/16,1,,,,1,2014-04,,1,,user,,2,0,0,,,,1,,,Courtney,,,FUmCPENKRkI4VXgX3eUpkQ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1/15/16,tip,EEJGsrHcLYrldXQ7RnYr9w,0,3,20:00,"7510 S Priest DrSuite 101Tempe, AZ 85283",10:00,Tempe,TRUE,33.3501265,-111.9637566,AZ,T-Mobile, ,3.5,Shopping
ZgiyTvfbavi2creOEEP4CQ,0,AKvEiRlf-6vJnM0uZ1nq3A,4,review,XBpU5IKlc-3nH-4I0W_X8w,0,5/13/13,0,40,33,31,228,2011-04,"-_1ctLaz3jhPYc12hKXsEQ, EmpkDgejncKoP9N3HjGptw, C3j3opcesIOdPoy7qzGgVQ, CAxfOP8lrKOggZSkCaXH6w, Q5Aw8LFYRYrCZJXEzurIfQ, VhI6xyylcAxi0wOy2HOX3w, AbOZkgeX4GitOm83lvu0og, QlOc_cKy_7Fs-Pg0vi9NAg, s9I4KMcrHKki44g_eTrYqQ, gExkcQH-gW8UUV34VTnK_Q, 8Vx5ed2jLWWrg9j_qHQmBQ, -MDKvmuiRTC65LYP7Tdy4w, CvMVd31cnTfzMUsHDXm4zQ, 6n1Gb-yHpw4ke0oSAFOOnQ, vTwbUPxGyV3Z54xrSur1JA, 6IHcb7PC6qiYR9qEsBieVQ, lpZtfD-vCqUER1yGKEvUPw, daOPsL58Yz0DaBtuGtod-w, 4G68oLRY3aHE5XUt_MUUcA, SX5b6l8Isbi7VbjK-eilIQ, Dq4EyXBVZs3qtXCJG7OXFg, Ur3SKLvqeaZwhUMYQGiHgA, GLJazgesK2b_mRYQaEc8rA, 4P1AfdABykulRK6C-ww4sw, cZjX4HsWB8mTLHI4uhbB-g, M-TwsqjrGVH9-qyw2KcvdQ, i3UsW2O4uqe61em4CuAxoA, S_QqwZDRJv_n---EAKgXSA, FHofjlnlxqdvSSkQ6UkNZw, tuzZ1QAU0P75BOI4iwoLgw, JXCthhuy_Rtqix8L-YbZww, 4uQhTXpC7i3NN2sZ1f4iWw, gRKiX_9JUqi4Jy8KjtsehA, ovzXqT-2ZBaKX282t8WrIg, kz-iFsos8iXu4w3Nq9oCRA, 3GteArKIVRlJZjjRqqwgaQ, ts7EG6Zv2zdMDg29nyqGfA, BtFCrKVsRn50fXJCuYcPwg, duryCUDOaoPzQQeQS7r7Cg, SC9GM-QpmR8x1Ga3reIb_w, vE4TIv-AEsFalZ4faTRH-g, dQ3fXZETKfst-aJ2zBdtOw, hYpCpleBxL5h4jz3HeNqGw, YWYUDj-_4MT11Rt2XJWwVg, ILv8_MJFGd1TH0vFg4N07w, tznfBl4TGmv8RNJ_n4lHSA, 44RR-h4gBIMs0584B_XVOQ, pasMPMQrqu7bqjx3ok_jeA, 2kJIyFyhsvYL3V75hFkF7g, kdvJwSmAyl_vD0mwwxyY8A, HZtUdfqNNi3Klqadu7247w, FpKagFDv9HLQEqmnNAshlQ, PM2jXrlVzik1jDwwahLJJQ, 8uOmnlKFYIPkNCn1v8-DVg, brErQvsmemP1CaLMt33gnw, yR04yrpjBf1BH5mTnG54ZQ, GrA3BLjRjAKvFYwSqN_4cg, _d7JPhUHOhEYXwBVvifpHQ, g0ksqciWUmiyJcJRiR4Thw, v2bkiiHE_hJbKcyvlCk0_Q, nhKK17v7DJXU9K4mkbOZyw, J6cGDVxCFhkTNAEuwsZQuw, tha1bsWQNbDTnHYMk48vGA, 2hvLvzUEiAf6rcDMmhcelw, M_fxV_d1i6Uu9FlmFf9BcA, RnqZyKKHsjRbOWc1vrmiCg, W6LTsXcY1R76M9EdeN0G6A, WRDlet600eYd79QF0TAiyA, pnDIFiXeU9tm3KtIISe64Q, xxNNSpo9HMfHEEaT215fuQ, 1dPfJA5nxKECvIiHq5dccg, VFOwxpOWH9RZ3iMelkRd7A, dj9n9G7NVLaho6vMvlvL8g, oAueXm0NC0n8IL6DiBmNpA, d09hbrAEAuz4vlgBaWh1cw, hQi0zKEmzursEaEUzWmWrw, rBGErImgWSUAh_qeJSPpeA, wPtUeTpYo4MVG3qtue5Y2g, Hg4GF6sHT_9tuHIvrfpkpw, TTzIM9O4Z3Bw2O9AMsl-fw, 6PO3R6ZUw8r6WfRnzlexnA, mi1YHDvHj1bUvyEvbauC4Q, Q5T4BqZwd-pkrwpNfYJuzA, 5_fr05Vms6EWS8drZXEGKg, 3jJGMr9PqAbW3wkzS0GY5A, Fcwn7YguShmVL0gZz7wMPQ, DLJNUJJ1tZeU5uMuuutwaw, CZ8zQ6fc0S5JYftsjLk3Tw, BLN4rmTUXBkJHdHYMUDzcg, 1p2ON5PQCNd96MNRhTCzxA, hunkyzrku6pUbWqizRAnKw, Bb7h23acqcDHryW_Z-dNTw, 1K50PvXa6l5PBXZXhzkB-g, B1kUxAfIAUDpn6ABRcsqKg, DugfW-v-hmL6gxWhcbn1Zw, Q9xJQu-9oCFZozVBjZDETw, GkM9zfqMqUyG3PFXJpD9Aw, 56_H2zt_Y6PbmKtoWuFOWg, LuoNH0Vb2--I8nJempnXeg, UQ7HSUx_Zxje1MSAeZ8eAw, _RVbXMvp9zf0pO81_5KSyg, t93vtYMXI3u9EfZYXzd5PA, QNBH_vCAirfXXlUf1MEKZg, sXULK2ESJKrtoSExmslPkg, 8ljnkMC8ImLpx2E7CAgSDA, XLAS105vjnC2AEPaDug00g, OU3WxvTm0g0UEQZKCxIv_A, t2yjFoS8T_3V1g84XwZcww, uc4QurS1XrvyiIpne2IbhA, VE6dwgaAcQEyhlHVz6Iktw, veFS2V2r-Ay4C107hJW3dQ, GZA7-8T_uXLFoiMTEcsWhw, AJVEGlUPFWJSkR6KKsdePg, IcCPybXtpcVipTzs2fylqw, 5Pf3O2u4Rb1jM3keWtMbIQ, _kBBAuX1LJ2EXBUjHOZbqg, jZbGZTV97P9texlscOMeYQ, JLxAeGv8JCxYOlAxkDYGsQ, 8zDOp-XhH7cx3sVhstdGgA, dd07luHyUAnl1f7xCKvA5Q, vcDlP5_gIfURZhC2BC199A",446,,user,,220,7,220,35,"2013, 2014, 2015, 2016",,3.74,18,43,Michelle,,6,XBpU5IKlc-3nH-4I0W_X8w,0,0,0,0,0,0,2,0,0,0,2,2,2,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,3,3,2,8/3/13,tip,AKvEiRlf-6vJnM0uZ1nq3A,0,3,,"8152 S Tryon StUnit FSteele CreekCharlotte, NC 28273",,Charlotte,TRUE,35.143982,-80.932284,NC,Sally Beauty Supply,Steele Creek,2.5,Shopping
nc9zIyZF3Dc02ZYoZQcrxg,0,OMMNiEKsX_m5SLzYrnSq0g,1,review,65tGoFrWt_4YL7G3qJ7oqw,0,12/23/15,0,,,,1,2012-12,,0,,user,,1,0,1,,,,1,,,Fei,,,65tGoFrWt_4YL7G3qJ7oqw,0,0,0,0,0,0,0,3,4,4,4,7,3,4,5,1,6,4,1,3,4,5,4,1,9,8,2,8,8,12,16,1/11/11,tip,uWBG1pgp-FXLTYjrYawbBA,0,9,,"3131 Las Vegas Blvd SLas Vegas, NV 89136",,Las Vegas,TRUE,36.175,-115.136389,NV,Wynn & Company Watches, ,4,Shopping
J26ZGTkj8DW259mGZmWNGA,1,UnQocuEAic0kgO8Xyci_fg,5,review,5v30pdhqQvDLoi3M1DumSQ,1,2/16/16,1,,,,6,2014-06,,8,,user,,16,0,6,,,,3.94,,,Jane,,,5v30pdhqQvDLoi3M1DumSQ,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,4/2/16,tip,qbxsypK3UIjUL22u4ohEwA,0,14,18:00,"2725 N 24th StSte 4Phoenix, AZ 85008",9:00,Phoenix,TRUE,33.478451,-112.029875,AZ,SJ Jewelry Supply, ,5,Shopping
