review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
yzbMKd4fo5sOaQzRUPD2rQ,0,5t5vehwJSWyY3OrwC6xlkQ,5,review,qSqDZUuvFUhpx6Z-dkkGWw,0,6/14/16,0,,,,3,2014-04,,5,,user,,8,0,0,,,,3.25,,,Denise,,,qSqDZUuvFUhpx6Z-dkkGWw,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,1,2,0,0,0,0,0,0,0,2,0,5,2,0,0,0,1/29/15,tip,CcDdPRT1Awn9yY72m65Cqw,0,7,,"16758 E Parkview AveFountain Hills, AZ 85268",,Fountain Hills,TRUE,33.60671621,-111.718504,AZ,Jiffy Lube, ,4.5,Vehicle
kiKUm_FEiw3xQyYNTaa_-g,0,pePCBEzkewJHIAsJuCjE1A,1,review,f5TY7yrMIN_-gr7XUUY_NA,2,7/2/16,3,,,,10,2013-12,"hajACxJGgQfGcrS7t8iw9A, lterJiijJ3t1Al3xAPs-MA",35,,user,,26,0,9,,,,1.79,,,Chris,,,f5TY7yrMIN_-gr7XUUY_NA,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,1,1,2,1,1/14/12,tip,5VA5319wGrh5ZFMtBWnKIg,0,22,20:00,"5690 Simmons RdSte A115North Las Vegas, NV 89031",7:30,North Las Vegas,TRUE,36.2630189,-115.1798403,NV,Just Brakes, ,3,Vehicle
ML0XE2WYK0rPPKo_YSbP9g,0,rMNUZ-pvQmas47q_LO0sWg,5,review,nyfG31Sh4MsSKS0mepwJHg,0,7/5/16,0,,,,0,2015-12,"ZNBZzjvG3R5NBwnpKogsng, wUL8jfd0JZufvUX8TAxXRg, 1o8zUPCcvGaVaNWSJBMD7w, 8T3loizgQSuQi2cl62dcIw, NkKyG-NMppmUucreekEVuQ, T3v1uwAYpP6D2Ia5FW1acg, OQYCtzpNGRcQWIB1YrBr0g, L6yeMxGOKEXcVEp0V_3x6Q, bJVDZ1MryDd0iqq3w_6MqQ, AHIsWS4btGtfOiHbkmxAFA, 39_AU_LoDMH7zGb17sfUBg, CU2EC-MlGxJr_rNQUA9xtw, M8NlbRes2wvNwqppRmsYKA, rwKwR6RTPC82ZCN0d_p34g, 1XMxG9jiEqoGy5QZB3_8EA",2,,user,,3,0,0,,,,5,,,Luke,,,nyfG31Sh4MsSKS0mepwJHg,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,0,1,0,3,0,2,0,0,0,1,4,3,1,2,3,0,4/4/12,tip,vDpNMIiwVIBmO8kbucC7oQ,0,8,,"1002 W University DrTempe, AZ 85281",,Tempe,TRUE,33.422258,-111.952586,AZ,OReilly Auto Parts, ,5,Vehicle
VoCPqkA2SeRgLxhxdMtelA,0,#NAME?,5,review,G26TNpeGylPc4x9HsRtOww,0,7/14/16,0,,,,1,2014-11,"A9HchBK2T8oOqiS3kKGuYA, n39zXEMBjSpdlChGde8DJg, ulRc7K8RF1MmXSRunHTS_g, 2CIYwSKoyfnIlcML5YMKLw, nw2L3LX7CeULooj-SsAPXg, YQFCUOUruwp7Pt6i9feQSg, q8w9M-DWf-TpQ4ONfO0LdQ, Cq1MGO8Vq5fwOhrfc3SAmQ",1,,user,,1,0,1,,,,5,,,Brianna Nicole,,,G26TNpeGylPc4x9HsRtOww,0,0,0,0,0,1,2,3,15,12,26,20,37,31,29,18,25,3,1,1,0,2,1,0,31,30,39,36,46,24,21,6/15/16,tip,zrV0bMAicFxJJN4kyu3F9Q,0,203,17:00,"1465 E Windmill LnSoutheastLas Vegas, NV 89123",8:00,Las Vegas,TRUE,36.04201192,-115.1321231,NV,Super Smog One,Southeast,5,Vehicle
xbjynQtRssv4vBnPQKUHqw,0,KIQcn-sENuwcMFvoZNuZRw,1,review,YvzfaFoQtVPxuu4UIzJ09w,0,7/19/16,0,,,,0,2016-07,,0,,user,,2,0,0,,,,3,,,K,,,YvzfaFoQtVPxuu4UIzJ09w,0,0,0,0,0,0,0,0,2,0,1,3,3,3,1,1,3,2,0,1,0,0,0,0,4,2,4,5,1,3,1,3/23/10,tip,jRl-mj5EwfthIwUzqofNUA,0,15,18:00,"828 S Boulder HwyHenderson, NV 89015",7:00,Henderson,FALSE,36.02666957,-114.9662744,NV,Big O Tires, ,3.5,Vehicle
Dxv95IwYoRQXH3y2e1ljwQ,0,VYBzkSGotBq5WqrCnnvofw,5,review,2CgNMh40rEEa2h8Dli49ew,0,7/13/16,0,,,,0,2011-06,"zKbNKYMSZAazVcCpnXwqIw, J_i8VFm8oZVp8SeAzxnsQw, 2OZz4WSv1jdibQVOOfqoXA, o_5Xg4ssVk1QRz1i_F9TaQ, IEoitPMs4luACo75cmyURw, TRxq0a85cTbgrOs606_8_w",0,,user,,1,0,0,,,,5,,,Tammy,,,2CgNMh40rEEa2h8Dli49ew,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,1,1,0,0,0,0,0,0,0,0,1,7,1,2,0,1/23/16,tip,u3yh3LMhhI15TYB_9jUdeQ,0,23,18:00,"1325 W Warner RdTempe, AZ 85284",8:00,Tempe,TRUE,33.3340419,-111.961525,AZ,Express Oil Change and Tire Engineers, ,5,Vehicle
qxNQXJbm0um8OBnatYbwlA,0,PM2jXrlVzik1jDwwahLJJQ,3,review,nuM0ehcZiUl7i636JEQSKg,0,5/20/13,0,83,56,43,332,2011-09,"AO7fRv6Wq-322AZXAWbgXw, WeX6UjZSTeMfFBQGDfu1jw, dS02pxg9FMgcJoQEohsMCA, iDs0mr1LAb7m3K2L-KcAAA, CEK-xEgxpR81XBLtl2R7-Q, qlYjP4O4BJXE9XaF9MqTYA, AbOZkgeX4GitOm83lvu0og, jp5lBxgdCpDRhSeEuRK_kA, wGWFzdgnSEe7C6UjoW8Q3g, QlOc_cKy_7Fs-Pg0vi9NAg, s9I4KMcrHKki44g_eTrYqQ, gExkcQH-gW8UUV34VTnK_Q, CvMVd31cnTfzMUsHDXm4zQ, ZcEstCa4fDhNXrkZ8_Gh0Q, 5hptLoN75O1O8_xEgQip9Q, o-Sir3Q4VWsoY01vjktu_Q, BpMMPIKV3M-rj0pqhU-P3g, R1xgU5qLdX43rY87jQcJQA, V_M3Z9dTB6ZdwxhO22VICA, kSV2NJ2jsj5qssaF6ANqew, bRIk0mT3GU51Zsrn2UpKIg, lGttdkKbAeguLNH7c66hQQ, uL7TIJ56Eb9Rx4nkt2ej_Q, jlIJs7Crywc1uJtp4pvOuQ, nWIB-R6PRJO4npwGH0_EhA, 4dkA654ss5dMR9wG_IrVYw, LfBmJlEEkrEUAgAE8NMFjA, C5YT9IID8c-x20EXsxHFXQ, _X0Xt2z5Q7GESxxRzvy4_g, Ur3SKLvqeaZwhUMYQGiHgA, Nxj59AMdvLWJ4Sh2C3ugZw, LsX1w51NpF_olbsyo0tnxg, X36p3mD4oqBE53sASc_Ykw, 9cCTmiJ7hz35rHIdr8n9kA, F4_AsA1JeFJqSD-o1GiQkA, j60JaPr8l-pproz4Q7BuMQ, J5vUb8D6hIiE4SVwCLuGQA, MmZXLmkESXB6-MRTarCyqw, lT5B7K8p57jQ9KlkwMkPmw, xbv-syUkhFMYVu3pFA1X9w, RDKH8Lj5Yyw1BGEba3N1Ng, yY1MgFvfDVDhotp3xWJLlQ, tuzZ1QAU0P75BOI4iwoLgw, PRb5M5piyGRv-ETaWCpm-w, J0h_oB2VEhMTlcqKmspjWQ, 3bRDbLG_n3h11WoeawjsTA, dvt0E9sR7WvoBpFsVFc-BQ, YwWQDYCKcC3tsZnO3qw9Iw, gRKiX_9JUqi4Jy8KjtsehA, EhnOJ2WSpsm2X3MOw4hezA, kz-iFsos8iXu4w3Nq9oCRA, 3GteArKIVRlJZjjRqqwgaQ, Uqr3GTH8tdxnRV2CDKlLEw, AKvEiRlf-6vJnM0uZ1nq3A, yfXlbTstW89HCawK6Jm5qA, ZEFqUMG4Az9TT-MXNlpJLw, 8C3NQR8GDyeMbZXIkhdTEw, vE4TIv-AEsFalZ4faTRH-g, crsyqWoKdmO9EFCwCH8QGA, gmokXe_gkbqYuI6G0IjLBg, dQ3fXZETKfst-aJ2zBdtOw, 3PSe5IQM5RQ2XXcYcqLSZQ, YQnO5GK_eNaEa7jNTgxqWw, e2j5nTQ2dnkB--pJakcUSA, pasMPMQrqu7bqjx3ok_jeA, hu0zfwwBr6LJoDsafWdL1w, FDG85sQMtHuI2a0ix9ZBcw, HZtUdfqNNi3Klqadu7247w, ylIgegaQaJOjL4_lH2EkFA, brErQvsmemP1CaLMt33gnw, B7lpxdIiULmWoqpAgzI31A, JYEWTor9qkCeZC7U0bHChg, H0COIFCW1Jgl52d02WffZw, lbvW7YXOjF79FnVrCbkOpA, _96O9eRDEG-A15ZD4OrYSw, pdmxXmzWrmlSL0GMU8a7hg, nhKK17v7DJXU9K4mkbOZyw, tha1bsWQNbDTnHYMk48vGA, do-fO-EruYVP_FQPMNWmZg, MWNSECOpcxO0UrZPqT8p5Q, DpyQQqI8yr7yWC2DNhdLXQ, RnqZyKKHsjRbOWc1vrmiCg, W6LTsXcY1R76M9EdeN0G6A, WRDlet600eYd79QF0TAiyA, pnDIFiXeU9tm3KtIISe64Q, xxNNSpo9HMfHEEaT215fuQ, 1dPfJA5nxKECvIiHq5dccg, QQacOXfgNDSwTvJyzB1iLA, VFOwxpOWH9RZ3iMelkRd7A, dj9n9G7NVLaho6vMvlvL8g, oAueXm0NC0n8IL6DiBmNpA, _7IOrjc6QejtqwRwRAzRDA, zCYXRdBM_MOJrDXcq1bcPQ, L7j5VaRUmuZ8MkVKj7fD3g, shR805w3snuV9AKhp7iH-g, KjP3nMoWe4VPS_V8UWJjWg, sP2J-2O14qyJAx-l6HOu2Q, VDAbMc0V5R_cFjvxynXmig, e-YJwAgsvUOBzy36gH0Hrg, TTzIM9O4Z3Bw2O9AMsl-fw, lf_74TWZV6P4YZCe-LgOSw, u3880x2sG5g3_nubcUiGUA, b_dTcR-GzNIbJ9Vf1OlOzw, 3jJGMr9PqAbW3wkzS0GY5A, GUt8x1WtNX0GfqAEjIh9xw, 8fpmJ_jsJhxklHB20zCGmQ, 6vn0yaA8h7D5xiGnCD0xVQ, HQj6ppV4oPOpAdbdgyutuA, CZ8zQ6fc0S5JYftsjLk3Tw, ygotwYWqiQ9e9HjJdboMEw, Ml08N42dffRKt2s0vN7xyg, kciO7KU4MqlGwJw4soDO4w, nSmgRZLcTk8Iw8T6uX9R3A, c-YCa4qpSM4kwOlZvUM1Gw, 1K50PvXa6l5PBXZXhzkB-g, FuEeQrrYT4dAE_jhAi8HVw, icf8Tr75xv-QOnI7wZX9Xw, 55Y3heRCOdXU7rbs0fxaIA, koSslLJP5TsYqtZU7lKhVw, z5K2Ez75qOXJlXJJT3-zcQ, DSbLY6v9HoIblN7kDnbVaQ, AwCq9mrf7Ou1uNkAS9WoMQ, NCBW41_UUrp3ofQJ6b1H5g, CrcUPYMpfGYkuAh9ljtYoQ, f0tz1rESimilPgkarZLjhg, RKsxPgfIj5KjtztV3O4sFg, K1Cx7r4KSF0DxBKFUm4Yeg, _RVbXMvp9zf0pO81_5KSyg, 3XarwIa8s3IvHq7v75J1AA, xHmwrnohQIR877pKuxY4kQ, pluf_aTM0XNqB0a3tm9k5Q, 4IcpBaUlMKJJDwpHuINu1w, G84F06awn3RqQx-NhxvTcA, aezHXN4Vw6n8JYtN9zI7NQ, mAtHz4OfKCcsB8XMDA1KyQ, sXULK2ESJKrtoSExmslPkg, WODkLjkQNaVDZ_NbxpvxGg, tqADiRI0XrQb9jRea5_QyA, 3Aqh6DTCHvVrRAZLmAqOcg, 8ljnkMC8ImLpx2E7CAgSDA, AG2YKqKOpNdP6RhkmtbyMQ, RRK6JsOgWoQD3gtXKt42XA, U587ohfK7ts_WSqonURFQg, EC2X5-sLpLZAXWvrCiMwDg, OU3WxvTm0g0UEQZKCxIv_A, fh5DvTFkKq2w4AQW6lC7Pw, t2yjFoS8T_3V1g84XwZcww, uc4QurS1XrvyiIpne2IbhA, x_NGh0nr8U2B_4HfyIOE1A, AJVEGlUPFWJSkR6KKsdePg, IyPdcM5a9RUIM0TmJcWw4g, eD24CwRgW0B7TtKuBixuEw, Dza5pF4P04BvXUFx4TXsmg, artAKqqX2Nxh4HViWvEw7g, xrPtS7uo5r_VJB5g3pDzTg, JLxAeGv8JCxYOlAxkDYGsQ, dd07luHyUAnl1f7xCKvA5Q, jXMSzREAtd3IYA4uFshT3A",1471,3,user,19,600,36,597,69,"2012, 2013, 2014, 2015, 2016",1,3.75,54,20,Candyce,,8,nuM0ehcZiUl7i636JEQSKg,2,0,0,0,2,0,1,2,3,0,2,3,5,5,6,4,4,0,3,2,3,2,0,1,13,4,8,1,10,8,6,2/20/13,tip,AKvEiRlf-6vJnM0uZ1nq3A,0,3,,"8010 S Tryon StSteele CreekCharlotte, NC 28273",,Charlotte,TRUE,35.14506912,-80.9287262,NC,7 Eleven,"Steele Creek, Starmount",2.5,Vehicle
X7pBgMpG86QS6MgD1WAInQ,0,uFtidprNd4Xvg5hJEG-z0A,5,review,pgTiW0uc6fSjClCtAUjSPw,0,6/28/16,0,,,,0,2014-08,,0,,user,,1,0,0,,,,5,,,Clifford,,,pgTiW0uc6fSjClCtAUjSPw,0,0,0,0,0,2,1,2,1,2,0,2,4,6,0,2,2,0,1,0,0,0,0,0,5,3,3,1,8,4,1,5/28/12,tip,pDFeXAJYCeDSJPU21KGVZg,0,26,19:00,"10720 Northlake Auto Plaze Blvd.Charlotte, NC 28269",9:00,Charlotte,TRUE,35.373655,-80.831909,NC,Hendrick BMW Northlake, ,4.5,Vehicle
-ksSU-71NMF0cOu7Nv7ldA,0,VcMv4DSC2QY8945qLE0Fmw,1,review,ZTessEkEN3pEC-w3tL-IQw,0,6/19/16,0,,,,0,2011-10,"9gzJ58GjD3B-j-6PAKiXwA, fHv7k5vWd6ryt8jH4J3teg, KK2MLBukCHc2wPqQ12K14A, gKCRzBYnXeLwyI97uVXMYQ",14,,user,,12,0,0,,,,1.85,,,Sheri,,,ZTessEkEN3pEC-w3tL-IQw,0,0,0,0,0,0,0,0,1,6,5,4,3,4,4,5,3,3,3,1,0,0,0,0,8,5,5,6,7,7,4,4/11/14,tip,Q6FaSZpCtVv7PXECwDL1bg,0,14,20:00,"4119 E. Thomas Rd.Phoenix, AZ 85018",7:00,Phoenix,TRUE,33.480081,-111.99297,AZ,Quick N Clean, ,2,Vehicle
Q_Vhq20uKKgMpTbTQ6LUyg,0,sNWF9t9pqOVyS1IXREfJzQ,1,review,Qc5ibDhQNleXt1l7YAyjDg,0,10/3/15,0,,,,4,2014-04,"qOzfxpEEjNHOuiNHkID5pw, lVO1UqiwHIZRPGkTFBG1ZQ",16,,user,,22,0,2,,,,3.12,,,Brandon,,,Qc5ibDhQNleXt1l7YAyjDg,0,0,0,0,0,0,1,0,1,0,3,0,2,0,2,2,0,0,0,0,0,0,0,0,0,4,1,4,1,1,0,10/3/15,tip,sNWF9t9pqOVyS1IXREfJzQ,0,3,,"16725 E Shea BlvdFountain Hills, AZ 85268",,Fountain Hills,TRUE,33.5762034,-111.7223812,AZ,OReilly Auto Parts, ,2,Vehicle
