review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
r5MIhH3EBmC0GaS7ehLsmw,0,R8wRa82T_dSNiS3UKu-pgg,1,review,rQruj9he537QGhhaZT_aBw,0,11/12/15,0,,,,2,2014-08,,20,,user,,22,0,13,,,,3.27,,,Jay,,,rQruj9he537QGhhaZT_aBw,1,0,0,1,1,1,0,0,1,0,1,4,4,3,0,1,0,0,0,0,0,0,0,0,3,1,1,2,8,3,0,4/11/14,tip,IPZ_P6REL45g2QWQvhO7dw,0,15,23:30,Ludwig-Erhard-Allee 876131 Karlsruhe,17:30,Karlsruhe,TRUE,49.00449762,8.417521239,BW,Akoya Grill & Sushi, ,3.5,Food
3Oy6DoAc8G2PQdRqLf77gQ,0,qQfOCtM07JgUw__0h3XZVw,2,review,tpR2U16lkQJI5TK4AOZH7w,1,11/8/15,0,,,,0,2015-07,,6,,user,,32,1,2,,,,3.51,,,Maya,,,tpR2U16lkQJI5TK4AOZH7w,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,5/31/14,tip,-5l6fNap9FoxT7Dhd9UF2g,0,24,3:00,Waldstr. 6176133 Karlsruhe,9:00,Karlsruhe,TRUE,49.0088115,8.395907,BW,Ludwigs, ,3,Food
t5Pdlc8RHEIWNQSYsfGxng,0,iSLCl5SJEGZtD6HuDlRE6Q,3,review,lNforL0COH6J5hnF08l_1w,0,2/23/14,0,,,,5,2013-11,,20,,user,,29,0,4,,,,3.15,,,Thomas,,,lNforL0COH6J5hnF08l_1w,0,0,0,0,2,1,1,1,3,2,18,17,2,6,0,0,1,0,0,0,0,0,0,0,2,8,7,10,9,11,7,9/23/12,tip,OIm6nl5KNs4xFphtpg-ooA,0,66,,Brauerstr. 4076135 Karlsruhe,,Karlsruhe,TRUE,49.00040738,8.385782001,BW,Filmpalast am ZKM, ,3.5,Entertainment
o-jbiJoleNWmp1XNT79lCg,0,iXJ_toq4m3dztrzfnKl--w,4,review,gY-_DMsOpYzSGxHp8Pqigg,0,8/31/15,0,,,,6,2011-02,,9,,user,,29,1,4,,,,3.59,,,T,,,gY-_DMsOpYzSGxHp8Pqigg,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,9/23/14,tip,7SUGqPUrodGOcTBN3XqulQ,0,26,19:00,Kaiserallee 51 A76133 Karlsruhe,8:00,Karlsruhe,TRUE,49.01059,8.37741,BW,Mary Poppins, ,3.5,Food
GuQ1_hkEmOxgCLc8B0ZtwQ,0,SSxwt63nstnCrnyLioQcHA,5,review,kOfQyegQ7As4JPCpuQSZuQ,0,5/20/16,0,,,,6,2015-02,,10,,user,,48,0,3,,,,3.98,,,Hansi,,,kOfQyegQ7As4JPCpuQSZuQ,0,0,0,0,0,0,0,0,2,4,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,3,2,2,4,1,4,2/6/11,tip,c5baNLWzuQG1rm1wigyFuQ,0,76,0:00,Welfenstr. 1876137 Karlsruhe,17:30,Karlsruhe,TRUE,48.9961953,8.3915446,BW,Sokrates, ,4.5,Food
8DycmvTwhQnBKSQF4lbkMg,0,4hZKIBa2td-g0-mxtbYAuA,5,review,DEHWrvG-2mpR0zB_HQY1pg,0,1/7/16,0,,,,0,2016-01,,6,,user,,8,0,0,,,,3.38,,,Adriano,,,DEHWrvG-2mpR0zB_HQY1pg,0,1,1,0,0,0,0,1,0,0,6,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,7,3,1/4/14,tip,IPZ_P6REL45g2QWQvhO7dw,0,19,0:00,Ludwig-Erhard-Allee 676131 Karlsruhe,11:00,Karlsruhe,TRUE,49.00484371,8.415722258,BW,Tialini, ,3.5,Food
Q92zXcZ1-tpzZAZ7f8CboA,0,7FpY4oAFsgQwwLWePcdjSQ,2,review,9rz7hggrbeIOg1FcQa_uwQ,0,3/16/15,0,,1,,11,2013-10,,55,,user,,314,2,10,,,,3.89,1,,Frank,,,9rz7hggrbeIOg1FcQa_uwQ,0,0,0,0,0,0,1,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,2,4/3/16,tip,GysyxINVXkSBXZGizXwfog,0,75,23:30,An der Raumfabrik 33c76227 Karlsruhe,11:30,Karlsruhe,TRUE,48.9974,8.46465,BW,Borsalino, ,3.5,Food
KkgWkrWm_rfNnbuW_qKh2A,0,r71fki8YztrJnDN2WGsPZg,4,review,JFxYTyGxtmxZSCQAfkcD1Q,1,3/29/16,0,,,,16,2015-07,,265,,user,,415,2,21,,,,4.09,,,Daniela,,,JFxYTyGxtmxZSCQAfkcD1Q,6,13,11,11,5,18,12,17,12,10,13,6,5,3,42,17,0,1,0,1,3,2,6,13,38,24,21,31,40,32,41,4/14/13,tip,IfcVfxPri5rGDG7r_uPi_A,0,25,,Bahnhofplatz 1a76137 Karlsruhe,,Karlsruhe,TRUE,48.99427049,8.400471064,BW,Hauptbahnhof Karlsruhe, ,3.5,Hotels & Travel
fzKPoU4Muy5_VxMOGGhgSQ,0,9GSDTuwOWFtigpzp8Nm4cA,5,review,8FgK0h0Kh0BpxhaqDsjaZA,0,2/12/16,0,,,,0,2015-10,,0,,user,,2,0,0,,,,5,,,Shandl,,,8FgK0h0Kh0BpxhaqDsjaZA,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,9/1/13,tip,bRaW8UEVjamzcGYdBzz4dQ,0,34,0:00,Eckener Str.  176185 Karlsruhe,14:00,Karlsruhe,TRUE,49.005,8.35002,BW,Rim Wang, ,3.5,Food
k8v112o34eA-VEm-So-Uzg,0,T3FJ5f30D5x9DosszIgIYA,3,review,GeQ03iVyEc653Z9U8doO7A,0,12/17/14,0,,,1,1,2013-10,ihUHxlE5erKlMaxl52fTDw,1,,user,,4,1,0,,,,4,,,C,,,GeQ03iVyEc653Z9U8doO7A,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4/24/14,tip,21Wp3OxKVBvlvxq5UPws2w,0,17,20:00,Waldstr. 376133 Karlsruhe,9:00,Karlsruhe,TRUE,49.0111,8.39969,BW,Rih, ,3.5,Food
