review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
UeCyQTxggG4-8Ns3FXUeUw,0,DfBzkvrDOMyrafXxnX23Yw,5,review,NqV89VQBV9kvUaA7a8F-tg,0,7/15/16,1,,,,0,2016-06,"28CQto_IJoJexoF1Is1tgg, CUd4fDx9v1HnsRzeYWM98A",13,,user,,23,0,2,,,,3.91,,,Lindsay,,,NqV89VQBV9kvUaA7a8F-tg,31,16,3,1,0,4,24,41,54,34,39,24,21,10,7,5,16,8,9,9,12,11,11,18,5,1,1,45,76,142,138,4/6/14,tip,GMitYcbMNwZte27z-Vd4zg,0,223,6:00,"301 W Johnson StCapitolMadison, WI 53703",7:00,Madison,TRUE,43.07451699,-89.3899215,WI,Short Stack Eatery,Capitol,4,Food
MailDhLoVZwloPoq_UwFqg,0,zngSoqXWFGgGnrLCEAYPAw,5,review,vogZZuDmuVZmKssoZ11Kyw,0,7/18/16,1,,,1,6,2015-05,"J3W4N0ALmFWukdtCoqLDuw, LkmcnJNBfnvaZk6MoE_k5w, jTbRKszx709Eyi9JeO2smQ, _tAgiLOtzV7GxBjiMnvIeA",41,,user,,15,0,18,,,,4.33,1,,Todd,,,vogZZuDmuVZmKssoZ11Kyw,0,0,0,0,0,0,0,0,1,25,60,42,20,11,11,18,25,36,19,3,0,1,2,0,29,47,43,40,63,50,2,12/23/11,tip,GgRZhdnQqOwiBNnYffW9yQ,0,248,21:00,"2105 Sherman AveMadison, WI 53704",11:00,Madison,TRUE,43.10167223,-89.36459541,WI,Banzo, ,4.5,Food
pXP3xnhG_vEGW4snbVvUiQ,0,5dwUVeBoaFYmKoullS-QJw,5,review,C70R_7VBmd4WHCZp1B9i1A,0,7/9/16,0,,,,0,2015-06,,4,,user,,22,0,1,,,,4.33,,,Angela,,,C70R_7VBmd4WHCZp1B9i1A,0,0,0,0,0,0,0,0,0,12,26,21,15,10,16,14,23,28,16,5,3,0,0,0,15,26,22,25,25,47,29,2/15/14,tip,LbWUY7vF56uHMYSbLPUKqg,0,112,23:00,"910 Regent StSouth CampusMadison, WI 53715",11:00,Madison,TRUE,43.0676801,-89.4015806,WI,OSS Madison,South Campus,4.5,Bars
wVGo6S5JIfjeQO1LgVuC-Q,0,NpukrUJlQj6mVKEaVb8pOg,3,review,V5Jq0oT5DitHzmOIQO65yw,0,2/4/09,0,,1,,16,2009-01,,108,,user,,68,2,20,,,,3.65,,1,Scott,,,V5Jq0oT5DitHzmOIQO65yw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,3,0,0,4/25/14,tip,160obinCFJkK32rhCZ1uig,0,4,,"The Red Zone1206 Regent StSouth CampusMadison, WI 53715",,Madison,TRUE,43.067741,-89.4061325,WI,The Annex,South Campus,3,Entertainment
llKKZzwYaKExIgq1IOHhFw,0,JqBXkf47m6qWILP5_-B5jg,1,review,EKctZ5U8z0UwaoYGxiIecQ,0,3/19/16,0,,,,2,2014-05,,7,,user,,12,0,2,,,,4,,,Brian,,,EKctZ5U8z0UwaoYGxiIecQ,0,0,0,0,0,0,0,0,1,3,6,3,3,4,4,5,6,2,1,0,0,0,0,0,6,7,4,6,6,1,8,10/5/12,tip,oSA746-4MCJpWorJkzxqpQ,0,18,21:00,"6741 Odana RdMadison, WI 53719",9:00,Madison,TRUE,43.0566016,-89.4988899,WI,Jo-Ann Fabric and Craft Stores, ,2,Entertainment
b-BTGxKIaxwotHwQWK1ujA,0,e8JFewR-omgcbOpFQjByHg,5,review,4TOVkJj25k-Sm0CTRcvkaw,0,8/23/15,0,5,6,4,214,2008-03,"EQqzESi6Cwyb8f1KIt5SIw, WRVrxPlDOCFsKmzhjdGqxg, UTGqubcmDv1cNe5-k8-OeA, OJ_jNBVcPWblkHRMtG2nRA, trhLX2fxdqjuv_hCVm4N0A, gmImSCRhliREDM-lVUa_Tg, SfiNyNLmW7alXejl-m_iYw",374,,user,,273,4,211,3,"2010, 2011, 2012, 2016",1,4.22,8,2,Steph,,5,4TOVkJj25k-Sm0CTRcvkaw,0,0,0,0,1,1,2,7,7,8,7,8,11,16,7,8,4,9,7,6,4,1,0,0,13,15,14,10,17,22,23,10/10/15,tip,pZFevlLpo6tIApBAlZs6Ow,0,57,23:00,"544 State StCapitolMadison, WI 53703",7:00,Madison,FALSE,43.075134,-89.394564,WI,Steep & Brew,Capitol,4,Food
Vq4A4xJeEYfx05WeNhYK_w,0,s7scYKeu2PljSdFzAFRaHg,4,review,OnsHdtmGsi7C7uzQWVzDkA,1,4/3/16,2,6,6,8,15,2012-03,"k71n8bELfnhMeC63xhUxzw, RDiyOYQQJSI6JKxGVYKRuA, HiZy2sJ6j3l763SUokNrZA, TAOoRCZFOyySXWfOSaLQiQ, jlpbR7IurKHCnSrGxELVlg, vQlOsQE_cSxAn6cLpjMExg, 5lq4LkrviYgQ4LJNsBYHcA, RvweNJFVkR3ttkWsIBy7nQ, 1MHS9pS6p4-k4yA9B4H2Ng, yhiI9vgYduyDPyp-mmW8xQ, d38oUQOpqJ1g_yfjb7To3g, OXkYLAP-2TcD9it2MV4bQw, wccnlmUQ00OVsqmS1tV8Fg, 9fTTesCwn9EO-d82ODJAnw, LkmcnJNBfnvaZk6MoE_k5w, CvMVd31cnTfzMUsHDXm4zQ, draNjfksZ0DR8PLxmDMarQ, USMvkyKUVCnJGtyMPHmfrA, SC_bFYaDgDub7tDjKCvV_g, SUiDl5RRnIYyOM4a9Z62vA, lC0KGXmIhyjzghBUlVnkhQ, Ffa864LL90s6oxImKPI7pw, zkCFutOvKFxxduatWQI7Rg, jDzE0yzvFLoTX31hZjV5kQ, 2SUNu7a1KSLGkytOctkzJA, Q1fpW3qiL3oOe3b0si-0nA, IU9ArEUIijrMqNEgVKZDuw, 5BajLT3XwGW4OrIGSQJT2g, xBFspiZeOn9D0-d16jCo_A, uILpE4ihC09BBdNf7LgDHw, fFmLNPsvu-mT0ewk-sG37w, sWBFYLnp2V37QRSpnZZSPw, SEJWhA6MRIavK4b3pGxwTg, mLIMfJRCThNX5o_mAofYYw, Azs2WnrEAVqTikVB2D3WmA, tZ239Rpww8J3RQxSYNPHsA, 6s16jAF-b9OrPiQWPZaa5A, iKBS0S0l_PZ_iEaKw8W9bA, Q-dOxBJ7Bui_ytR4uE1baQ, sOZK11vtg6BowI6ulQu1Ag, 6S33681h-WSvWRI7gAJSMw, MYBIhThV668FvvIgs12I7A, A7QZPlnSKDiqRJAWorn6aQ, rNtnIqaU6k9y537fjEqwzg, J3i55rQ9jQlMipuG0At30g, icf8Tr75xv-QOnI7wZX9Xw, 03vp3tenQ0aQOr0AE5j8Uw, ME7BOK4LNk-hFmIUPkrwGw, eNYdsZRIWZ4Rpr0jWirMwA, T8b7wARakqSGC2TQhFMW-A, em6GWyKHpHBjRZg5G9o8dQ, ScuRm1vuEH6YkxSIdTYyFw, wE7kSbc96IIXpQxJgLrGMQ, SQB_PmLL-mm5SS36UV6uTw, TCH1u0vxfabweNeu72SyHQ",128,,user,2,170,3,43,,"2015, 2016",,4.55,1,,Anthony,,1,OnsHdtmGsi7C7uzQWVzDkA,0,0,0,0,6,6,20,16,14,11,19,12,10,12,6,8,12,7,0,1,0,0,0,0,14,23,25,24,29,27,18,8/23/12,tip,uCRyCDYxQflFw8Yov57qSg,0,35,21:00,"961 S Park StBay CreekMadison, WI 53715",6:00,Madison,TRUE,43.05680586,-89.3984472,WI,Barriques,Bay Creek,4,Food
vOCb2i2qndBtmehUjm2h9Q,0,sL_Yw8fpn2H66Ydq43l4cA,5,review,PqbghB7yoOaxRgHXxTWfAg,0,1/16/16,0,,,1,1,2015-05,,1,,user,,13,0,0,,,,4.38,,,Paul,,,PqbghB7yoOaxRgHXxTWfAg,0,0,0,0,0,0,0,0,3,2,5,4,7,4,4,3,6,0,2,0,0,1,0,0,5,4,3,4,4,10,11,8/12/13,tip,OtpHvQFGbZ4sONaQAXankg,1,25,19:30,"2328 S Park StBurr OaksMadison, WI 53713",9:30,Madison,TRUE,43.0409683,-89.3941188,WI,Yue-Wah Oriental Foods,Burr Oaks,4.5,Food
0i_zlHsIFJRAKk5B25D-FQ,0,4KD5plgn7Pj12ocrjUj6sg,5,review,G0KGmRv-31cq6ZnRSs7LYw,1,7/11/16,0,,,1,3,2014-09,,5,,user,,20,0,7,,,,4.37,,,Neel,,,G0KGmRv-31cq6ZnRSs7LYw,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,2,0,0,0,0,0,2,1,1,0,0,3,2,2/29/16,tip,eQSj2Pg6zlybas4UfipmrQ,0,7,,"745 North High Point RoadWexfordMadison, WI 53717",,Madison,TRUE,43.07611364,-89.51811387,WI,Rising Sons,Wexford,4.5,Food
Z0_6IS_V82fZNHkKReSJ7Q,1,SUiDl5RRnIYyOM4a9Z62vA,4,review,z6XSiEI3a0jjjLks1MWbIQ,1,8/6/15,0,5,5,4,29,2010-03,"TAOoRCZFOyySXWfOSaLQiQ, 1yNjafzgIe_SUUEPlZi4Fg, LkmcnJNBfnvaZk6MoE_k5w, lC0KGXmIhyjzghBUlVnkhQ, xBFspiZeOn9D0-d16jCo_A, tZ239Rpww8J3RQxSYNPHsA, s7scYKeu2PljSdFzAFRaHg, s_xdtkWMGEB2tB37iGIRdQ, T-rg4SJ0wlc6z1yQbB8nbA, 03vp3tenQ0aQOr0AE5j8Uw, cWRwSNOQJsuqBo9I7gHLFg, SQB_PmLL-mm5SS36UV6uTw, PmrvsmTrZ4WX7v3UMV5iuw",179,,user,,107,2,51,9,"2012, 2013, 2014, 2015, 2016",,3.7,11,,Nancy,,2,z6XSiEI3a0jjjLks1MWbIQ,0,0,1,0,0,1,0,0,2,0,1,0,1,1,2,7,9,14,17,9,6,6,3,4,4,9,16,12,18,24,1,1/28/12,tip,R005MrvgUEgCW_V4I-f3nw,0,24,14:30,"701 E Washington AveSte 105Williamson - MarquetteMadison, WI 53703",16:00,Madison,TRUE,43.0798171,-89.3762962,WI,The Brink Lounge,Williamson - Marquette,3.5,Bars
