review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
bXO9K7wEmaWSnLpLT0A3UA,1,6deaMWBaD4P3QjghDoWxrg,5,review,4ASVc-idKESyU9w-atsueg,1,10/19/13,2,120,69,71,445,2006-08,"i63u3SdbrLsP4FxiSKP0Zw, D33jeqP1Zj0hUo0rD6JkDw, sqwdm9ghAIchmqycKzFwAw, H43f_rD3czq0UqY-4zhWjA, 4tXhifun9tFifNH4CMU6SQ, eVV99D3EZvkuswIvIySKiw, sf1GZVpCiBU98Sun4OqRNQ, cC2_XT0orpvPyDSXLNFdXw, WOZCIjrPdifV_lK5attcKw, 6JXh-O4gFMm-ugGad6PvQQ, 77s2qg6JOqXy69stUku6ew, rY0T1Sx-kSeSHgnPbLOA1g, EMG8AMG58f_sH1YeLNcERQ, gZrhBF90vlBvBycEvN9OgA, pvWgd-x9qoOeB3gnssmxsQ, xpMHUEbvHet50XDg98fJOQ, IZXAVCOmNLZj9EMjJ6yBbw, EYGD022jcNecmj15IHNDrQ, 1T7sS2uH8MwodMiosz4wkg, 7a5eKqs_sUlRnBLBm7WUeA, p9y5qcFZ6YRRQ9PnFcVn-g, 4Qx1pV-Y6Odf2ldEVnOAZg, X2PZFXY6v94mxfmvc1TImg, skXdDFerYoUFp78jNyllpw, 4BzWMkuo9eJ1pCUkVXJz7A, bLrhHvaR2QiisJuCK2IOmQ, oPG5VgtbV0DaDqYjBIgyXw, C9tCsaYVHdMcQeACECXDCA, bKpxIIVBFY3keKfHJIdezQ, WeX6UjZSTeMfFBQGDfu1jw, rjsx6_pSqwl0zuiwa_tI2g, 3JtdBvnY6Wzp22gt5zFwDg, ye1H39TJanHAPpWodGGn8A, N8N3Wyju1ekp8G6M7mFAWg, Am0M-nmJZ9fIU-NBFCzSSQ, esh-S2ZDV9OLkuw8KUGLUA, yfQwWLYtqwHKiky1hiTBew, e3peKcLwkDopVvxhVEpw2w, gBID8jIwsQIE5W_Zr0Vhjg, SS8wnlnA9h3G4FLUixn7jw, dc5Ys-KjYkHyfWJAlU4LOA, CZk1kRUDqEFunRwr_B1HKw, PWXJpyVyAKtVehw4suOimg, JRdTRHchEWH_qba8Y8P6cQ, 0mytq1Z-2YjXw86M05MB-g, Bm2h9omJd0mAeaLZ7b-fUw, nWNNojXYkXRl_0_pNbtfbQ, VNkOb-QDVUvhy0T-Qseahg, 9cCTmiJ7hz35rHIdr8n9kA, s9ER6G2gtuDuCPNPNPTg5Q, lT5B7K8p57jQ9KlkwMkPmw, l94kaWuv4KdwbMPCJxY98g, hUl_cssznLC65lQKX71I0g, COt8DAiXb_uLfsM8NXOEKA, Zi-y2Mud068WiUYLOktKYg, 7Z9FzCcvJmEupHalF2O78Q, hvs01OPmoiudrfkQYTRJCQ, EXlSJwV16gwSSO97UA_WEw",959,21,user,9,575,31,666,131,"2007, 2008, 2009, 2014, 2015, 2016",8,3.82,24,74,Amy,4,8,4ASVc-idKESyU9w-atsueg,0,0,0,0,0,0,0,0,1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,3/3/12,tip,dapbOj1WwSchUr-7V63IBg,0,10,16:00,"2124 Penn AveStrip DistrictPittsburgh, PA 15222",10:00,Pittsburgh,TRUE,40.4520089,-79.982244,PA,The Loom Exquisite Textiles,Strip District,4.5,Shopping
jadKBKSglBeZbHFKE2cMqA,0,SlKJNLm1SQdgaaKtqD--1w,2,review,g-sizDI5AvXJ0W94VVyuqA,0,3/18/14,1,3,3,,10,2013-07,"LlYFud6bzQeBOdS9hYdZpw, fwsJGulnozT2U6FefsLiFw, 5h8l-jqqDS2Cc8pFy3vMOQ, 9OZH1Ecw-qUkCW5MS0NefA, 9cCTmiJ7hz35rHIdr8n9kA, UD7Y1CqfY6mDmRwIuCf6nA, nEYPahVwXGD2Pjvgkm7QqQ, J_q8jN623uew8ZzMChXBCA, sr_-ns7yn6dhQSjWL4ci3g, pKh4Pc96YbOg-6hBOOajAA, WQbQnNASZWPRDwnCXf8a4A, qbzoEU-SPiGrmO41giYrcQ, 3CxWftKJAqpsYRW0FqIWeg, wCJbSEmMeZ0mAnJRQEyfCQ, vwOtUGR2n_rVGArM-P52rA, 2rSeth60_CuWN3ZJ4k41lg, R4crU2OjJ7-qAymiHO2Ucw, devDyeOHlq1Ydflz81keTA, s_sAdwMW2aimtkrJyi0UCw, NORECCTiL4Cj17iMYZ1xHw, dQKfpDoxbAnWtsXEsNKQag, mONs05WBKG29PXxlhDRxJA, g23fX1wynH2Ar5VAfGrwLA, CffX1uPE6u0wl1zR77QwAQ, ZCXEtyDAbahHUDfleCy-Tw, vxnURgPJYWP9Ub2Wav8woA, OltbotTvVqaVHooXphbOrA",122,,user,,119,3,23,1,"2014, 2015",,3.57,4,1,MaryAlice,,2,g-sizDI5AvXJ0W94VVyuqA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,3,0,0,0,0,0,1,0,2,0,5,2,0,9/20/13,tip,XUkWFSL4A31aCKk8knN1Bg,0,30,22:00,"20 S 10th StSouth SidePittsburgh, PA 15203",16:30,Pittsburgh,FALSE,40.429924,-79.989257,PA,Bridge Ten Brasserie,South Side,4,Food
Yqj3NqgLCnAh7c3bQmjS6g,0,MZEkXM2O4yAmhCA0VoWG_A,5,review,Bfu68BHfVlz7959jkWBC6A,0,2/27/16,0,,,,4,2013-11,,1,,user,,4,0,0,,,,4,,,Shay,,,Bfu68BHfVlz7959jkWBC6A,0,0,0,0,0,0,1,5,29,69,17,5,3,5,9,4,0,0,0,0,0,0,0,0,26,27,31,31,25,1,6,3/20/12,tip,jaDTgMqh4DzoLJrMrW3JcA,0,21,,"501 Grant StDowntownPittsburgh, PA 15219",,Pittsburgh,TRUE,40.4399299,-79.997035,PA,Jimmy Johns,Downtown,4,Food
MT_yU8cntdFr9GN8SbdkEg,0,YU4gY45NUJ9Wi56YIvB5Yw,5,review,vpDKK0QHZIlxTHu-CNspzQ,0,9/11/15,0,,,,0,2013-02,,2,,user,,5,0,0,,,,4.4,,,Gary,,,vpDKK0QHZIlxTHu-CNspzQ,0,0,0,0,0,0,0,0,1,3,9,3,2,1,2,2,1,0,2,0,0,0,0,0,1,0,3,5,2,11,4,9/5/15,tip,OvU6no5wbR8TgxPZu2bB7Q,0,23,21:00,"1806 Smallman StStrip DistrictPittsburgh, PA 15222",10:30,Pittsburgh,FALSE,40.4505597,-79.9864285,PA,Carhops Sub Shop,Strip District,3.5,Food
fwLRPgtdh_nbDs-4cfZlBA,0,TWXlIT46O-GCUAnULlCl8A,3,review,3aErwj6fPsGAludtm8fXMA,0,7/9/16,0,,,,0,2016-04,7CIozOqeqOeiSqgNPefCtw,0,,user,,1,0,0,,,,3,,,Gruntholomew,,,3aErwj6fPsGAludtm8fXMA,0,0,0,0,0,0,1,0,1,9,2,1,2,1,1,3,2,9,5,5,2,0,0,0,5,7,7,7,10,5,3,7/9/16,tip,TWXlIT46O-GCUAnULlCl8A,0,15,0:00,"229 Atwood StOaklandPittsburgh, PA 15213",12:00,Pittsburgh,TRUE,40.440526,-79.956551,PA,Love Yogurt,Oakland,4,Food
kBrasfqvfxpKmtm1WrPNuQ,1,VDkcCn-7_gVvIU-8uVwixw,5,review,YsWjmiraRg6LLc7PhFHqHA,0,5/19/16,1,,1,,4,2014-07,,15,,user,,9,0,4,,,,3.33,,,Meaghan,,,YsWjmiraRg6LLc7PhFHqHA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,11/21/15,tip,3IpAQlT1pJMuIi7dy-WWGQ,0,9,0:00,"300 Mt Lebanon BlvdPittsburgh, PA 15234",0:00,Pittsburgh,TRUE,40.368716,-80.034629,PA,Club Cycle, ,5,Sports
VYDgvWcJW-5IE9QS0N4qfg,0,sTzX2nNJoGlM1jY-nuwcSg,1,review,NHkk76ARCFXG0OE4eXFFPA,0,5/7/16,0,,1,,3,2013-02,#NAME?,13,,user,,12,0,5,,,,2.83,,,Abby,,,NHkk76ARCFXG0OE4eXFFPA,0,0,0,0,0,0,0,0,1,1,2,1,2,0,3,1,1,2,2,0,0,0,0,0,2,0,2,1,5,5,1,9/22/12,tip,c0JfpOXVBY3ajEhDaCth5A,0,19,,"5887 Forbes AveSquirrel HillPittsburgh, PA 15217",,Pittsburgh,TRUE,40.4381815,-79.919786,PA,Color Me Mine,Squirrel Hill,3,Entertainment
sVECJWm1FB-dpln4qudvpg,0,dSVo2Kcib4CTupoktp2QQw,5,review,vvPzcOhbQn5fLQUAIxcP6A,0,7/11/16,0,,,,2,2015-01,,14,,user,,32,1,3,,,,4.94,,,Matt,,,vvPzcOhbQn5fLQUAIxcP6A,0,1,0,3,24,57,90,123,133,115,78,42,4,1,0,1,1,0,0,0,0,0,0,0,78,43,41,35,96,199,181,3/6/10,tip,LXiMB8V1wngQ37SYE5vzbA,0,385,14:30,"2015 Penn AveStrip DistrictPittsburgh, PA 15222",6:30,Pittsburgh,TRUE,40.4515431,-79.9837258,PA,Delucas Diner,Strip District,4,Food
ihg2AHdT1Z2SV3STelXnqA,0,XTP1UJ2A37e_VQzqBiJE_Q,2,review,Lu33OuE6z-H721Nj72n6ww,0,8/12/14,1,,,,1,2014-08,"8cL9gwqFE2JifqjaUVqjaQ, FyCBkNXwoI_6X6apbslg4g, uEkmKQlgGNJ4DaELeJfDbw, UMkgqUezGldq0xmrxNiafg, F-Z292vc7wktdYHd0aECvg, Zvoave-YhFSlAJUdWjFkoQ, 6Xzw42iknd1iqiFULZ8iXQ, IaXObxes91GUXBeobv4vzQ, nqiz6q74SAVJI14Veqa_3Q",7,,user,,11,0,1,,,,3.45,,,Craig,,,Lu33OuE6z-H721Nj72n6ww,0,0,0,0,0,0,0,0,1,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0,1,4,0,1,1,2,0,7/12/13,tip,6Mflt7fworNLu031TDrDSA,0,15,22:00,"2767 E Carson StSouth SidePittsburgh, PA 15203",10:00,Pittsburgh,FALSE,40.4265662,-79.9659309,PA,Muscle Maker Grill,South Side,2.5,Food
KD5PMoG9ISqGTVbyJjhrJQ,0,4_Dryo2baP031C5PMuSMEw,4,review,sTdSgE0MpNP-ihaSYs4IHw,0,8/6/15,0,24,29,7,308,2010-08,"5SLDX3bXcRP52QlStIcYLg, bBdd_LJ2TSF_HU39nqZVvA, fwsJGulnozT2U6FefsLiFw, 3-lfC36HfJfbvCpEpGhwrw, xuti50cDNGqj4H0soDUrUw, 4cb18WqFnNtKghNNRBGVRw, ODhV53XhesCBLJVfGsJGNA, rF4k1F60yyXcmZm2kf5luw, j-s7RKl_D-ybZER0mOcv5Q, 6IHcb7PC6qiYR9qEsBieVQ, v3nPv8G4dV6y-LNesb6Mug, nG_zliKHG2PUttJa8z2APQ, hhD3hvrQfnC1oh2JmeLszw, 9cCTmiJ7hz35rHIdr8n9kA, rS5-P1HVtZMyIQ_f1Es0uA, EROQwdBzr2gHMOTSeERkmQ, IMxxDN5-aEzcsVySGxN11Q, c1J3fJozDVHeICaYc3t2ew, DNN-pOqu6ldnt1-UP5cHaA, CGr4FyrNUbShTjNDRK6K9g, z4d3GssqgmAZxsGi9UHjYA, KLBkAtAncYZ33xj4b5u0mw, 0EfZgw5Z7uEWU6NMZMSapg, nJzHZyJMQx3yuVo43SxymQ, w3uwD1_hVhW573xtsKHN7w, pKh4Pc96YbOg-6hBOOajAA, vh73JZWyFFbJoV59g_d_Aw, PazhV6VV8mzVwuo5N6yT8g, QQacOXfgNDSwTvJyzB1iLA, fy8u9MsHxUk1h78r4AlmGg, HNg_lJUHgoCeChdnXIxtmA, nSmgRZLcTk8Iw8T6uX9R3A, OXljwwcDFcn7QyqjehtGDA, icf8Tr75xv-QOnI7wZX9Xw, jSKiFaojPu2U9_7Xi9mDlA, tlBBPrvSjSsZUZ4HveRB1Q, qfd9l5iKdw6xH0AAzSapiQ, 4kYNrJztbrBMdERJF0ONqg, gwOJakrte4FvJWbcususvg, 8V-0ZwsQtsS7flKA7plpYQ, cI3qMhGCrGWS-9fyLZ8AAg, bTTY0O59gTSiY3gH50FB7g, WGXfllGHz1rnXbVLB8pTkg, rONxiM8Hafy5kba3ZLoCbA",1020,,user,2,658,20,501,39,"2011, 2012, 2013, 2014, 2015, 2016",3,3.99,35,8,Jessica,2,,sTdSgE0MpNP-ihaSYs4IHw,0,0,0,0,1,0,0,1,1,1,6,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,7,4,0,0,6/1/12,tip,QyRKYhxuoetQ6x_r9kmZ5Q,0,10,,"Macys400 Fifth AveDowntownPittsburgh, PA 15219",,Pittsburgh,FALSE,40.4395219,-79.998357,PA,Tic Toc Restaurant,Downtown,3,Food
