review_id,votes.funny,user_id,stars,type,business_id,votes.cool,date,votes.useful,compliments.cool,compliments.plain,compliments.note,votes.funny,yelping_since,friends,votes.useful,compliments.cute,type,compliments.photos,review_count,fans,votes.cool,compliments.hot,elite,compliments.profile,average_stars,compliments.writer,compliments.funny,name,compliments.list,compliments.more,business_id, hour_0, hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_0,day_1,day_2,day_3,day_4,day_5,day_6,date,type,user_id,likes,review_count,hours.Friday.close,full_address,hours.Friday.open,city,open,latitude,longitude,state,name,neighborhoods,stars,Category
zAihUKwNjlcxt78XMm639A,0,b-eslR-LxZQIQsYcayqcxQ,4,review,ynAlJyFhiq1fImUEZ6u6Gw,0,7/19/16,1,,,,0,2016-07,,1,,user,,5,0,0,,,,3.5,,,Beverly,,,ynAlJyFhiq1fImUEZ6u6Gw,0,0,0,0,0,0,0,2,5,10,8,5,2,0,4,10,20,11,6,0,1,0,0,0,10,8,18,13,14,18,3,12/19/15,tip,b2yV2GdLDiElfZrLrrdkoA,0,83,22:00,"62 Balsam StreetUnit 106Waterloo, ON N2L 3H2",11:00,Waterloo,TRUE,43.4764611,-80.52986797,ON,Bao Sandwich Bar, ,4.5,Food
KKwRxDUQ1_Uwdb2noE0SbQ,0,nyEHjhjY5AsUsWFg_zceXw,2,review,OWlG92z5xteWsVzIByRxfA,0,3/25/16,0,,,,1,2013-03,,2,,user,,51,0,0,,,,3.51,,,Cathy,,,OWlG92z5xteWsVzIByRxfA,0,0,0,0,0,0,0,2,1,3,7,2,4,1,1,2,1,1,0,1,1,2,1,0,4,5,5,4,8,4,0,10/24/14,tip,gdrWAtzsNUvRho7Y5K52Sw,0,10,0:00,"170 University Ave W#10Waterloo, ON N2L 3E9",10:00,Waterloo,TRUE,43.471747,-80.538687,ON,Harveys Restaurants, ,3.5,Food
CLWBYe_Y5MjDsKVuB81YqQ,0,icoNV97JpvnnY4HJi1IOiw,1,review,VUstF8iT9BSwQ-gN-gHXEQ,0,7/5/16,1,,,,0,2015-01,,1,,user,,1,0,0,,,,1,,,Calvin,,,VUstF8iT9BSwQ-gN-gHXEQ,0,0,0,0,0,0,0,1,1,2,3,1,2,0,2,2,4,1,3,1,0,0,0,0,0,2,8,8,1,3,1,8/16/15,tip,HzmkGGdIn6aCyEtFcUk9UQ,0,8,,"85 University Avenue  EWaterloo, ON N2J 3Z2",,Waterloo,TRUE,43.47813546,-80.51864785,ON,Popeyes Chicken, ,2.5,Food
7Q5d_KOmm4Mb9SsXWU1Ceg,0,5VbQlqHD3L5LJiiI7c0e6g,1,review,zEJxugenoiGFQ_ZZUVPnAw,0,4/9/16,0,1,,,0,2015-04,"SvzfYLwtsHpwwb4x3wshTQ, _yORHvu_tm6l17-jaXjmzA, xjqo036gp6MQHTAEUXB5Rw",8,,user,,6,0,1,,,,3.67,,,Abigail,,,zEJxugenoiGFQ_ZZUVPnAw,0,0,0,0,0,0,2,0,0,8,2,2,1,2,2,2,1,4,2,0,0,0,0,0,7,3,3,6,7,1,1,8/22/13,tip,BE9pKnWgZKvkEcHFtob6cw,0,29,,"170 University Avenue WSuite 19Waterloo, ON N2L 3E9",,Waterloo,TRUE,43.471733,-80.538645,ON,Chens Oriental Cuisine, ,3,Food
U-KtjsOwhUyG_a00E2wfrQ,0,xUB4eXJTX-BJB4eCaQ2nbg,1,review,rf63Be15GKo8Xa1pHBjsBg,0,11/20/14,2,,,,3,2014-11,"1vlNnqufctV6cSx2xLO_yQ, c0Ifbw2pIwSpB1FZU289kQ",14,,user,,20,0,6,,,,4.4,,,Nan,,,rf63Be15GKo8Xa1pHBjsBg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,2,0,2,3,0,0,0,7/10/13,tip,nkNazyvqiaJsvoq9h1KfTw,0,5,23:00,"2 King Street NUnit 4/5Waterloo, ON N2J 2W7",11:30,Waterloo,FALSE,43.4654191,-80.5220724,ON,Musha Hotpot Restaurant, ,2.5,Food
_5GRnuqCzzkus8Vh3f0kYw,0,Gw5rdGXiFeKsOnJ6Z71FmA,4,review,E99htvbbJwD_R31C8urmoA,0,6/10/16,0,,,,1,2014-07,"iEjYwzHPOaiwQ-GZUfHYnA, uh9O7FHqHOA3ysGfMcgSPw",2,,user,,4,0,1,,,,4.25,,,Josh,,,E99htvbbJwD_R31C8urmoA,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,1,4,3,2,0,0,0,0,0,3,0,1,4,2,5,1,2/4/12,tip,GWCDMmxSEr2iEKkJ0ZNwEw,0,35,22:00,"51 King Street NWaterloo, ON N2J 2W9",11:00,Waterloo,TRUE,43.4666534,-80.5228811,ON,My-Thai Restaurant, ,4,Food
uMfeN4p3bmIETuCNl1rxwQ,0,_DkXRQ1avewjx1c7lL86lQ,3,review,qwuP41JaUOTDeexrfGGU9Q,0,10/3/15,0,,1,,0,2015-10,,9,,user,,20,0,0,,,,3.63,,,Vincent,,,qwuP41JaUOTDeexrfGGU9Q,1,0,0,0,0,0,0,0,3,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,3,0,2,4,0,0,1,1/24/13,tip,5JaPwv5PooSg-0SwYEROOA,0,6,0:00,"160 University Avenue WUnit 6Waterloo, ON N2L 3E9",0:00,Waterloo,TRUE,43.47224184,-80.53785136,ON,Subway, ,2,Food
VuesmFMwPzbR5onsbv3UPw,0,XD4pk2znDqMvoBnxaCvnAw,4,review,Hp3MUyQr7WYkPBx5NFa7NA,0,3/29/16,1,,,,2,2014-08,"4U9kSBLuBDU391x6bxU-YA, eCSCS17Y7Ie-_a6RmQgUJg, ZZ6WSb99R7kVHfFW8XG6TA, 2TN0paDJnWx4FmYClFdErQ, u00EOkApqyRP9YLlI90TKA, lXhOAP6ncg9ENgA9ln_ijA, 0r9yLQkxwcdutak6uKiCaQ, _-W0caBilETBPJIlIqbKSQ, S3EDROr7Dr5EpJawwJ2zQQ, 43WQN_FXtzMDYHUqMeaoTA, 2KlifA_kfR5oFz0Trdhkqg, KqikFMETiGM7Z_Y_saqDKQ, HqKOtBhkYbWdRMRUp0v8iA, jvsDq5JqwkTymRIZXWM5Rg, K7Cqwj7RF2wITGO7y_sWFQ, W3VwuJNsIcDp3iTM2XnoNw, W2E7zkncKxziTQ6ahYfwlw, Q9xbo4Y5EOyb3YXMfgqmOw, dL_1UNiY9OMwEp8T9zg7cg, UeYIbhB4FYJYVW58YxAT8A, sJ5w0axmZyferRbxGyWCgA, QyNlUhtlPEMkApQxpsy9yA, mEmcRE9tVIsJ12X_PbGwkA, Sz1ts_l6Z6YXIfPXAAjYFg, MA1TlOaIOG6b4WUf2itF0A, Rst4W6Q-Kjd3pgQ6DLBtjw",16,,user,,34,1,6,,,,4.12,,,Rajeev,,,Hp3MUyQr7WYkPBx5NFa7NA,1,0,0,0,0,0,0,1,1,1,1,1,0,2,3,2,4,1,3,0,0,0,0,0,5,3,6,2,2,2,1,10/8/15,tip,ofTjToyYyUC4eeywHFZVaQ,0,7,,"200 University Avenue WWaterloo, ON N2L 3E9",,Waterloo,TRUE,43.47150764,-80.54511964,ON,The Bombshelter Pu, ,3.5,Entertainment
TmUuta6DLd8nFFvGIdPiew,0,Hsk_i_TrNVZbhmxIEb7_3A,5,review,uNEYV3L3vkRjCzpVzBRBcw,0,6/22/16,1,1,2,4,3,2014-07,"-4SyV4ixKhtexbStYy6-RQ, xCwxTk3f21k_EC7VLcO6tQ, 2pkFHKkXVtalUSk6ZhbwuA, MdH73oJeoaIUn8TC7v-fkA",29,,user,2,39,5,13,1,2016,,3.88,,1,Noor,,,uNEYV3L3vkRjCzpVzBRBcw,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,4,1,0,0,2,0,1,2/12/15,tip,kQO2w0ouLnC9_HNYDxeYsg,0,7,0:00,"110 Erb Street WestWaterloo, ON N2L 0C6",0:00,Waterloo,TRUE,43.46342042,-80.52803862,ON,Delta Waterloo, ,4.5,Hotels & Travel
2Em7doDmP0QAHIiCWH2_MQ,0,WtYQyGD9i7wTfgoV6En8yw,4,review,7KfgI59JMuYfL4yBKsl6BA,0,12/8/15,0,,,,0,2011-10,,7,,user,,15,0,1,,,,3.53,,,Martin,,,7KfgI59JMuYfL4yBKsl6BA,0,0,0,0,0,0,0,1,1,3,3,0,0,1,2,5,3,5,1,0,0,0,0,0,1,5,3,6,3,3,4,10/12/10,tip,xqp6HLJz4lx5HHo0cBJ5Lw,0,20,23:00,"83 Erb Street WWaterloo, ON N2L 6C2",11:00,Waterloo,TRUE,43.46311197,-80.52657246,ON,Sole Restaurant & Wine Bar, ,4,Bars
