city,business_count
8ele des Soeurs,1
Ahwatukee,7
Ahwatukee Foothills Village,1
Allegheny,1
Anjou,8
Anthem,68
Apache Junction,80
Arlington,1
Asheville,1
Aspinwall,7
Avondale,271
Baie-Durfe,1
Beaconsfield,2
Bellevue,13
Bellvue,1
Belmont,49
Bethel Park,3
Black Canyon City,2
Blawnox,1
Bloomfield,1
Boisbriand,2
Boulder City,23
Braddock,3
Brentwood,5
Breslau,1
Bridgeville,10
Brookline,2
Brossard,35
Buckeye,94
Burrito King,1
C Las Vegas,1
Cambridge,6
Carefree,28
Carnegie,32
Casa Grande,97
Castle Shannon,2
Cave Creek,129
Centennial Hills,1
Central,1
Central City,1
Central City Village,3
Central Henderson,1
Champaign,236
Chandler,1545
Charlemagne,1
Charlotte,3597
Charlotte ,1
Chateau,1
City of Edinburgh,1
Clark,2
Clover,2
Columbus,1
Communauta9-Urbaine-de-Montra9al,1
Concord,124
Concord Mills,3
Conestogo,1
Coolidge,9
Cottage Grove,6
Crafton,5
Cramond,1
Dalkeith,4
Dallas,1
Dane,1
De Forest,8
DeForest,8
Deux-Montagnes Regional County Municipality,1
Dollard-Des Ormeaux,2
Dollard-Des-Ormeaux,44
Dormont,4
Dorval,25
Downtown,2
East Liberty,1
Edgewood,1
Edimbourg,1
Edinburgh,1435
Eggenstein-Leopoldshafen,1
El Mirage,30
Enterprise,4
Etna,1
Ettlingen,5
Fabreville,1
Firth of Forth,2
Fitchburg,76
Florence,24
Fort  Mill,1
Fort Kinnaird,1
Fort McDowell,8
Fort Mill,158
Fountain Hills,103
Fountainbridge,1
Ft. Mill,1
Garland,1
Gaston,1
Gelndale,1
Gila Bend,17
Gilbert,1018
Glendale,1161
Glendale Az,1
Gold Canyon,22
Goldfield,1
Goodyear,331
Grand Canyon,1
Green Tree,1
Greenfield Park,5
Guadalupe,7
Harrisburg,26
Heidelberg,3
Henderson,2060
Henderson and Las vegas,1
Henderson NV,1
Henderston,1
Higley,8
Homestead,57
Huntersville,26
Indian Land,6
Indian Trail,36
Inverkeithing,1
Juniper Green,1
Karlsruhe,83
Kirkland,11
Kitchener,99
L8ele-Bizard,1
La Prairie,2
La Salle,2
Lachine,12
Lake Wylie,5
Las Vegas,12908
Las Vegas ,4
Las Vegas East,1
"Las Vegas, NV",1
Lasalle,26
Lasswade,2
LasVegas,1
Laval,111
Laveen,62
Laveen Village,3
Lawrenceville,2
Le Sud-Ouest,1
Leith,5
Litchfield Park,60
Litchfield Park ,1
Loanhead,3
Longueuil,12
Los Angeles,1
Lower Lawrenceville,1
Madison,1253
Maricopa,87
Maricopa AZ,1
Mascouche,1
Mattews,1
Matthews,218
Mc Farland,7
Mc Kees Rocks,6
McAdenville,1
McFarland,5
McKees Rocks,10
McKeesport,1
Mesa,1979
Mesa ,1
Mesa AZ,1
Middleton,119
Midlothian,4
Millvale,5
Mint Hill,29
MMRP,1
Monona,48
Monta9al,1
Montra9al,2680
Montra9al-Nord,2
Montra9al-Ouest,1
Montreal,60
Montreal-Est,1
Montreal-Nord,2
Montreal-West,2
Mont-Royal,8
Morristown,4
Mount Holly,14
Mount Lebanon,10
Mount Royal,1
Mount Washington,2
Mt Lebanon,3
Mt. Lebanon,1
Mt. Oliver Boro,1
Munhall,10
Musselburgh,4
N E Las Vegas,1
N Las Vegas,11
N W Las Vegas,1
N. Las Vegas,2
Nboulder City,1
Nellis AF,13
New River,4
New Town,2
Newbridge,2
Newington,1
North Las Vegas,627
North Las Vegas ,1
North Scottsdale,1
Oakland,2
Old Town,4
Outremont,16
Paradise,20
Paradise Valley,46
Penicuik,1
Peopria,1
Peoria,606
Pheonix,1
Phoenix,6784
Pierrefonds,9
Pineville,124
Pittsburgh,2259
Pointe-Aux-Trembles,1
Pointe-Claire,30
Portobello,2
Qua9bec,1
Queen Creek,207
Queensferry,2
Ratho,1
Regent Square,1
Rio Verde,4
Robinson Township,1
Rock Hill,2
Rosema8re,1
Rosemere,3
Roxboro,1
Saint Laurent,3
Sainte-Anne-De-Bellevue,6
Sainte-Genevieve,1
Sainte-Tha9ra8se,1
Sainte-Therese,1
Saint-Eustache,4
Saint-Henri,1
Saint-Lambert,6
Saint-Laurent,44
Saint-Leonard,15
San Tan Valley,43
Savoy,4
Scotesdale,1
Scottdale,3
Scottsdale,3101
Sedona,1
Shadyside,1
Sharpsburg,3
Shorewood Hills,1
Side Slopes,1
South Las Vegas,2
South Queensferry,3
Spring Valley,5
Squirrel Hill,3
St Jacobs,3
St Leonard,1
St. Jacobs,2
Stallings,7
Ste-Rose,1
Stockbridge,2
Stoughton,1
Straiton,2
Stutensee-Blankenloch,1
Summerlin,1
Summerlin South,1
Sun City,51
Sun City Anthem,1
Sun City West,21
Sun Lakes,9
Sun Prairie,57
Sunrise,1
Surprise,397
Surprise Crossing,1
Swissvale,2
Tega Cay,12
Tempe,1805
Terrebonne,1
Tolleson,61
Tonopah,8
Tonto Basin,4
Tortilla Flat,3
Upper Saint Clair,1
Urbana,123
Verdun,56
Verona,32
Vimont,2
W Henderson,1
W Spring Valley,1
W Summerlin,1
Waddell,3
Waterloo,184
Waunakee,19
Waxhaw,3
Wb6rth am Rhein,1
Weddington,1
Weingarten,2
Wesley Chapel,5
West Homestead,7
West Las Vegas,1
West Mifflin,24
Westmount,32
Westworld Scottsdale,1
Whitehall,1
Whitney,1
Wickenburg,44
Wilkinsburg,4
Windsor,5
Wittmann,1
Youngtown,12
Total,50365
